,postDate,headline,articleHTML,Unnamed: 0,date,ticker,daily_change
0,2017-03-24,Ex-Aetna CEO says US has moral obligation to provide access to health services  Restoring balance in health coverage: CEO  ,"show chapters
 ACA's biggest problem is using balance sheet of private health care: CEO   
 7:55  AM ET Fri, 24 March 2017 |  01:25 
 The U.S. government has a moral obligation to make certain everyone has access to health-care services, former Aetna Chairman and CEO Ron Williams said Friday.
 Williams said he also believes there is a role for individual responsibility in the health-care delivery system.
""We confuse insurance with our moral obligation to provide health-care services to people,""  Williams said on CNBC's ""Squawk Box."" ""And what we try to do is finance our moral obligation through the insurance system, which punishes the people who are fiscally responsible to buy insurance."" 
 The former Aetna CEO's comments came ahead of a House vote on a bill backed by President Donald Trump and House Speaker Paul Ryan to repeal and replace former President Barack Obama's Affordable Care Act.
The vote was postponed Thursday after Republican leaders failed to rally enough support to pass the bill because of a rebellion by the conservative Freedom Caucus and moderate Republicans. Trump has demanded that the House approve the plan as is Friday or leave Obamacare in place.
When asked about solutions to the United States' health-care problems, Williams said a single-payer system in which the government would pay for health care would be the ""single"" worst answer.
""Having no choice doesn't result in innovation and performance improvement,"" he said. ""The biggest innovation in the delivery and design and care delivery have come from the large national employers who have substantial populations of employees, who are innovative and give their employees access to these management programs."" 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });Ronald Williams, former Aetna chairman & CEO, and RW2 Enterprise CEO, shares his thoughts on what needs to be addressed in the Affordable Care Act, including Medicaid coverage.Ronald Williams, former Aetna chairman & CEO, and RW2 Enterprise CEO, shares his thoughts on what needs to be addressed in the Affordable Care Act, including Medicaid coverage.Ronald Williams, former Aetna chairman & CEO, and RW2 Enterprise CEO, shares his thoughts on what needs to be addressed in the Affordable Care Act, including Medicaid coverage.Ronald Williams, former Aetna chairman & CEO, and RW2 Enterprise CEO, shares his thoughts on what needs to be addressed in the Affordable Care Act, including Medicaid coverage.",222,2017-03-24,AET,0.008326835229295023
1,2017-04-06,Iowa Obamacare market gets second big hit as insurer Aetna says it will drop out in 2018  ,"show chapters
 Iowa's Obamacare market gets hit a second time as Aetna says it will drop in 2018   
 9:54  AM ET Fri,  7 April 2017 |  00:40 
 A second big shoe just dropped on Iowa's Obamacare marketplace.
 Three days after Wellmark Blue Cross & Blue Shield said it would not sell new individual health insurance plans in Iowa in 2018, Aetna on Thursday said it also will not offer new Obamacare plans next year, citing ""financial risk.""
The moves leave Iowa with just two other insurers that, as of now, sell Obamacare plans in the state. 
 A third Iowa insurer, Medica, told CNBC is has not yet decided whether to continue selling plans there next year. Medica is the only company to offer individual plans in all of the state's counties. The fourth insurer, Gundersen Health Plan, said that its current plan is to participate in the Obamacare marketplace in Iowa.
Aetna said it is ""still evaluating"" if it will sell Obamacare plans in the three other remaining states where it currently does so. 
Aetna covers about 30,000 people in Iowa who buy plans through the federal Obamacare exchange, HealthCare.gov, according industry sources.
Slightly fewer than 52,000 Iowans signed up for coverage on HealthCare.gov during open enrollment for 2017.
Wellmark covers about 21,000 people through Obamacare plans. But a number of them bought those plans outside of the federal exchange.
Aetna spokesman T.J. Crawford said, ""Earlier today we informed the appropriate federal and state regulators that Aetna will not participate in the Iowa individual public exchange for 2018 as a result of financial risk and an uncertain outlook for the marketplace.""
""We are still evaluating Aetna's 2018 individual product presence in our remaining states,"" Crawford said.
The remaining states are Virginia, Nebraska and Delaware.
The situation in Iowa is mirrored in a number of other states where insurers are seriously considering whether to exit Obamacare marketplaces.
Some insurers are worried about remaining in markets where they have been unable to make money as a result of too many customers with high health needs, and not enough health customers to offset their costs. Wellmark blamed its departure from Iowa's Obamacare market on $90 million in loss over three years.
Insurers also are worried about the future of Obamacare, particularly because Republican leaders in Congress have been unable, as of yet, to pass replacement legislation for the health-care law.
Wellmark CEO John Forsyth earlier this week said, ""Finding solutions to stabilize this market is in the best interest of all Iowans, including providers of health care and insurance carriers.""
""No one really benefits from rising costs,"" he continued. ""While there are many potential solutions, the timing and relative impact of those solutions is currently unclear. This makes it difficult to establish plans for 2018.""
Wellmark and Aetna's departures were announced about a month before insurers in Iowa have to start submitting their proposed premium rates for 2018.
About one-third of the counties in the United States this year are served by just a single Obamacare insurer.
Health-care advocates have worried about markets that currently have just one insurer potentially being left with no insurer in 2018, due the uncertainty in Washington. Humana's announcement that it was leaving the Obamacare exchanges in 2018 now leaves Knoxville, Tennessee with the prospect of no Obamacare insurers next year.
But Iowa, which had four insurers on HealthCare.gov in 2017, was not one of the states that analysts had been eyeing for a major market disruption.
""Iowa would not have been on our radar of states where they were at risk, necessarily. But then you have to two companies leave within a space of a couple of days, and suddenly it is at risk,"" said Cynthia Cox, associate director at the Kaiser Family Foundation.
""I think this underscores how much the political uncertainty can cause markets that were otherwise appearing to be stable, to become at risk almost overnight,"" Cox said.
The U.S. House Energy and Commerce Committee, which is controlled by Republicans, put out a press release on the heels of Aetna's announcement that noted Wellmark's earlier departure as well.
""The insurer exodus continues [its] drip-drip-drip effect on patients, leaving them guessing on the future of the marketplace,"" the release said. ""This year, Iowans had four insurers offering plans on the individual market. Next year they will have just one state-wide insurer. Patients deserve better – a health care system that puts them first and delivers on being more affordable and accessible.""
Larry Bussey, a spokesman for Medica, when asked what that insurer planned to do in light of Aetna's decision, said, ""At this point we're just looking at the situation and evaluating what our options are, and really looking at what we're going to do.""
Medica covers about 14,000 people in Iowa who buy plans though HealthCare.gov.
CNBC has reached out to comment from the fourth Obamacare insurer in Iowa, Gunderson.
In a note Thursday, Evercore ISI said that ""the decline in Iowa's exchange sign-ups this year was a bit larger (-6.4 percent) than the U.S. overall (-3.7 percent), and it also saw a bigger move towards higher-cost older members.""
""But clearly the exit of 2 of 4 carriers from Iowa now raises the uncertainty for exchanges in general in 2018,"" Evercore ISI said.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",213,2017-04-06,AET,-0.01218194043346664
2,2017-04-07,Iowa's Obamacare market gets hit a second time as Aetna says it will drop in 2018  ,Aetna says it plans to drop out of Iowa's Obamacare market next year.Aetna says it plans to drop out of Iowa's Obamacare market next year.Aetna says it plans to drop out of Iowa's Obamacare market next year.Aetna says it plans to drop out of Iowa's Obamacare market next year.,212,2017-04-07,AET,0.003732508221341904
3,2017-05-02,Aetna CEO Bertolini says Obamacare's 'biggest problem' is that it's not fully funded by government  Aetna CEO: Our presence on Obamacare exchanges will be smaller  ,"show chapters
 Aetna CEO: Our presence on Obamacare exchanges will be smaller   
 8:12  PM ET Tue,  2 May 2017 |  04:24 
 Aetna's CEO Mark Bertolini doesn't want to charge some people more for Obamacare — but he does want the government to step up and fund the program ""appropriately.""
 Bertolini on Tuesday rejected a suggestion that Republican proposals to allow insurers to charge people with pre-existing health conditions more for Obamacare plans could prompt Aetna to return in force to individual plan marketplaces.
Instead, Bertolini said on CNBC's ""Closing Bell,"" the federal government should guarantee financial support for insurers who participate in the program, which in turn could maintain and expand health coverage for many people.
 Specifically, Bertolini said the government should fund programs that protect insurers financially when they have high-cost patients and that lower out-of-pocket health expenses for low-income customers.
""I don't think it's a matter of raising premiums on people with pre-existing conditions,"" said Bertolini, whose company went from selling Obamacare plans in 15 states last year to selling them in just four this year after citing big financial losses on individual health plans.
""I think people with pre-existing conditions, people under the age of 26, should get insurance. Anybody who applies should get insurance,"" he said. 
""I think the biggest program with the [Affordable Care Act] is how it is funded,"" Bertolini said. ""If it were funded correctly, all these people could get coverage.""
""If it's just funded on the premium basis without reinsurance, if cost-sharing reductions don't show up after September, none of it works,"" he said.
Most Obamacare customers receive subsidies that lower the cost, often sharply, of their monthly premiums below retail prices, because they have low or moderate incomes.
Reinsurance is the subsidization by the government of insurers who find themselves covering customers with high health costs.  Obamacare's reinsurance program ran only from 2014 through 2016, and the Republican-controlled Congress has barred the government from paying insurers the entire amount they are owed for another Obamacare cost-reduction program, known as risk corridors.
Cost-sharing reductions are subsidies offered to low-income Obamacare customers that reduce how much they have to pay in copayments, coinsurance and deductibles when they obtain health services. Insurers are responsible for issuing those reductions but then are supposed to be reimbursed for their cost by the federal government.
The Trump administration has given conflicting signals about whether it will continue to authorize the payments of CSRs to insurers, and House Republican leaders have proposed ending CSRs permanently as part of their Obamacare replacement bill. 
Bertolini, talking about those Obamacare subsidies on Tuesday, said there is ""a set of interconnected financial relationships that need to exist in order to support a market like this.""
""Currently, as structured,"" Bertolini said, even if Republicans agree to continue to fund the cost-sharing reduction program through September, it ""is not enough to get people engaged in the exchanges again.""
Aetna announced several weeks ago that it would not sell individual health plans on Iowa's Obamacare market in 2018.
Bertolini said Tuesday the company is evaluating which, if any, of the remaining three states — Delaware, Nebraska and Virginia — it will remain in next year for Obamacare plans.
""We expect to lose around $200 million, $220 million this year on the exchanges, with only a quarter of the membership we had last year,"" Bertolini said. ""So we're evaluating the markets as we speak.""
""We will be notifying some other states shortly. We only have four states remaining, so our presence will be smaller than it is this year.""
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });Mark Bertolini, Aetna chairman & CEO, discusses the provider's withdrawal from some states' health insurance exchanges, the efforts to replace Obamacare and its failed merger with Humana.Mark Bertolini, Aetna chairman & CEO, discusses the provider's withdrawal from some states' health insurance exchanges, the efforts to replace Obamacare and its failed merger with Humana.Mark Bertolini, Aetna chairman & CEO, discusses the provider's withdrawal from some states' health insurance exchanges, the efforts to replace Obamacare and its failed merger with Humana.Mark Bertolini, Aetna chairman & CEO, discusses the provider's withdrawal from some states' health insurance exchanges, the efforts to replace Obamacare and its failed merger with Humana.",196,2017-05-02,AET,-0.015452445739347903
4,2017-05-03,"Aetna will exit Obamacare markets in Virginia in 2018, citing expected losses on individual plans this year  Aetna won't offer individual Obamacare plans in Virginia  ","show chapters
 Aetna won't offer individual Obamacare plans in Virginia   
 3:31  PM ET Wed,  3 May 2017 |  01:14 
 Giant insurer Aetna on Wednesday continued an ongoing retreat from the Obamacare business, announcing it will not sell such health plans in Virginia next year because of expected financial losses.
 Aetna left open the question of whether it will sell individual health plans anywhere next year.
The insurer, which last month announced it would exit Iowa's Obamacare market in 2018, sells individual plans in just two other states this year: Delaware and Nebraska.
 ""Despite significantly reducing our exchange footprint, our individual commercial products could potentially lose more than $200 million in 2017,"" said Aetna spokesman T.J. Crawford in an email.
""Based on that financial risk, and growing uncertainty in the marketplace, we will not offer on- or off-exchange individual plans in Virginia for 2018.""
""We will communicate decisions on our remaining states as appropriate,"" Crawford said.
The email contains a graphic image depicting Aetna's approximate pre-tax losses on Obamacare plans since they began being sold in 2014. They go from about $100 million that year, up to $130 million in 2015, and about $450 million last year.
 The pull-out of Virginia, Iowa, and potentially the other two states will not affect customers covered by Aetna through either their employer, or through Medicaid and Medicare Advantage plans.
The move only relates to individual plans sold on and off of the federal Obamacare exchange HealthCare.gov.
Aetna sells health plans in 50 of Virginia's 95 counties, according to data from the Robert Wood Johnson Foundation. In 24 counties where it operates, there is just one other insurer selling Obamacare plans: Anthem, under the brand name HealthKeepers.
Anthem has already filed paperwork related to potentially selling plans in 2018 in Virginia.
However, Anthem and other insurers have warned that if they are not guaranteed federal subsidies for reducing out-of-pocket health costs for low-income customers, they may have to either raise rates for 2018 plans, or not sell them altogether.
A spokesman for Virginia's insurance commissioner declined to comment when asked about Aetna's decision.
Aetna last year sold individual Obamacare plans in 15 states. But it retreated to just four states in 2017 because of losses from the plans.
Aetna CEO Mark Bertolini on Tuesday had told CNBC's ""Closing Bell,"" that given the expected losses for 2017, ""we're evaluating the markets as we speak.""
""We will be notifying some other states shortly. We only have four states remaining, so our presence will be smaller than it is this year,"" Bertolini said that day.
Aetna on Tuesday reported earnings for its overall business that were better than had been expected by analysts.
The insurer reported a net loss of $381 million, or $1.11 per share, in the first quarter of 2017, ending March 31. The company had a profit of $737 million, or $2.08 per share, in the same quarter a year earlier.
Aetna said the quarter's loss was due mainly to costs linked to the end of a merger agreement with Humana.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });CNBC's Bertha Coombs reports that Aetna has announced it will not offer individual insurance plans in the state of Virginia.CNBC's Bertha Coombs reports that Aetna has announced it will not offer individual insurance plans in the state of Virginia.CNBC's Bertha Coombs reports that Aetna has announced it will not offer individual insurance plans in the state of Virginia.CNBC's Bertha Coombs reports that Aetna has announced it will not offer individual insurance plans in the state of Virginia.",195,2017-05-03,AET,-0.0002879147792147665
5,2017-05-11,Aetna pulls out of Obamacare  ,"Paul Howard, Manhattan Institute senior fellow and Vishnu Lekraj, a Morningstar analyst, discuss Aetna pulling out of all ACA markets and the confusion the markets face around the repeal and replace health-care bill.Paul Howard, Manhattan Institute senior fellow and Vishnu Lekraj, a Morningstar analyst, discuss Aetna pulling out of all ACA markets and the confusion the markets face around the repeal and replace health-care bill.Paul Howard, Manhattan Institute senior fellow and Vishnu Lekraj, a Morningstar analyst, discuss Aetna pulling out of all ACA markets and the confusion the markets face around the repeal and replace health-care bill.Paul Howard, Manhattan Institute senior fellow and Vishnu Lekraj, a Morningstar analyst, discuss Aetna pulling out of all ACA markets and the confusion the markets face around the repeal and replace health-care bill.",189,2017-05-11,AET,-0.009393660557923688
6,2017-05-12,"Aetna CEO in private meeting: 'Single-payer, I think we should have that debate'  ","David Orrell | CNBC 
Mark Bertolini
 The chief executive of one of the country's largest health insurance companies says he is open to having a single-payer debate.
""Single-payer, I think we should have that debate as a nation,"" Aetna chief executive Mark Bertolini said Thursday.
Bertolini spoke to a private meeting where Aetna employees could ask questions of their chief executive. A partial video of his remarks provided to Vox includes Bertolini responding to a question about single-payer health care.
 More from Vox: Trump is threatening to release secret Comey ""tapes"" and cancel press briefings Impeachment of the president, explainedThe case for and against a universal basic income in the United States
""In the news media, it is reporting that the Republican health plan is paving the way to a single-payer system,"" an Aetna employee asks Bertolini. ""What are your thoughts on that, and how would it impact Aetna?""
This was his response:
 Single-payer, I think we should have that debate as a nation. But let me remind everybody that Aetna was the first financial intermediary for Medicare. We cut the first check for Medicare in 1965 to Hartford Hospital for $517.57. The government doesn't administer anything. the first thing they've ever tried to administer in social programs was the ACA, and that didn't go so well. So the industry has always been the back room for government. If the government wants to pay all the bills, and employers want to stop offering coverage, and we can be there in a public private partnership to do the work we do today with Medicare, and with Medicaid at every state level, we run the Medicaid programs for them, then let's have that conversation. But if we want to turn it all over to the government to run, is the government really the right place to run all this stuff? And that's the debate that needs to be had. They could finance it, and if there is one financer, and you could call that single-payer. ... We're going to pay for it one way or another. What we have to do is we have to get the costs right. We have to get people healthy. It's not about who is paying the bill. It's about what we're doing to get the costs down. The Democrats are now saying that with the new Republican bill, wait there is nothing in here about getting costs down. That's the point. And so that's the place we're headed as a company. It's not just about paying the bills. 
What Bertolini seems open to is a version of single-payer where the federal government would contract out certain functions private companies, such as Aetna. These insurers would, in his own words, become a ""back room for government.""
Aetna spokesperson T.J. Crawford said that Bertolini was not ""advocating"" for a single-payer system.
""Mark was certainly not advocating for a single-payer system, but instead encouraging debate while pointing out that public-private partnerships have been the backbone of the more successful government health care programs (examples include administering Medicare Advantage or Medicaid managed care),"" he said in an emailed statement. ""In other words, partnering works when done the right way.""
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",188,2017-05-12,AET,0.010372887047305898
7,2017-06-21,"Senate cannot repeal Obamacare, only fix it: Aetna CEO  Mark Bertolini: We’re moving Aetna, but not telling anybody where yet  Mark Bertolini: We’re Moving Aetna, but not telling anybody where yet  ","Aetna CEO Mark Bertolini speaks about how U.S. President Donald Trump's proposed health care reform will play out.Aetna CEO Mark Bertolini speaks about how U.S. President Donald Trump's proposed health care reform will play out.Aetna CEO Mark Bertolini speaks about how U.S. President Donald Trump's proposed health care reform will play out.Aetna CEO Mark Bertolini speaks about how U.S. President Donald Trump's proposed health care reform will play out.show chapters
 Mark Bertolini: We’re Moving Aetna, but not telling anybody where yet   
 4:23  PM ET Wed, 21 June 2017 |  01:21 
 Mark Bertolini spoke out for the first time about the reason he's decided to move Aetna's headquarters out of Hartford, Connecticut, where the company was founded more than 160 years ago.
 ""We haven't told anybody where yet, but it will be sort of an investment in attracting different kinds of people into our organization,"" said Bertolini on CNBC Europe's ""Street Signs,"" adding ""as we have to move away from being just an insurance company to actually impacting the underlying health of the population, that requires younger people, technologists, innovation.""
Last month, the health insurer confirmed it was in negotiations with several cities and indicated it would announce a decision early this summer. Aetna currently has about 6,000 employees in Connecticut, with the majority based in the Hartford area, where its headquarters occupies a 1.7 million-square-foot campus.
 A source familiar with the situation said that Boston and New York are the leading contenders for the new headquarters.
A spokesperson for the city of Boston's economic development office declined to comment on Bertolini's statements. New York economic development officials did not reply to inquiries.
Bertolini would only say the company has tried to expand its footprint to communities where young talented people want to live.
""We've opened up a technology center in Massachusetts, and we'll continue to add people there. We do have a presence in Silicon Valley, in Denver, in Salt Lake, in ... Austin, Texas,"" he said. ""Places where people want to hang out.""
Aetna's departure from Connecticut would mark the state's second loss of a major Fortune 500 firm. General Electric relocated its headquarters from Fairfield, Connecticut, to Boston in 2016.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });Aetna CEO Mark Bertolini tells CNBC he’s moving Aetna’s headquarters from Hartford, Connecticut in order to attract more tech savvy and innovative young talent. Founded in Hartford more than 160 years ago, Aetna currently employees more than 6,000 people in Connecticut.Aetna CEO Mark Bertolini tells CNBC he’s moving Aetna’s headquarters from Hartford, Connecticut in order to attract more tech savvy and innovative young talent. Founded in Hartford more than 160 years ago, Aetna currently employees more than 6,000 people in Connecticut.Aetna CEO Mark Bertolini tells CNBC he’s moving Aetna’s headquarters from Hartford, Connecticut in order to attract more tech savvy and innovative young talent. Founded in Hartford more than 160 years ago, Aetna currently employees more than 6,000 people in Connecticut.Aetna CEO Mark Bertolini tells CNBC he’s moving Aetna’s headquarters from Hartford, Connecticut in order to attract more tech savvy and innovative young talent. Founded in Hartford more than 160 years ago, Aetna currently employees more than 6,000 people in Connecticut.",161,2017-06-21,AET,-0.0032927260569758678
8,2017-08-03,"Aetna's profits rise without Obamacare while Molina's sink with it  Aetna CEO: Obamacare 'cannot be repealed, period'  Aetna CEO: When health insurance gets fixed we'll reconsider rejoining exchanges  ","show chapters
 Aetna CEO: When health insurance gets fixed we'll reconsider rejoining exchanges   
 3:41  PM ET Thu,  3 Aug 2017 |  04:47 
 Aetna and Molina Health's latest results are a stark reminder that government health programs continue to be a source of profitable growth for health insurers, if managed well, as long as you're not talking about the Obamacare exchange market.
 ""Operating results in our government business remain robust, with government premiums representing more than half of total Health Care premiums,"" said Mark Bertolini, Aetna chairman and CEO, on the company's earnings conference call.
Aetna reported second-quarter earnings of $3.60 per share, well above analyst estimates, on $15.5 billion in revenues. Profits rose nearly than 50 percent from a year ago, helped by increased Medicare membership, and lower exposure to money-losing Obamacare plan costs, after exiting all but four state exchanges for 2017.
 The company raised its 2017 full-year outlook to between $9.45 to $9.55 per share, from $8.80 to $9.00 per share, but also cautioned that it will be investing more over the next year in order to expand its Medicare business, after its two-year effort to acquire rival Humana was blocked.
""Our strong performance through the first half of 2017 has provided us the flexibility to continue to make these investments and still deliver strong financial results,"" said Bertolini.
 show chapters
 Senate cannot repeal Obamacare, only fix it: Aetna CEO   
 5:13  AM ET Wed, 21 June 2017 |  02:52 
 Aetna and Molina Health had both been bullish on the Obamacare market four year ago, but at Molina, the buyer's remorse is now more intense.
Molina shares slumped more than 9 percent after the insurer reported a second-quarter loss of $4.10 per share, including restructuring costs that will result in staff reductions of 10 percent of its workforce. The company is withdrawing its 2017 earnings guidance, as it continues the search for a new chief executive.
Molina had made big bets on growing its exchange business, leveraging years of experience with Medicaid patients. But after continuing losses on some market exchange markets and some Medicaid contracts, the board ousted CEO Mario Molina last May and is undertaking a major restructuring plan.
""In retrospect, a better approach would have been to undertake a full review of the organization in anticipation of the potential growth resulting from the Affordable Care Act. Instead of increasing investment in existing processes, we should have conducted the full redesign of our business that we are doing now,"" said interim Molina CEO Joseph White, on the company's earnings conference call.
For 2018, the insurer is pulling out of the Utah and Wisconsin Obamacare exchanges, where it has experienced the biggest losses, in an effort to shore up its overall profitability.
In its remaining markets, the insurer is raising rates by 55 percent, citing its uncertainty over federal funding for cost-sharing subsidies.
""It is also important to note that the performance of our Marketplace products in California, Michigan, New Mexico and Texas remain acceptable,"" said White. ""We will continue to monitor political and programmatic developments in the Marketplace, and we may withdraw from additional markets for 2018, if necessary.""
Insurers have until late September to decide whether they are in or out of the state health insurance exchanges for next year.
 WATCH: Former Molina CEO says Obamacare won't collapse
 show chapters
 Obamacare will not collapse: Former Molina Healthcare CEO   
 3:55  PM ET Wed, 19 July 2017 |  04:15 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });show chapters
 Aetna CEO: When health insurance gets fixed we'll reconsider rejoining exchanges   
 3:41  PM ET Thu,  3 Aug 2017 |  04:47 
 Congress needs to move on from repealing the Affordable Care Act, says Aetna CEO Mark Bertolini.
 ""The ACA cannot be repealed, period, end of sentence,"" Bertolini told CNBC's ""Closing Bell"" on Thursday. 
""What we should do is fix it. So either everyone gets their heads together over in the Senate and the House and does the job that the American people needs them to do, and fix what we already have, or they should move on to something else,"" he said.
 ""It's really easy to fix this if they would just get over the politics of who is going to win the '18 election.""
For Aetna to rejoin the Obamacare markets, Bertolini says, the system needs to become more stabilized. 
""Any business that has the kind of changes this program has seen quarter over quarter, sometimes monthly, would not be able to sustain their business practices for any period of time,"" Bertolini said. ""So when they get it right — which, it can be fixed, it very much can be fixed — and it's stable, we'll reconsider participation.""
Late in July, President Donald Trump tweeted that if a new health-care bill failed to pass, ""bailouts"" — referring to the payments the government needs to make to prevent premiums rising even more next year — for insurance companies could end very soon. 
 Trump tweet
 However, Bertolini challenged what Trump called ""bailouts.""
""They aren't bailouts,"" Bertolini said. ""We don't keep that money. It goes directly to providers and directly to pay for premiums for members, so I think it's misinformed.""
""Our premiums are the same regardless, and it's the costs that need to be paid to hospitals and doctors that otherwise wouldn't be paid,"" he said. ""[The] only people who get hurt are the members and the citizens of the United States who won't get health care as a result, so these aren't bailouts for the insurance company.""
The Aetna CEO also fired back at those who say going to a single-payer system is a solution, which he said has failed in Vermont and Colorado.
""If we had the time, I'd take you through the logic of why single-payer, ill-defined, doesn't generate any savings for the American public,"" Bertolini said. 
""There are no single-payer systems in the version that we think we want to create in this country. ... We need to talk about the costs of health care, and getting those costs under control, and that doesn't happen by changing who pays the bills.""
Aetna, which reported a second-quarter beat, is up more than 27 percent year to date.
 WATCH: Aetna CEO says Senate can fix Obamacare
 show chapters
 Senate cannot repeal Obamacare, only fix it: Aetna CEO   
 5:13  AM ET Wed, 21 June 2017 |  02:52 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });Aetna Chairman & CEO Mark Bertolini discusses the insurance company's exit from Obamacare exchanges in 2018 and the state of health insurance in the U.S.Aetna Chairman & CEO Mark Bertolini discusses the insurance company's exit from Obamacare exchanges in 2018 and the state of health insurance in the U.S.Aetna Chairman & CEO Mark Bertolini discusses the insurance company's exit from Obamacare exchanges in 2018 and the state of health insurance in the U.S.Aetna Chairman & CEO Mark Bertolini discusses the insurance company's exit from Obamacare exchanges in 2018 and the state of health insurance in the U.S.",131,2017-08-03,AET,-0.024260638287701263
9,2017-08-14,Apple & Aetna held secret meeting: Sources  Apple and Aetna hold secret meetings to bring the Apple Watch to millions of Aetna customers  Apple and Aetna hold secret meetings to bring the Apple Watch to millions of Aetna customers  ,"Apple and Aetna are in talks to bring the Apple Watch to Aetna customers, according to reports. Apple and Aetna are in talks to bring the Apple Watch to Aetna customers, according to reports. Apple and Aetna are in talks to bring the Apple Watch to Aetna customers, according to reports. Apple and Aetna are in talks to bring the Apple Watch to Aetna customers, according to reports. show chapters
 Apple and Aetna hold secret meetings to bring the Apple Watch to millions of Aetna customers   
 5:14  PM ET Mon, 14 Aug 2017 |  00:51 
 Apple and Aetna held a series of secret discussions last week to bring Apple's health and fitness-tracking smartwatch to millions more people connected to Aetna, according to three people familiar with the matter. 
 The insurer, which covers 23 million, offers an Apple Watch to its 50,000 employees as part of its corporate wellness program. Now, Aetna is negotiating with Apple on a plan to offer a free or discounted Apple Watch, Apple's wearable device, as a perk to its members.
The invitation-only meetings took place in Southern California on Thursday and Friday, according to the people. Those in attendance included executives from Aetna and Apple, as well as hospital chief medical information officers across the country.
 Apple's Myoung Cha, who has the title ""special projects, health,"" led the discussions, said one of the people. The move by Aetna is part of its push to increase customer interest in a healthier lifestyle and a better tracking of diet, said one of the people. 
 show chapters
 Apple Watch that can make calls? It's a game changer: Jim Cramer   
 9:30  AM ET Mon,  7 Aug 2017 |  01:44 
 The move could be a boon in sales for Apple Watch, which now offers health and fitness-tracking as its primary usage. Apple Watch recently overtook Fitbit as the top-selling wearable tracker, with shipments reaching 22 million for the first three months of 2017, according to research firm Strategy Analytics. The next version will reportedly have a new design and wireless connectivity, allowing it to connect to the internet without a nearby iPhone.
As CNBC previously reported, Apple is quietly developing new health sensors that would make its devices a ""must have"" for millions of people with chronic disease. It has a secret team working on adding continuous and noninvasive blood sugar monitoring to its hardware, which would be a game-changer for diabetics. 
One of the people said Aetna's proposed timeline is slated for early next year.
Apple's rival Fitbit has sold its fitness trackers to companies for years in a bid to improve health outcomes and lower costs. Bloomberg initially reported that Aetna would be the first insurer to offer Apple Watch to its employees in 2016. 
""This is a logical step for Apple's broader distribution of their watch, and this type of partnership has been on their radar from the beginning,"" said Tim Bajarin, president of Creative Strategies, an advisory firm that specializes in technology.
Apple and Aetna declined to comment.
 WATCH: Apple unveils new OS for Apple Watch
 show chapters
 Apple unveils new operating system for the Apple Watch   
 4:32  PM ET Mon,  5 June 2017 |  03:45 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });Apple and Aetna held meetings late last week to discuss bringing Apple Watch to the insurer's 23 million members. Apple and Aetna held meetings late last week to discuss bringing Apple Watch to the insurer's 23 million members. Apple and Aetna held meetings late last week to discuss bringing Apple Watch to the insurer's 23 million members. Apple and Aetna held meetings late last week to discuss bringing Apple Watch to the insurer's 23 million members. ",124,2017-08-14,AET,-0.022871505704777768
