,postDate,headline,articleHTML,Unnamed: 0,date,ticker,daily_change
0,2017-02-08,Cramer's Stop Trading: AGN  ,CNBC's Jim Cramer explains why he is watching Allergan.CNBC's Jim Cramer explains why he is watching Allergan.CNBC's Jim Cramer explains why he is watching Allergan.CNBC's Jim Cramer explains why he is watching Allergan.,253,2017-02-08,AGN,-0.036138847586162856
1,2017-02-15,Tepper's Appaloosa triples stake in Allergan  ,CNBC's Leslie Picker reports on David Tepper's Allergan bet as he ups the stake by 250%. With CNBC's Meg Tirrell.CNBC's Leslie Picker reports on David Tepper's Allergan bet as he ups the stake by 250%. With CNBC's Meg Tirrell.CNBC's Leslie Picker reports on David Tepper's Allergan bet as he ups the stake by 250%. With CNBC's Meg Tirrell.CNBC's Leslie Picker reports on David Tepper's Allergan bet as he ups the stake by 250%. With CNBC's Meg Tirrell.,248,2017-02-15,AGN,-0.0030127159303400355
2,2017-03-27,Health care showdown: Allergan vs. Valeant  ,"""Fast Money"" traders Guy Adami and Steve Grasso debate Allergan vs. Valeant, respectively.""Fast Money"" traders Guy Adami and Steve Grasso debate Allergan vs. Valeant, respectively.""Fast Money"" traders Guy Adami and Steve Grasso debate Allergan vs. Valeant, respectively.""Fast Money"" traders Guy Adami and Steve Grasso debate Allergan vs. Valeant, respectively.",221,2017-03-27,AGN,-0.0086006697438096
3,2017-03-29,Fast Money Madness: Nvidia vs. Allergan  ,"""Fast Money"" traders Guy Adami and Pete Najarian debate Nvidia vs. Allergan, respectively.""Fast Money"" traders Guy Adami and Pete Najarian debate Nvidia vs. Allergan, respectively.""Fast Money"" traders Guy Adami and Pete Najarian debate Nvidia vs. Allergan, respectively.""Fast Money"" traders Guy Adami and Pete Najarian debate Nvidia vs. Allergan, respectively.",219,2017-03-29,AGN,-0.003361905754301129
4,2017-05-11,"Final Trades: Valeant, Allergan and more  ","The ""Fast Money"" traders share their final trades of the day including Valeant, Foot Locker, Nabors and Allergan.The ""Fast Money"" traders share their final trades of the day including Valeant, Foot Locker, Nabors and Allergan.The ""Fast Money"" traders share their final trades of the day including Valeant, Foot Locker, Nabors and Allergan.The ""Fast Money"" traders share their final trades of the day including Valeant, Foot Locker, Nabors and Allergan.",189,2017-05-11,AGN,-0.005599823632000935
5,2017-06-15,Executive order on drug pricing could have positive outcome: Allergan CEO  Allergan CEO Brent Saunders on Trump’s drug pricing plans Allergan CEO on the battle over drug pricing  ,"show chapters
 Allergan CEO on the battle over drug pricing   
 3:17  PM ET Thu, 15 June 2017 |  02:02 
 Allergan CEO Brent Saunders believes an executive order on drug pricing could have a positive impact and he believes his company is well-positioned to handle any changes. 
 The Trump administration is preparing that executive order, which could be signed within weeks, Bloomberg reported Thursday, citing people close to the matter. The White House had no comment on the report.
One policy that may be included is a move toward more value-based agreements, according to Bloomberg.
 ""That is a good, positive, constructive outcome for the industry and for patients,"" Saunders said in an interview with CNBC's ""Power Lunch"" on Thursday.
Another thing being discussed in the industry as a possibility is more transparency around the rebates the industry pays and perhaps even applying those rebates directly to lowering drug prices instead of premiums, he added.
""Having them more directly lower the cost of drugs, I think, is a good thing and ultimately will lead to a more clear and transparent system for drugs because it is pretty complex today.""
Allergan has already committed to being responsible when it comes to drug pricing, releasing a social contract with patients in September. 
Because of that, Saunders believes Allergan is the best-positioned biopharmaceutical company to deal with a tougher or different pricing environment.
""We have great diversity. We already price our medicines I think very fairly. We don't take big prices increases,"" he said.
The question is what the rest of the industry will do.
""We have seen companies start to be, I think, a lot more responsible and a lot more focused on finding the right equilibrium between pricing and access and the ability to invest in innovation to procure the treatments of new diseases,"" he said. ""Where people set that equilibrium is a little different.""
News of the report sent drug stocks lower Thursday.    — CNBC's Eamon Javers and Fred Imbert contributed to this report.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });CNBC's Meg Tirrell talks to Brent Saunders, Allergan CEO, about an executive order on possibly lowering drug prices live from the Heartland Health Summit.CNBC's Meg Tirrell talks to Brent Saunders, Allergan CEO, about an executive order on possibly lowering drug prices live from the Heartland Health Summit.CNBC's Meg Tirrell talks to Brent Saunders, Allergan CEO, about an executive order on possibly lowering drug prices live from the Heartland Health Summit.CNBC's Meg Tirrell talks to Brent Saunders, Allergan CEO, about an executive order on possibly lowering drug prices live from the Heartland Health Summit.",165,2017-06-15,AGN,-0.007353603038954552
6,2017-08-07,Allergan CEO sees more millennials and men turning to aesthetic medical treatments  Allergan CEO sees more millennials and men turning to aesthetic medical treatments  Allergan CEO: More millennials and men turn to aesthetic treatments  ,"show chapters
 Allergan CEO: More millennials and men turn to aesthetic treatments   
 7:24  PM ET Mon,  7 Aug 2017 |  00:51 
 The ""selfie generation"" could be even more of a needle-mover than you thought, at least according to Allergan Chairman, President and CEO Brent Saunders.
 Of the 30 million people in the United States who consider getting aesthetic treatments like Allergan's Botox, only three million people actually follow through with getting the procedures.
But within that three million, ""we see two new groups that are starting to emerge: millennials, which only account for maybe 10, 15 percent of the three million, and males, which also probably account for 10, 15 percent,""  Saunders told ""Mad Money"" host Jim Cramer on Monday.
 Both millennials and males are relatively new to the aesthetic application space, but the groups are growing rapidly, the CEO said.
""So, yes, maybe the selfie generation has a lot to do with this,"" Saunders told Cramer.
Allergan has made a concerted push into the medical aesthetics space, its recent $2.48 billion acquisition of Zeltiq being the biopharmaceutical giant's latest move.
Allergan will add Zeltiq's signature body-contouring technology known as CoolSculpting to its list of aesthetic offerings, which also include Kybella, an injectable double-chin treatment.
Despite rumblings that Allergan's management was disappointed with Kybella's performance, Saunders assured Cramer that the treatment works, it will just take time to develop.
""We are creating a new market – the lower face,"" Saunders said. ""It takes some time. It took us a long time to develop the upper face, several years. CoolSculpting, for fat reduction, it's been around six, seven years. We just hit somewhere around four, five million treatments. We're just hitting our stride. These new markets take a few years to develop. We should be patient. But Kybella works, it delivers exactly as the label indicates, and the injectors are getting comfortable with it.""
 Watch the full interview with Allergan's Brent Saunders:
 show chapters
 Allergan CEO sees more millennials and men turning to aesthetic medical treatments   
 6:40  PM ET Mon,  7 Aug 2017 |  08:06 
 Disclosure: Cramer's charitable trust owns shares of Allergan.
 Questions for Cramer? Call Cramer: 1-800-743-CNBC Want to take a deep dive into Cramer's world? Hit him up! Mad Money Twitter -  Jim Cramer Twitter - Facebook - Instagram - Vine Questions, comments, suggestions for the ""Mad Money"" website? madcap@cnbc.com 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });Jim Cramer sat down with Allergan CEO Brent Saunders to hear how the 'selfie generation' is turning to aesthetic enhancements.Jim Cramer sat down with Allergan CEO Brent Saunders to hear how the 'selfie generation' is turning to aesthetic enhancements.Jim Cramer sat down with Allergan CEO Brent Saunders to hear how the 'selfie generation' is turning to aesthetic enhancements.Jim Cramer sat down with Allergan CEO Brent Saunders to hear how the 'selfie generation' is turning to aesthetic enhancements.Jim Cramer sat down with Allergan CEO Brent Saunders to hear how the 'selfie generation' is turning to aesthetic enhancements.Jim Cramer sat down with Allergan CEO Brent Saunders to hear how the 'selfie generation' is turning to aesthetic enhancements.Jim Cramer sat down with Allergan CEO Brent Saunders to hear how the 'selfie generation' is turning to aesthetic enhancements.Jim Cramer sat down with Allergan CEO Brent Saunders to hear how the 'selfie generation' is turning to aesthetic enhancements.",129,2017-08-07,AGN,0.005910695696128425
7,2017-08-16,"Black, Jewish Goldman Sachs executive sues firm for discrimination, claiming bias killed her chance to land Allergan CEO as client  Black, Jewish Goldman Sachs executive sues firm for discrimination, claiming bias killed her chance to land Allergan CEO as client  ","show chapters
 Black, Jewish Goldman Sachs executive sues firm for discrimination, claiming bias killed her chance to land Allergan CEO as client   
 6:28  PM ET Wed, 16 Aug 2017 |  00:53 
 A Goldman Sachs executive who is black and Jewish sued the firm and one of its managing directors for discrimination Wednesday, saying her effort to land Allergan's CEO Brent Saunders as a client was scuttled because of the partner's alleged race- and religious-based prejudice against her.
 The lawsuit by Goldman Sachs vice president Rebecca Allen also charges that ""the discrimination committed against Ms. Allen should come as no surprise given that the Bank has virtually no Black presence in its leadership.""
And it says Allen has faced ""discriminatory comments"" at Goldman Sachs ""based on the fact that she is Jewish, including various inquiries clearly designed to determine 'how Jewish' Ms. Allen is, given that she is Black.""
 A Goldman Sachs spokeswoman, when asked for comment, said, ""We believe this suit is without merit and we will vigorously contest it.""
""Our success depends on our ability to maintain a diverse employee base and we are focused on recruiting, retaining and promoting diverse professionals at all levels,"" the spokesman said.
An Allergan spokesman declined to comment.
Allen was hired into Goldman's private wealth management division in 2012, according to the suit.
Since then, the suit alleges, ""despite her outstanding work product and results,"" Allen ""has been discriminated against in myriad ways throughout her employment.""
Specifically, the suit alleges, Allen was given ""substantially fewer and less valuable clients"" than male colleagues when clients were redistributed among her team after colleagues left Goldman.
The suit also says she spent almost three years working on a potential client relationship with Saunders, head of the drug giant Allergan, who ""expressed interest in committing significant assets to"" the private wealth management division.
But last November, the suit charges, Allen ""was abruptly removed from the Saunders relationship without explanation.""
The removal deprived Allen of what she believed would end up being $300,000 in compensation annually.
Christina Minnis, a partner in Goldman's investment banking division, was responsible for Allen being removed, after Minnis ""became Mr. Saunders' investment banking relationship partner,"" the complaint states.
Allen's direct supervisor, Corey Jassem, asked Minnis, who is white, why she was removing Allen from dealing with Saunders, the suit says.
""Immediately after that conversation, Mr. Jassem told Ms. Allen that Ms. Minnis had made an anti-Semitic comment during the conversation and said 'all this racist stuff,'"" suggesting that Ms. Allen had been removed from the relationship because she is Black and Jewish,"" the suit says.
Jassem also allegedly told Allen ""that he was so distressed by his conversation with Ms. Minnis and her discriminatory remarks that he believed he had an obligation to elevate the issue to Human Resources,"" according to the complaint.
But Jassem never did so, and later changed his story, telling Allen that Minnis had only made anti-Semitic remarks, the suit says.
""Jassem went so far as to blame Ms. Allen for reacting to Ms. Minnis' misconduct and accused her of being hypersensitive,"" according to the suit.
Allen later was told by Goldman's employee relations division ""that she was removed from the account because Mr. Saunders was not impressed with her, a blatant lie,"" the suit says.
Minnis was promoted earlier this year to head of acquisition finance for Goldman Sachs, a newly created position, according to Dow Jones Newswires.
Allen's lawyers, Douglas Wigdor and Michael Willemin, in a statement said, ""It is inconceivable that Goldman Sachs holds itself out as being a diverse employer when [its 32-person] management team includes only one Black employee.""
""Not surprisingly, as a result, the entire leadership of the Bank and the Private Wealth Management Division is virtually devoid of color, and, according to the Complaint filed earlier today, critical decisions regarding which professionals will cover a client are made not based on ability, but rather on the basis of race,"" Allen's lawyers said.
""We are confident that with the filing of this complaint, other Black employees or those that were denied a position at Goldman will step forward so that we can expose what is really happening behind the closed doors with regard to the denial of opportunity for entrance and advancement for qualified Black individuals.""
— Additional reporting by CNBC's Jim Forkin
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });Goldman VP Rebecca Allen spent years trying to land Allergan's CEO, Brent Saunders, as a private wealth management client, her suit says.Goldman VP Rebecca Allen spent years trying to land Allergan's CEO, Brent Saunders, as a private wealth management client, her suit says.Goldman VP Rebecca Allen spent years trying to land Allergan's CEO, Brent Saunders, as a private wealth management client, her suit says.Goldman VP Rebecca Allen spent years trying to land Allergan's CEO, Brent Saunders, as a private wealth management client, her suit says.",122,2017-08-16,AGN,0.013721819203839712
8,2017-09-08,Forget casinos: This Native American tribe is doing business in pharma patents  Allergan reaches agreement regarding RESTASIS patents  ,"show chapters
 Allergan reaches agreement regarding RESTASIS patents   
 1:56  PM ET Fri,  8 Sept 2017 |  01:23 
 Pharmaceutical companies do some creative things to try to extend their patents, but Allergan may have just taken the cake.
 Allergan said Friday that it transferred all the patents for its billion-dollar eye drug Restasis to the Saint Regis Mohawk Tribe, which then granted the drug giant back an exclusive license.
For its trouble, the tribe will get $13.75 million from Allergan, plus potentially $15 million in annual royalties. 
 Why? Restasis is facing multiple patent challenges, including some under a system known as inter partes review, or IPR.
The tribe, Allergan says, holds sovereign immunity against these kinds of legal challenges, and thus is now filing a motion to dismiss the IPR.
The result: Allergan potentially gets a legal challenge off its back.
""I believe it's novel,"" Allergan CEO Brent Saunders told CNBC in a telephone interview after the agreement was announced. 
""The actions today really allow us to focus the defense of the Restasis patents in the federal court system and avoid the double jeopardy created by the IPR system,"" Saunders said.
Allergan's stock rose 1.8 percent in trading Friday on the heels of the news.
 Mark Neuling | CNBC 
Brent Saunders, president and CEO of Allergan.
 The Saint Regis Mohawk Tribe agreement doesn't affect Allergan's patent battles in the federal court system. That patent litigation, under the more traditional challenge through abbreviated new drug applications – or ANDAs – just wrapped a five-day trial in federal district court.
There is no precedent for this kind of move in the pharmaceutical industry, at least that Saunders said he was aware of.
But it has been done before with state universities, said Bob Bailey, Allergan's chief legal officer.
Bailey said Allergan was approached with the idea in early August. 
""My first reaction was: 'This is brilliant,'"" he said Friday.
The pharmaceutical industry has railed against the IPR system for patent challenges ever since hedge fund manager Kyle Bass used it to launch a series of attacks against drugmakers, while shorting their stocks. 
Saunders pointed out the legality of the IPR process has been challenged and is expected to be heard by the United States Supreme Court this fall.
Teva Pharmaceutical, one of the companies that has used the IPR process to try to invalidate the patents for Restastis called the agreement ""a new and unusual way for a company to try to delay access to high quality and affordable generic alternatives.""
""Teva will continue to pursue its ANDA and accompanying patent challenges and also will be interested to see what comments are made about this tactic by regulatory agencies,"" a Teva spokeswoman said.
The Saint Regis Mohawk Tribe called the agreement ""a viable and sound opportunity"" in its joint statement with Allergan on Friday. The tribe is working with the law firm Shore Chan DePumpo.
In an interview, Dale White, general counsel for the Saint Regis Mohawk Tribe, said it is seeking additional economic opportunities, including a soy plant project and other contracts, to add to the revenue it already gets from a casino.
The tribe is based in upstate New York, along the border of Canada, with a population of about 13,000.
""We're experiencing what a lot of tribes are experiencing: unless you're in a heavily populated area, you may not be able to rely on the revenues from casinos forever,"" White said. ""Then this came along, and at first it was like, 'This is too good to be true.'""
So should we expect to see more such partnerships from pharma? Evercore ISI analyst Umer Raffat says, potentially, yes.
""Allergan just made a legal move that is extremely important for the industry to track,"" Raffat wrote in a research note. He said if Allergan's partnership holds up in the courts, three other companies may seek to do the same: Eli Lilly, Amgen and Pfizer.
White strongly agreed.
Asked if the tribe would consider other similar deals with pharmaceutical companies, White said: ""Yes. Can you put my phone number in your article?""
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });CNBC's Meg Tirrell reports on shares of Allergan popping on reaching an agreement with eye drug RESTASIS patents.CNBC's Meg Tirrell reports on shares of Allergan popping on reaching an agreement with eye drug RESTASIS patents.CNBC's Meg Tirrell reports on shares of Allergan popping on reaching an agreement with eye drug RESTASIS patents.CNBC's Meg Tirrell reports on shares of Allergan popping on reaching an agreement with eye drug RESTASIS patents.",106,2017-09-08,AGN,-0.02435762267707073
9,2017-09-13,"""Fast Money"" final trades: TGT, TMO and more  ","The “Fast Money” traders share their final trades for the day including Target, Equifax, Allergan and Thermo Fisher Scientific.The “Fast Money” traders share their final trades for the day including Target, Equifax, Allergan and Thermo Fisher Scientific.The “Fast Money” traders share their final trades for the day including Target, Equifax, Allergan and Thermo Fisher Scientific.The “Fast Money” traders share their final trades for the day including Target, Equifax, Allergan and Thermo Fisher Scientific.",103,2017-09-13,AGN,0.020713902638368382
