,postDate,headline,articleHTML,Unnamed: 0,date,ticker,daily_change
0,2017-03-14,McConnell: Hard to predict coverage under GOP bill  ,CNBC's Kayla Tausche reports on the discussion between President Trump and Anthem CEO as well as more lawmaker reaction to the GOP's health care plan.CNBC's Kayla Tausche reports on the discussion between President Trump and Anthem CEO as well as more lawmaker reaction to the GOP's health care plan.CNBC's Kayla Tausche reports on the discussion between President Trump and Anthem CEO as well as more lawmaker reaction to the GOP's health care plan.CNBC's Kayla Tausche reports on the discussion between President Trump and Anthem CEO as well as more lawmaker reaction to the GOP's health care plan.,230,2017-03-14,ANTM,0.012394118105793418
1,2017-03-24,"Here are the stocks that win if the Trump-Ryan health-care bill passes, says top analyst  ","show chapters
 Best bets in health care stocks: Pro   
 6:30  AM ET Fri, 24 March 2017 |  02:37 
 UnitedHealth Group, Anthem and Humana would be among the big winners if the Trump-Ryan health-care bill is approved by the House on Friday, Leerink Partners analyst Ana Gupte told CNBC. 
 Gupte, an equity research senior analyst covering health care, said the pharmaceutical industry also would come out well under the American Health Care Act.
""They didn't have drug pricing legislation built into this,"" Gupte said on ""Squawk Box.""
 ""They got a tax break. Maybe they can give some of that back to consumers in the form of co-pay assistance that may get the government off their back and the president's populist agenda gets served as well,"" she said.
The pharma industry has been scrutinized by lawmakers after leading drugmakers hiked their prices, sometimes by triple digits. Some analyst, however, say those companies are outliers.
The House is expected to vote Friday on the bill backed by President Donald Trump and House Speaker Paul Ryan to repeal and replace former President Barack Obama's  Affordable Care Act. 
The vote was postponed Thursday after Republican leaders failed to rally enough support to pass the bill because of a rebellion by the conservative Freedom Caucus and moderate Republicans. Trump has demanded that the House approve the plan as is Friday or leave Obamacare in place.
Disclosure: Leerink Partners makes a market in UnitedHealth Group, Anthem and Humana.
 Disclaimer
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",222,2017-03-24,ANTM,0.016030575205342068
2,2017-03-30,Big Obamacare insurer Anthem seen 'leaning toward exiting' many areas where it now sells plans  ,"T.J. Kirkpatrick | Bloomberg | Getty Images
Joseph Swedish, chief executive officer of Anthem.
 A new analyst report says there is reason to believe that major Obamacare insurer Anthem ""is leaning toward exiting a high percentage"" of the insurance regions where it currently sells individual health plans.
 If that happens, millions of Obamacare customers and potential customers would be left in 2018 with even fewer choices of insurers than they have now.
The report on Thursday from Jefferies comes almost two months after Anthem CEO Joseph Swedish warned the insurer, which sells plans under the Blue Cross Blue Shield might decide within months ""whether or not we surgically extract ourselves from certain rating regions, or even on a larger scale, depending on the stability of the marketplace.""
 In recent conversations with Jeffreries analysts, Anthem management referred to the statements about ""surgical reductions, but currently seems to be leaning toward broader extraction,"" the report said.
 show chapters
 McConnell: Hard to predict coverage under GOP bill   
 3:22  PM ET Tue, 14 March 2017 |  01:58 
 News of the Jefferies' analysis first was reported by Bloomberg.
Anthem currently insures more than 800,000 individual plan customers in 144 rating regions in 14 states.
Other major insurers, including Aetna, UnitedHealthcare, Cigna and Humana, have already scaled back their footprints in the Obamacare markets.
But Anthem's exit would potentially have a bigger impact.
Earlier this month, an analysis by Axios.com said, ""An Anthem exit would cause arguably the most disruption nationwide.""
""Roughly 255,000 people across Colorado, Kentucky, Missouri and Ohio would have no Obamacare insurers for 2018, and 560,000 people in eight states would have just one insurer,"" the analysis by Axios.com said.
Anthem's management has indicated that it would like regulatory changes that could lower the financial risk it runs in insuring Obamacare customers.
The Jefferies report said that management told the analysts that ""regulatory advocacy needs to progress significantly in the next 'month or so.' ""
""Improvements such as eligibility verification, more rigid special enrollment periods, shortening of premium grace periods are steps in the right direction, but not enough,"" the Jefferies analysts wrote of Anthem's view.
Another factor that would play into Anthem's decision on whether, and to what extent, to pull out of Obamacare markets is the level of health claims that its current pool of customers will end up having this year.
Management told Jefferies that it normally takes up to six months of claims ""to get a sense of risk profile on its new enrollees (so, mid-year).""
 show chapters
 HHS Secretary Tom Price on upholding Obamacare   
 1:27  PM ET Wed, 29 March 2017 |  02:44 
 Anthem's management also expects that state insurance departments will tend to approve substantially higher premium rates for 2018 plans, as they did for plans that went into effect in January of this year, ""in efforts to sustain individual markets.""
Asked about the Jefferies report, Anthem told CNBC that the company ""has served consumers in the individual health insurance market for over seven decades.""
""Since the launch of the ACA in 2014, we have been in continuous dialogue with previous and current administrations and Congress to emphasize the importance of regulatory and statutory changes in order to ensure sustainability and affordability of the Individual market for consumers,"" Anthem said.
""We continue to actively pursue policy changes that will help with market stabilization and achieve the common goal of making quality health care more affordable and accessible for all.""
Robert Laszewski, a health insurance analyst, in a blog post on the Jefferies report, wrote, ""Will Anthem, part of the Blue Cross Blue Shield exchange market backbone left in most of the states, really exit? Or, is this just a negotiating ploy just as the Trump administration is about to make key decisions regarding the Obamacare exchange market for 2018?""
""I have my doubts that Anthem will end up exiting the Obamacare exchanges,"" wrote Laszewski, president of Health Policy and Strategy Associates.
""While Anthem is a publicly traded company, its legacy Blue Cross plans in the 14 states in which it participates have a long tradition of being a community partner.""
Watch: Lingering Obamacare court cases trouble insurers
 show chapters
 Lingering Obamacare court cases are troubling insurers   
 2:27  PM ET Tue, 28 March 2017 |  02:22 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",218,2017-03-30,ANTM,-0.012648485196389123
3,2017-04-24,Express Scripts CEO: Would love nothing more than to keep Anthem as client  Express Scripts CEO on Anthem contract: Time to show investors power in our core  Express Scripts provides update on Anthem partnership  ,"show chapters
 Express Scripts CEO on Anthem contract: Time to show investors power in our core   
 7:06  PM ET Mon, 24 April 2017 |  05:23 
 The fact that Anthem wants to cut ties with Express Scripts is ""perplexing,"" Express Scripts CEO Tim Wentworth told CNBC on Monday.
 The pharmacy benefit manager announced on Monday its PBM contract with health-benefits company Anthem was unlikely to be extended after its expiration in late 2019.
""We've given them terrific service,"" Wentworth said in an interview with ""Closing Bell.""
 ""I would love nothing more than to find a way to keep Anthem as a client. We've offered them billions of dollars of rate relief for the next three years — price concessions, as it were — that they're not contractually entitled to.""
Shares of Express Scripts fell more than 15 percent after the bell on Monday.
Last month, a federal judge dismissed two of the six counterclaims that Express Scripts raised in health insurer Anthem's $15 billion lawsuit claiming it charged too much for drugs.
Anthem had sued Express Scripts in March 2016, accusing it of excessive pricing and operational failures. It also sought the right to terminate its 10-year contract with Express Scripts.
Wentworth called the 2009 deal with Anthem ""transformational"" and noted that Anthem ultimately wound up with $4.7 billion up front that he said Anthem used to buy its stock back.
""We got them back in business in 2009, in their sanctioned CMS business. We delivered costs savings to them out of the shoot. They actually came up short in the short run in terms of delivering claims to us, and this deal actually didn't look terrific in the early years,"" he said.
He also brushed aside any notion that there may be more pressure from its other 2,900 clients, noting that the Anthem deal was different from all the others.
""Our 98 percent retention rate, 97.5 percent last year, proves that we're actually delivering for those clients,"" said Wentworth.
—Reuters contributed to this report.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });Express Scripts CEO Tim Wentworth speaks to CNBC's Meg Tirrell about Q1 earnings and the company's contract with Anthem.Express Scripts CEO Tim Wentworth speaks to CNBC's Meg Tirrell about Q1 earnings and the company's contract with Anthem.Express Scripts CEO Tim Wentworth speaks to CNBC's Meg Tirrell about Q1 earnings and the company's contract with Anthem.Express Scripts CEO Tim Wentworth speaks to CNBC's Meg Tirrell about Q1 earnings and the company's contract with Anthem.Earnings are out for Express Scripts. CNBC's Meg Tirrell reports the details.Earnings are out for Express Scripts. CNBC's Meg Tirrell reports the details.Earnings are out for Express Scripts. CNBC's Meg Tirrell reports the details.Earnings are out for Express Scripts. CNBC's Meg Tirrell reports the details.",202,2017-04-24,ANTM,-0.003628688434856989
4,2017-04-26,Anthem could bolt from Obamacare exchange if subsidies are cut  ,"Getty Images
 Anthem, the largest insurer providing individual Obamacare exchange plans, said it may drop out of state exchanges next year, if the uncertainty over funding of cost-sharing reduction subsidies is not resolved in Washington in the next month.
 ""We plan to file preliminary 2018 rates with the assumption that the cost-sharing reductions will be funded,"" Anthem Chairman and CEO Joseph Swedish told investors on the company's first-quarter earnings call.
""We are notifying our states that if we do not have certainty that CSRs will be funded for 2018 by early June, we will need to evaluate appropriate adjustments to our filing,"" Swedish said. Those adjustments could include resubmitting higher rates increases, ""or exiting certain individual ACA-compliant markets altogether.""
 Anthem's first-quarter profit was well above analyst expectations, helped in part by higher premium rates on its Affordable Care Act exchange plans. The health insurer earned an adjusted $4.68 per share, well above the Thomson Reuters estimate of $3.86 per share. On the top line, $22.32 billion in revenue was more than $1 billion higher than analyst expectations, driven by strong enrollment growth across its commercial, Medicaid and Medicare products.
Anthem executives said they were encouraged by some of the moves taken by the Trump administration to stabilize the market, including tighter special enrollment rules.
They said they continue to engage congressional and administration officials in Washington about additional steps that will help increase stability, including funding for high-risk pools and reinsurance to help offset very high-cost patients, as well as the CSR payments.
Health insurers, hospital groups and other health-care industry advocates have been pressing congressional leaders and the Trump administration to fund the so-called CSRs, which reduce out-of-pockets costs for millions of low-income Obamacare enrollees. The insurers front the initial costs, which for 2017 are estimated to be roughly $7 billion. Until now, the government has reimbursed them for those payments.
The administration and congressional leaders have given mixed signals about the fate of CSR funding. Republican congressional leaders, who sued the Obama administration over funding authorization for the CSRs, say they can continue for now. President Donald Trump in recent weeks hinted that continued funding for the subsidies was up for negotiation.
House Speaker Paul Ryan said Republicans are close to reaching consensus on a new health-care reform bill that addresses reducing premium costs, but the new amendment to the American Health Care Act by Rep. Tom MacArthur of New Jersey would not address the cost-sharing subsidies.
""CSRs — we're not doing that,"" Ryan told reporters at his weekly news conference. ""That is not in the appropriation bill, that's something separate that the administration does.""
Without clarity soon on the CSRs and the health insurer tax for 2018, Anthem said the industry will have a hard time coming up with rates.
""Before accounting for any other issues, rates could increase by an additional 20 percent or more if CSR subsidies are not funded. The return of the health insurance tax is also expected to increase rates by an additional 3 to 5 percent,"" said Swedish. ""Obviously, this level of additional increase would cause further market instability.""
Anthem shares closed up more than 3 percent on Wednesday. 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",200,2017-04-26,ANTM,-0.03738806403900328
5,2017-06-06,Anthem will drop out of Ohio's Obamacare market; 18 counties could be left with no ACA plan  Anthem to exit Ohio health-care exchange in 2018  ,"show chapters
 Anthem to exit Ohio health-care exchange in 2018   
 6:23  PM ET Tue,  6 June 2017 |  01:07 
 A big Obamacare shoe just dropped in Ohio.
 Health insurer Anthem said Tuesday it will effectively exit its Obamacare individual plan business in Ohio, leaving potentially 18 counties in the Buckeye State with no insurer selling plans in 2018.
Anthem, which sells Obamacare plans in 14 states this year, left open the door to dropping out of other states next year.
 The company this year sold individual health plans in all 88 counties in Ohio, the only Obamacare insurer to cover the whole state.
But next year, Anthem said, it will sell just a single plan in Pike County, and that will only be available outside of the Obamacare federal marketplace, HealthCare.gov. 
There are 10,500 current Anthem customers in the 18 counties who are currently not expected to have an Obamacare plan available as a result of Anthem's planned exit, which was revealed a day after the deadline for filing proposed rates in Ohio for next year.
The company, in explaining what it called ""a difficult decision,"" pointed to continued ""volatility"" in the individual health plan market, as well as to uncertainty about whether President Donald Trump and the Republican-controlled Congress will continue paying insurers reimbursements for key Obamacare subsidies that reduce low-income customers' out-of-pocket health costs.
The company also blamed the restoration of a tax on insurers.
""An increasing lack of overall predictability simply does not provide a sustainable path forward to provide affordable plan choices for consumers,"" said Anthem. 
""As the Individual marketplace continues to evolve, Anthem will continue to advocate solutions that will stabilize the market to allow us to return to a more robust presence in the future,"" the company said.
 Getty Images
 ""We participated in [Obamacare] exchanges in all of our 14 states this year,"" an Anthem spokeswoman said. ""Regulations and deadlines for making the decisions regarding our participation vary by state and we intend to continue our dialog with regulators in our markets until that time.""
The Ohio Department of Insurance said there were 17 companies selling Obamacare plans in the state through the federal marketplace HealthCare.gov in 2016. That dropped to just 11 companies this year. 
Anthem currently is the only Obamacare insurer in the state's 20 counties that have just one insurer. The insurance department said that based on preliminary rate filings for 2018 Anthem's pullback across the state will leave at least 18 counties with no Obamacare insurer next year.
""For the past few years, we have seen a weakening in the federal insurance marketplace as a number of companies have withdrawn from the exchange,"" said Chris Brock, a spokesman for the state's insurance department.
""We have always argued the private insurance market is the most severely impacted by the federal law and that is where congressional action is needed to restore stability.""
""The Department of Insurance is looking for options to help the approximately 10,500 Ohioans in counties where there may not be an exchange plan when this takes effect in 2018,"" Brock said.
Anthem will continue selling small-group and large-group health plans in Ohio, which currently cover about 3.4 million people.
 Gus Ruelas | Reuters
 Alleigh Marré, spokeswoman for the U.S. Department of Health and Human Services, said ""This news is heartbreaking for the millions of Ohioans who depend on access to affordable, high-quality healthcare, and this is a stark reminder that Obamacare is collapsing.""
""Now is the time to advance real healthcare reform that empowers individuals and families with the choices and resources they need to buy a plan that meets their healthcare needs without breaking their budgets."" Marré said. ""The American people can't afford to wait any longer.""
Katherine Hempstead, senior advisor at the Robert Wood Johnson Foundation, said, ""The things that Anthem does are very consequential because in a lot of the markets where they are they're the only carrier or one of two, so they have a really big footprint and a really important footprint.""
Hempstead said that Anthem in recent years has more like local Blue Cross operators, maintaining a stronger commitment to the Obamacare exchanges, compared with its national peers like Aetna and Humana, which each announced a big pullback from the exchanges for 2018 earlier this year.
""I'm a little bit surprised at the Ohio decision,"" Hempstead said.
In an analysis earlier this year, Hempstead wrote,  ""Anthem is the most significant [Obamacare] marketplace participant.""
""With plans in 14 states, an Anthem exit would leave nearly 300 counties and about a quarter of a million marketplace enrollees with no carrier, mostly in Georgia, Missouri, and Kentucky,"" she wrote. ""An additional half million consumers residing in 227 other counties would find themselves with only one carrier.""
U.S. Sen. Rob Portman, R-Ohio, in a prepared statement said, ""For the past few years we've seen premiums and deductibles skyrocket because of the Obamacare law, as we've seen a declining number of viable health care choices for families and small businesses.""
""Now, with the pullout of Anthem in Ohio, there are at least 20 counties without a single insurer offering health coverage on the Obamacare exchange,"" Portman said. ""And many other counties will have only one insurer, with no competition to get costs down for families. This is a problem not just in Ohio but across the country. Approximately one-third of the counties around the United States now only have one insurer, and more and more counties are seeing their last insurer leave just like those in Ohio.""
""Without true competition and choice in the market, we will never be able to lower health care costs for families and small businesses. This is one more reason why the status quo on health care is unsustainable. The Affordable Care Act has failed to meet the promises that were made to Ohio families,"" he said.
But Tom Perez, chairman of the Democratic National Committee, said Anthem's departure is the result of Trump's  ""sabotage"" of Obamacare.
""Democrats believe health care is a right for all. That's why we're fighting every day to protect health care for families in Ohio and across the country,"" Perez said. ""More than 664,000 previously uninsured Ohioans have gained access to affordable health care under Obamacare, and as many as 5 million people with pre-existing conditions could have been denied coverage before the law went into effect. Now, because of Donald Trump and Republicans' efforts to sabotage health insurance markets and play games with the lives of the American people, thousands of families in up to 20 Ohio counties will lose their health insurance.""
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });CNBC's Bertha Coombs reports on Anthem exiting from Obamacare in Ohio in 2018.CNBC's Bertha Coombs reports on Anthem exiting from Obamacare in Ohio in 2018.CNBC's Bertha Coombs reports on Anthem exiting from Obamacare in Ohio in 2018.CNBC's Bertha Coombs reports on Anthem exiting from Obamacare in Ohio in 2018.",172,2017-06-06,ANTM,-0.005129038331793629
6,2017-06-07,"McConnell: Health-care vote ""close""  ",CNBC's Kayla Tausche reports on President Trump's remarks on health care in Ohio today after news Anthem will stop offering plans under Obamacare in the state.CNBC's Kayla Tausche reports on President Trump's remarks on health care in Ohio today after news Anthem will stop offering plans under Obamacare in the state.CNBC's Kayla Tausche reports on President Trump's remarks on health care in Ohio today after news Anthem will stop offering plans under Obamacare in the state.CNBC's Kayla Tausche reports on President Trump's remarks on health care in Ohio today after news Anthem will stop offering plans under Obamacare in the state.,171,2017-06-07,ANTM,-0.0036172176256259727
7,2017-06-15,Anthem CEO: Certain Obamacare markets are not sustainable  Anthem CEO on health-care exchange participation  ,"show chapters
 Anthem CEO on health-care exchange participation   
 3:22  PM ET Wed, 21 June 2017 |  06:05 
 Anthem's CEO told CNBC on Thursday it was a ""complicated decision"" to pull out of Ohio's Obamacare market, but said the model had become unsustainable.
 The health insurer announced earlier this month that it will effectively exit its Obamacare individual plans in the Buckeye State. Anthem, which sells Affordable Care Act plans in 14 states this year, left the door open to dropping out of other states this year.
CEO Joseph Swedish told CNBC the company has repeatedly said that it very carefully evaluated the Obamacare marketplace.
 ""We've also said that it's possible without the right kinds of changes with respect to funding levels and other regulations associated with the Affordable Care Act that we may have to exit certain markets because those markets are not sustainable,"" he said in an interview with ""Closing Bell.""
Because there have been very few adjustments, the operating model has ""deteriorated substantially.""
""Adjustments have not occurred and certain decisions have not been made to further strengthen or stabilize that marketplace. ... [W]e've come to sort of a fork in the road in terms of our inability to service our communities,"" Swedish said.
""Fixing the individual market, fixing the Affordable Care Act and possibly getting to some new model of delivery for the individual marketplace will evolve so that sustainability is created,"" he said.
President Donald Trump has vowed to replace Obamacare. House Republicans passed their health-care bill last month. Now, the Senate is working on its version.
— CNBC's Bertha Coombs and Dan Mangan contributed to this report.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });Anthem CEO Joseph Swedish speaks to CNBC's Meg Tirrell about exiting from the Ohio insurance marketplace and his company's future on other state's health-care exchanges.Anthem CEO Joseph Swedish speaks to CNBC's Meg Tirrell about exiting from the Ohio insurance marketplace and his company's future on other state's health-care exchanges.Anthem CEO Joseph Swedish speaks to CNBC's Meg Tirrell about exiting from the Ohio insurance marketplace and his company's future on other state's health-care exchanges.Anthem CEO Joseph Swedish speaks to CNBC's Meg Tirrell about exiting from the Ohio insurance marketplace and his company's future on other state's health-care exchanges.",165,2017-06-15,ANTM,0.00010595465150838712
8,2017-06-21,Anthem pulls out of Obamacare markets in Wisconsin and Indiana for 2018  ,"T.J. Kirkpatrick | Bloomberg | Getty Images
Joseph Swedish, chief executive officer of Anthem.
 Big health insurer Anthem — which already had announced plans to effectively depart Ohio's Obamacare market in 2018 — said Wednesday it will almost completely leave Affordable Care Act markets in Wisconsin and Indiana in 2018.
 Anthem, as it did with its Ohio pullout, blamed a ""volatile"" market for individual health plans, as well as ""uncertainty"" about the federal government's stance on Obamacare's rules and regulations.
The insurer also said it was worried about whether the Trump administration will continue paying insurers billions of dollars in reimbursements for subsidies that reduce out-of-pocket health costs to low-income Obamacare customers.
 The administration, with Republican leaders in Congress, is pushing for legislation that could repeal and replace key parts of Obamacare, possibly resulting in millions of people ending their enrollment in individual health plans like those sold by Anthem. Those plans are bought by people who don't have health coverage through a job or elsewhere.
The administration and Congress also have refused to make a long-term guarantee to continue paying insurers the so-called cost-sharing reimbursements to insurers, without which insurers will have to significantly raise their premium prices.
Anthem said Wednesday it will offer just one individual health plan outside of the HealthCare.gov Obamacare marketplace in a single county in Wisconsin, and one such plan also sold outside of that federally run marketplace in five Indiana counties.
By offering those plans, Anthem will avoid a five-year ban on re-entering the individual health plan markets that is imposed on insurers who completely exit a state's Obamacare market.
Anthem currently sells Obamacare plans in 14 states. So far, it has announced plans to almost completely pull out of three of those states in 2018, and it is not clear how many states Anthem may depart.
""After significant dialogue with state leaders and regulators Anthem has made the difficult decision to reduce its 2018 Individual plan offerings in Wisconsin and Indiana,"" the insurer said.
""While we are pleased that some steps have been taken to address the long-term challenges all health plans serving the Individual market are facing, the Individual market remains volatile,"" Anthem said.
""Today, planning and pricing for ACA-compliant health plans has become increasingly difficult due to a shrinking and deteriorating individual market, as well as continual changes and uncertainty in federal operations, rules and guidance, including cost-sharing reduction subsidies and the restoration of taxes on fully insured coverage.""
Anthem's decision Wednesday does not affect the company's business selling employer-based health coverage, Medicare Advantage, or Medicaid plans in Wisconsin or Indiana.
""We will continue to advocate solutions that will stabilize the market and allow us return to a more robust presence in the future,"" Anthem said.
""In those states where Anthem has not yet made a final participation decision, we continue to work with regulators and remain actively engaged in dialogue.""
Larry Levitt, an Obamacare expert at the Kaiser Family Foundation, said: ""There is no question that Anthem has soured on the marketplace, given underlying instability and the tremendous uncertainty stoked by the Trump administration and the health-care debate in Congress.""
""Assuming other insurers in Indiana and Wisconsin stick around, there will still be at least one insurer in all counties in these states,"" Levitt said.
 WATCH:  Anthem CEO on health-care exchange participation
 show chapters
 Anthem CEO on health-care exchange participation   
 3:22  PM ET Wed, 21 June 2017 |  06:05 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",161,2017-06-21,ANTM,-0.0003645168889790232
9,2017-07-31,"New Anthem data breach by contractor affects more than 18,000 enrollees  ","Andrew Harrer | Bloomberg | Getty Images
 A data breach may have exposed personal health information of more than 18,000 Anthem Medicare enrollees, after one of the insurer's health care consulting firms discovered that one of its employees had been involved in identity theft.
 Anthem says it was contacted about the breach by the consulting firm LaunchPoint Ventures on June 14. LaunchPoint discovered two months earlier that one of its employees had been involved in involved in a case of identity theft, and further investigation discovered that the worker had ""emailed a file with information about Anthem companies' members to his personal email address,"" a year ago.
In all, more than 18,500 Anthem Medicare members' Social Security and Medicare identification data may have been exposed. The health insurer reported the breach to the Department of Health and Human services on July 24, the same day LaunchPoint began notifying members, according to an Anthem spokeswoman. 
 Why did it take so long for them to reach out to members?
""Anthem had to work with LaunchPoint to determine if the information contained in the report corresponded to Anthem family health plan members,"" explained Anthem public relations director Gene Rodriguez, adding: ""(We) had to ensure LaunchPoint had accurate address information in order to notify those impacted.""
This is the second major data breach for Anthem in two years. Last month, the health insurer agreed to a $115 million settlement to resolve a class action lawsuit over a 2015 breach that saw hackers gain access to the personal information of nearly 80 million people. That agreement, which must still be approved by a federal judge, would mark a record for a cyber-breach.
In 2013, the company paid $1.7 million to resolve a federal complaint that it exposed protected health information of more than 600,000 people, due to online security failures.
The contractor from LaunchPoint has been ""terminated,"" according to Anthem, and is incarcerated on charges unrelated to the Anthem breach. The company further stated that LaunchPoint is reevaluating its security safeguards.
Individuals' whose data were exposed will be provided with free credit monitoring and identity theft restoration services for two years.
—By Bertha Coombs. Follow her on Twitter: @coombscnbc
 WATCH: Anthem CEO on ACA participation
 show chapters
 Anthem CEO on health-care exchange participation   
 3:22  PM ET Wed, 21 June 2017 |  06:05 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",134,2017-07-31,ANTM,0.008449248126443891
