,postDate,headline,articleHTML,Unnamed: 0,date,ticker,daily_change
0,2017-02-10,"Activision Blizzard shares jump after earnings beat, buyback  ","Chesnot | Getty Images
Visitors queue to play the video game 'Call of Duty, Infinite Warfare' developed by Infinity Ward and published by Activision during the 'Paris Games Week' on October 26, 2016 in Paris, France.
 Video game publisher Activision Blizzard's shares leaped Friday after unexpectedly strong fourth quarter results and a share buyback announcement.
 The Santa Monica, California-based company reported adjusted earnings of 92 cents a share for the fourth quarter, 19 cents above estimates, while revenue of $2.45 billion also topped expectations. The company said it had 447 million monthly active users in the quarter, including a record number of monthly active users in the Blizzard division.
Activision Blizzard attributed the solid results to its successful multiplayer shooter game ""Overwatch"" and its acquisition of ""Candy Crush"" maker King Digital last year. The company is known for blockbuster franchises like ""Call of Duty"" and ""World of Warcraft.""
 The firm also announced a two-year buyback program of $1 billion in outstanding common stock, beginning Feb. 13, 2017.
Shares gained more than 18 percent in Friday trade. With Friday's gains, the stock has surged 30 percent so far this year.
 Activision Blizzard shares 1-month performance
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",251,2017-02-10,ATVI,-0.1729227140815182
1,2017-05-23,Cramer's charts take on video game companies  ,"Jim Cramer, with the help of chart master Bob Lang, examines how the fundamentals at video game companies such as Electronic Arts, Take-Two Interactive and Activision Blizzard are set up for a strong run.Jim Cramer, with the help of chart master Bob Lang, examines how the fundamentals at video game companies such as Electronic Arts, Take-Two Interactive and Activision Blizzard are set up for a strong run.Jim Cramer, with the help of chart master Bob Lang, examines how the fundamentals at video game companies such as Electronic Arts, Take-Two Interactive and Activision Blizzard are set up for a strong run.Jim Cramer, with the help of chart master Bob Lang, examines how the fundamentals at video game companies such as Electronic Arts, Take-Two Interactive and Activision Blizzard are set up for a strong run.",181,2017-05-23,ATVI,-0.011834457647002795
2,2017-06-29,Game over for Take Two and Activision Blizzard?  ,"The ""Halftime Report"" traders debate CFRA's call to sell Activision Blizzard and Take Two.The ""Halftime Report"" traders debate CFRA's call to sell Activision Blizzard and Take Two.The ""Halftime Report"" traders debate CFRA's call to sell Activision Blizzard and Take Two.The ""Halftime Report"" traders debate CFRA's call to sell Activision Blizzard and Take Two.",155,2017-06-29,ATVI,0.021136623287834774
3,2017-07-12,Patriots' Robert Kraft and NY Mets' Jeff Wilpon among first owners in e-sports Overwatch League  ,"Bobby Kotick, Activision Blizzard CEO; Robert Kraft, New England Patriots owner; and Jeff Wilpon, New York Mets COO, discuss the growth in e-sports and their own investments in gaming with CNBC's Julia Boorstin.Bobby Kotick, Activision Blizzard CEO; Robert Kraft, New England Patriots owner; and Jeff Wilpon, New York Mets COO, discuss the growth in e-sports and their own investments in gaming with CNBC's Julia Boorstin.Bobby Kotick, Activision Blizzard CEO; Robert Kraft, New England Patriots owner; and Jeff Wilpon, New York Mets COO, discuss the growth in e-sports and their own investments in gaming with CNBC's Julia Boorstin.Bobby Kotick, Activision Blizzard CEO; Robert Kraft, New England Patriots owner; and Jeff Wilpon, New York Mets COO, discuss the growth in e-sports and their own investments in gaming with CNBC's Julia Boorstin.",147,2017-07-12,ATVI,-0.05110355579501424
4,2017-08-03,Activision Blizzard beats on top line  Trading Nation: The best in tech?  ,"CNBC's Julia Boorstin reports on the quarterly earnings for Activision Blizzard.CNBC's Julia Boorstin reports on the quarterly earnings for Activision Blizzard.CNBC's Julia Boorstin reports on the quarterly earnings for Activision Blizzard.CNBC's Julia Boorstin reports on the quarterly earnings for Activision Blizzard.Matt Maley, Miller Tabak, and Mark Tepper, Strategic Wealth Partners, discuss the performance of Activision Blizzard with Brian Sullivan.Matt Maley, Miller Tabak, and Mark Tepper, Strategic Wealth Partners, discuss the performance of Activision Blizzard with Brian Sullivan.Matt Maley, Miller Tabak, and Mark Tepper, Strategic Wealth Partners, discuss the performance of Activision Blizzard with Brian Sullivan.Matt Maley, Miller Tabak, and Mark Tepper, Strategic Wealth Partners, discuss the performance of Activision Blizzard with Brian Sullivan.",131,2017-08-03,ATVI,-0.040190387450002335
5,2017-08-04,"This is the best-performing tech stock this year, and no one is talking about it  Wall Street says Activision Blizzard will be the Disney for the 21st century  ","show chapters
 Trading Nation: The best in tech?   
 3:14  PM ET Thu,  3 Aug 2017 |  02:04 
 Activision Blizzard has been on a stealth rally this year, soaring nearly 76 percent, and traders are betting on an even bigger rally ahead.
 The video game giant is the best performing tech stock in 2017, quietly hitting an all-time high on Thursday.
According to Mark Tepper of Strategic Wealth Partners, the gaming industry is growing at around 16 percent a year, and that has grabbed the attention of investors.
 ""We'd be owners. Activision is a really intriguing play. The growth opportunity's huge,"" Tepper said Thursday on CNBC's ""Power Lunch.""
Tepper added that gaming is ""becoming more social, which means people are playing longer and longer, and the profit per user is growing at 6 percent. This particular company, Activision, they've got the leaders in gaming with Call of Duty, Overwatch, Candy Crush. I'm getting the Candy Crush invitations every day on Facebook, so we'd be a buyer.""
Matt Maley of Miller Tabak said that while he likes the stock at current levels, he would proceed with caution when looking at the tech sector.
""I like the stock here, and especially if it breaks off from its current level, because it would give it a nice higher high,"" he explained. ""[But] as good as Activision looks, there is a yellow flag in the tech stocks overall because the SOX semiconductor index, which has been a key leading subgroup for the tech stocks, is starting to roll over a bit.""
 The tech ETF, XLK, is the best-performing sector this year — surging more than 22 percent.
Maley reiterated that investors should be cautious. ""This really is a yellow flag. If we see further weakness in the stocks, and we have stocks like Micron continuing to break down, that's going to turn a yellow stock into a red stock, and maybe we'll see a little bit more of a breather in the tech rally,"" Tabak warned.
Activision posted better-than-expected earnings of $0.55 per share on $1.42 billion in revenue and reported 407 million monthly active users in the second quarter.
 Vote
Vote to see results
 Total Votes: 
Not a Scientific Survey. Results may not total 100% due to rounding.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });Source: Overwatch
A scene from ""Overwatch"" game.
 Wall Street analysts predict Activision Blizzard is the future of media and entertainment as it enters new businesses such as esports, consumer products and advertising. ""With its stable of core franchises and a multitude of future growth opportunities, ATVI is building a Disney-type media business for the 21st Century, but with (much) higher operating margin,"" Jefferies analyst Timothy O'Shea wrote in a note to clients Friday.
 ""We see large opportunities around eSports, ads, mobile games, full-game downloads, and consumer products. But for 2Q, the big beat was driven by in-game spending, the biggest opportunity of them all.""
The video game maker's shares fell more than 3 percent midday Friday a day even after it reported better than expected second-quarter earnings results.  Activision Blizzard has been one of the best-performing stocks in the market with the shares up 77.2 percent year to date through Thursday versus the S&P 500's 10.4 percent return.
 O'Shea reaffirmed his buy rating and raised his price target for Activision Blizzard to $78 from $68, representing 22 percent upside from Thursday's close.
The analyst cited how the company sold the first seven teams in its esports Overwatch league for approximately $20 million each. He expects Activision Blizzard will be able to create a ""NFL-style"" business on the game with ""broadcast rights, ads and sponsorships."" In addition, O'Shea noted the company has beaten its earnings per share guidance in 90 percent of the last 21 financial quarters. In similar fashion, Baird is bullish on the game maker's future growth markets. ""We remain encouraged by the company's extensive portfolio of key franchises, and believe growth opportunities remain as new titles, growing esports offerings, and improving monetization trends continue to generate upside potential,"" Baird analyst Colin Sebastian wrote in note to clients Thursday. Sebastian reiterated his outperform rating on the company and increased his price forecast to $68 from $60.
Also on Friday, Bank of America Merrill Lynch upgraded the stock to buy from neutral.
 Disclaimer
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",130,2017-08-04,ATVI,0.031118561100259713
6,2017-08-08,"Credit Suisse's Garthwaite says dollar entering long bear market, so load up on McDonald's and tech  ","Peter Kovalev | TASS | Getty Images
A McDonald's restaurant in St. Petersburg, Russia.
 U.S. companies most exposed to Europe, such as McDonald's and Activision Blizzard, should benefit from the U.S. dollar's slump, Credit Suisse said.
 ""We on the Global Equity Strategy team believe that the dollar is likely entering a long-term bear market,"" Andrew Garthwaite, Credit Suisse's managing director and global equity strategist, said in a note with a team of analysts Tuesday.
""Independent of their sector, we like US corporates with significant euro exposure that are Outperform-rated by CS analysts. Of these companies, Alexion, Gilead, McDonald's, Activision Blizzard and Carnival have positive earnings and sales momentum,"" the report said.
 US companies with significant European exposure that are rated outperform by Credit Suisse
 Source: Credit Suisse
Another stock on the Credit Suisse list of Europe-exposed stocks, Priceline, hit an all-time high Tuesday.
Over the next 12 months, Credit Suisse's FX strategists expect the U.S. dollar to weaken the most against the euro and the Japanese yen, falling 3 percent against each, in contrast to a 2.5 percent decline for the overall U.S. dollar index. The index tracks a basket of global currencies, of which the euro has the greatest weight at more than half.
Garthwaite estimates every 10 percent decline in the U.S. dollar index adds about 5 percent to U.S. earnings per share since about 42 percent of S&P 500 sales come from overseas. A weaker dollar makes U.S. goods cheaper for foreign buyers. 
Within the S&P 500, Garthwaite pointed out the technology sector has the greatest overseas exposure at 59 percent of sales and the semiconductor subsector generates an even higher 82 percent of sales from outside the U.S.
""A weaker US dollar should be another tailwind helping technology to continue its outperformance,"" Garthwaite said.
Technology has climbed more than 23 percent this year as the top performer in the S&P 500 and the VanEck Vectors Semiconductor ETF (SMH) has gained 22 percent. 
The U.S. dollar index has fallen to lows not seen in more than a year and dropped in July for its first five-month losing streak since 2011. 
The euro has climbed to highs not seen in more than two-and-a-half years as euro zone economic data has improved and the European Central Bank appears ready to cut back on stimulus.
That said, the U.S. dollar index isn't a one-way trade lower. The currency index turned higher Tuesday to hit its highest in more than one week after the Bureau of Labor Statistics said job openings hit a record high in June.
The dollar remains more than 8 percent lower for the year. 
Disclaimer
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",128,2017-08-08,ATVI,0.0190574243058287
7,2017-10-04,"Capital Group sees Sony making a comeback, with opportunities in gaming and music streaming  ","Getty Images
Carl Kawaja, Capital Group
 Capital Group Equity Portfolio Manager Carl Kawaja said he  thinks Sony is on its way to becoming a ""significant company"" again.
 ""I think they are on the verge of coming out of that"" decline, Kawaja said Wednesday at the Sohn Conference in San Francisco. ""I think they are on [their way to] becoming a significant company once again.""
Kawaja said he likes Sony for its new management, especially its chief financial officer, Kenichiro Yoshida. The Japanese company also has strong businesses opportunities in gaming, image sensors and music streaming, he said.
 Kawaja pointed out that Sony is under-appreciated by the market because despite the breadth of its business units, the company has a market value of about $50 billion, around the same size as Activision Blizzard. 
Los Angeles-based Capital Group sells a variety of mutual funds and had $1.4 trillion in assets under management, as of the end of last year.
Wednesday's event is the West Coast version of the prominent investment conferences which began in New York and are best known for hedge fund managers making market-moving presentations. The Sohn conferences benefit pediatric cancer and other causes for underserved youth. The conference is presented in partnership with CNBC.
Disclaimer
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",88,2017-10-04,ATVI,0.013007797623075155
8,2017-10-09,"Analyst downgrades Activision after 9-year, 600% run on risk Overwatch esports will disappoint  ","Source: Overwatch
 It is time to take some profits on the red-hot video gaming stocks after a huge run, according to one Wall Street analyst who nailed the rally.
 Cowen reduced its rating for Activision Blizzard shares to market perform from outperform, citing the risk its new esports league will do worse than expected.
This is the firm's first downgrade of the video game maker in nine years, according to its analyst. Activision Blizzard shares have risen more than 600 percent since the end of 2008 through Friday versus the S&P 500's 182 percent return.
 ""We remain confident about the trajectory of Activision's core business, with Call of Duty likely to rebound this year and Black Ops 4 likely due for release next year. However, we have a significant bit of nervousness around the debut of Overwatch League,"" analyst Doug Creutz wrote in a note to clients Monday.
The analyst said a significant portion of Activision Blizzard's valuation premium versus its industry peers is ""based on investor optimism around the potential for esports to be a large profit generator in the future.""
The company's vaunted Overwatch esports league is slated to launch on Dec. 6 with 12 teams.""As this is the first time a publisher has ever attempted to launch a major esport from scratch, we expect OWL 1.0 to be a learning experience, and thus believe that the probability of reality failing to meet investor expectations is relatively high,"" he wrote.
Activision Blizzard and Take-Two shares are up 75 percent and 118 percent respectively year to date through Friday compared with the S&P 500's 14 percent return.
The analyst reiterated his $66 price target for Activision Blizzard shares, representing 4 percent upside to Friday's close.
Creutz also lowered his rating to market perform from outperform for Take-Two shares Monday, citing concerns over the company's lengthening gap between title releases.
While Take-Two's ""digital initiatives have certainly borne fruit, the frequency of highly successful title releases still has a significant bearing on the company's average earnings power,"" he wrote.
""From a tactical perspective, we also believe that many investors are in TTWO shares specifically in anticipation of RDR 2's release, with a meaningful risk of a post-launch sell-off in shares.""
Red Dead Redemption 2 is scheduled to be released in the spring of 2018, nearly eight years after the first Red Dead Redemption. The analyst reaffirmed his $83 price target for Take-Two shares, representing 23 percent downside to Friday's close.
Shares of Activision Blizzard and Take-Two declined 2.8 percent and 3.5 percent respectively midday Monday following the reports.
Activision Blizzard and Take-Two did not immediately respond to requests for comment.
 Disclaimer
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",85,2017-10-09,ATVI,0.033274788884872133
9,2017-10-12,"Intel, Activision Blizzard, Cisco, Macerich  ","The ""Halftime Report' traders give their top picks for the 2nd half.The ""Halftime Report' traders give their top picks for the 2nd half.The ""Halftime Report' traders give their top picks for the 2nd half.The ""Halftime Report' traders give their top picks for the 2nd half.",82,2017-10-12,ATVI,-0.011182354591615469
