,postDate,headline,articleHTML,Unnamed: 0,date,ticker,daily_change
0,2017-02-17,"Apple has teamed up with Broadcom to build wireless charging for iPhone, says JPMorgan analyst  ","Mark Neuling | CNBC  
iPhone 7
 An upcoming Apple iPhone is likely to have a customized wireless charging system made with Broadcom, according to JPMorgan analyst Harlan Sur. 
 The wireless charging partnership between Apple and chip giant Broadcom — ""a key enabler of Apple's best-in-class performance""— has been going on for about two years, Sur wrote in a research note released Friday. But Sur said this feature may not come out on the next iPhone, because of caution around the battery-related recall of Samsung's Galaxy Note 7. 
 show chapters
 Apple to start making iPhone SE models in India   
 11:52  AM ET Fri, 17 Feb 2017 |  00:35 
 Still, Sur's prediction falls in line with other predictions for the next iPhone. Top Apple analyst Ming-Chi Kuo expects all three iPhones released this year will have wireless charging, and Apple confirmed to CNBC on Monday that it has joined the Wireless Power Consortium. 
 Wireless charging also makes sense alongside rumors that the next iPhone will be mostly glass. 
""We believe the glass back cover is conducive to wireless charging as it reduces signal interference versus a metal casing,"" Sur wrote. ""It is possible for Apple to add proprietary features such as fast charging or extended charging to differentiate itself from the pack andenhance the value of its own hardware ecosystem."" 
Apple, which typically doesn't weigh in on speculation about new products, declined to comment to CNBC. 
Sur estimated that iPhone charging upgrade could grow to a $500 million to $600 million opportunity for Broadcom. Broadcom's shares closed 1 percent higher on Friday. 
 Watch: Apple most admired for 10th straight year
 show chapters
 Apple is the world's most admired company for 10th straight year   
 7:49  PM ET Thu, 16 Feb 2017 |  02:14 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",246,2017-02-17,AVGO,-0.010654918163898543
1,2017-03-01,Broadcom beats on top & bottom lines  ,Earnings are out for Broadcom. CNBC's Seema Mody reports the details.Earnings are out for Broadcom. CNBC's Seema Mody reports the details.Earnings are out for Broadcom. CNBC's Seema Mody reports the details.Earnings are out for Broadcom. CNBC's Seema Mody reports the details.,239,2017-03-01,AVGO,-0.01976265412467962
2,2017-03-02,Four CNBC IQ 100 components hit highs  ,"Boeing, Apple, Applied Materials, and Broadcom hit all-time or multi-year highs today, March 2, 2017. Boeing, Apple, Applied Materials, and Broadcom hit all-time or multi-year highs today, March 2, 2017. Boeing, Apple, Applied Materials, and Broadcom hit all-time or multi-year highs today, March 2, 2017. Boeing, Apple, Applied Materials, and Broadcom hit all-time or multi-year highs today, March 2, 2017. ",238,2017-03-02,AVGO,-0.009943887871485035
3,2017-05-02,"Next iPhone will have wireless charging, JPMorgan says  ","show chapters
 New iPhone to charge wirelessly   
 3:03  PM ET Tue,  2 May 2017 |  00:51 
 Apple's next iPhone will support wireless charging, JPMorgan said in a note Tuesday.
 JPMorgan's note focused on Broadcom but said the company's new wireless charging chip will be included in the next iPhone. The firm didn't say which models will pack the new functionality, though KGI Securities analyst Ming-Chi Kuo said earlier this year that all of Apple's new iPhones, including the expected iPhone 7s, iPhone 7s Plus and iPhone 8 will offer wireless charging capabilities.
JPMorgan didn't specifically identify which wireless charging standard the new iPhone chips will support — Qi and PMA are the two main competitors in the space — though Broadcom sells chips that support both.
 Earlier this year, however, Apple joined the Wireless Power Consortium, which backs the Qi standard. That doesn't necessarily mean Apple will support only Qi. Samsung is also a member of the consortium, and its Galaxy smartphones support Qi and PMA.
Broadcom's stock was up slightly in premarket trading Tuesday.
JPMorgan also said Apple's new iPhones will support Bluetooth 5.0, which allows Bluetooth accessories, such as headphones and speakers, to work at longer distances from an iPhone. It also allows multiple Bluetooth devices to be used at the same time. Theoretically, if Apple enables it, two users could watch a movie on an iPhone with two sets of Bluetooth headsets.
JPMorgan said Broadcom's ""wireless charging win could add $500-$600M of annualized revenues to Broadcom's wireless business.""
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",196,2017-05-02,AVGO,-0.018488786837184152
4,2017-05-16,These CNBC IQ 100 stocks are hitting all time highs today  ,"CNBC's IQ 100 has Amazon, Deere, Broadcom and Visa hitting all time highs today.CNBC's IQ 100 has Amazon, Deere, Broadcom and Visa hitting all time highs today.CNBC's IQ 100 has Amazon, Deere, Broadcom and Visa hitting all time highs today.CNBC's IQ 100 has Amazon, Deere, Broadcom and Visa hitting all time highs today.",186,2017-05-16,AVGO,-0.006879183285442175
5,2017-06-01,Broadcom beats the Street  ,CNBC's Deirdre Bosa reports on the quarterly earnings for Broadcom.CNBC's Deirdre Bosa reports on the quarterly earnings for Broadcom.CNBC's Deirdre Bosa reports on the quarterly earnings for Broadcom.CNBC's Deirdre Bosa reports on the quarterly earnings for Broadcom.,175,2017-06-01,AVGO,0.020630596492229727
6,2017-06-05,10 members of CNBC's iQ100 hit all time highs  ,"Ten members of the CNBC iQ100 hitting all-time highs today. Amazon, C.R. Bard, Johnson & Johnson, United Health, Deere, Broadcom, Fiserv, Mastercard, Microsoft, and Visa. For more on the index go to CNBC.com/iq100Ten members of the CNBC iQ100 hitting all-time highs today. Amazon, C.R. Bard, Johnson & Johnson, United Health, Deere, Broadcom, Fiserv, Mastercard, Microsoft, and Visa. For more on the index go to CNBC.com/iq100Ten members of the CNBC iQ100 hitting all-time highs today. Amazon, C.R. Bard, Johnson & Johnson, United Health, Deere, Broadcom, Fiserv, Mastercard, Microsoft, and Visa. For more on the index go to CNBC.com/iq100Ten members of the CNBC iQ100 hitting all-time highs today. Amazon, C.R. Bard, Johnson & Johnson, United Health, Deere, Broadcom, Fiserv, Mastercard, Microsoft, and Visa. For more on the index go to CNBC.com/iq100",173,2017-06-05,AVGO,0.009156633420708441
7,2017-06-07,Najarian brothers spot heavy options trading  ,The Najarian brothers spot unusual options activity in shares of Cognizant and Broadcom.The Najarian brothers spot unusual options activity in shares of Cognizant and Broadcom.The Najarian brothers spot unusual options activity in shares of Cognizant and Broadcom.The Najarian brothers spot unusual options activity in shares of Cognizant and Broadcom.,171,2017-06-07,AVGO,-0.0016530881081768685
8,2017-06-09,"Broadcom is seen as the preferred buyer for Toshiba's flash business, sources say  ","Tomohiro Ohsumi | Bloomberg | Getty Images
Satoshi Tsunakawa, president of Toshiba
 Broadcom is seen as the preferred buyer for Toshiba's flash business, sources told CNBC on Friday. 
 But the Japanese government is trying to put together a group that will keep the business under a Japanese owner, and is influencing the chip sale process, sources said. There's an expectation of a deal by the end of the month, sources said.
Toshiba had been expected to name a winner for the chip business next week. Sources previously told Reuters the choice has narrowed to one bid from Broadcom and U.S. tech fund Silver Lake and another from Toshiba chip partner Western Digital and Japanese government-related investors.
 A joint venture with Western Digital has reportedly complicated the process of selling the $18 billion business.
The Japanese company has been in flux, after delaying its financial reports and struggling to sell its nuclear unit. Broadcom shares were little-changed on the report of a potential deal with Toshiba.
Toshiba was not immediately available to comment on the report. Broadcom declined to comment.
— Reporting by CNBC's David Faber, written by Anita Balakrishnan. The Associated Press and Reuters contributed.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",169,2017-06-09,AVGO,0.04660780514186165
9,2017-06-13,Options say watch this retailer & chip company  ,The Najarian brothers spot unusual activity in Etsy and Broadcom.The Najarian brothers spot unusual activity in Etsy and Broadcom.The Najarian brothers spot unusual activity in Etsy and Broadcom.The Najarian brothers spot unusual activity in Etsy and Broadcom.,167,2017-06-13,AVGO,-0.0011120035741538623
