,postDate,headline,articleHTML,Unnamed: 0,date,ticker,daily_change
0,2017-06-20,Here's why oil could head to the $30s: BofAML Strategist  ,Paul Ciana of Bank of America explains why he sees oil heading to the $30s.Paul Ciana of Bank of America explains why he sees oil heading to the $30s.Paul Ciana of Bank of America explains why he sees oil heading to the $30s.Paul Ciana of Bank of America explains why he sees oil heading to the $30s.,162,2017-06-20,BAC,0.01772198279941194
1,2017-06-21,"Intel faces stiffer competition from 'resurgent' Nvidia, AMD, BofA says  ","CNBC | Getty Images
Brian Krzanich, CEO of Intel.
 Intel's ability to easily raise chip prices may be ending, as the company faces tougher competition from AMD and Nvidia, a Bank of America Merrill Lynch research analyst said.The bank lowered its rating on Intel to neutral from buy, predicting the company will lose market share to AMD's latest server chips and Nvidia's artificial intelligence processors.
Analyst Vivek Arya wrote in a note to clients Wednesday that AMD has introduced a set of data center server products with attractive pricing and several large customers, including Microsoft, HP, Lenovo and Baidu. His note was entitled ""Resurgent AMD, NVDA could limit INTC's price advantage.""
 Competition from AMD and Nvidia could curb Intel's ability to expand its average selling price, something that has been a key source of growth, Arya said.  ""It's early days and AMD's historical execution has been weak, but we believe increased AMD competition in servers, and share gains by NVDA in AI/accelerators, could limit INTC's expansion of its avg. selling prices (ASP)."" The analyst reduced his Intel price target to $38 from $42. The lower target would be a 9 percent gain from Tuesday's close. Intel was able to increase its data center sales by an annualized 11 percent in the past five years. However 3 to 4 percentage points of those gains per year came from price increases, he said.
In PCs, Intel's sales growth has been flat over five years as rising average sales prices offset declines in unit sales. ""Both these trends are at risk if large PC, cloud and enterprise customers now have AMD as an option,"" Arya wrote. ""Meanwhile NVDA continues to put pressure by shifting more workloads on to its graphics accelerators, and away from INTC's processors.""
Intel did not immediately respond to a request for comment for this story.
— CNBC's Michael Bloom contributed to this story.
 Disclaimer
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",161,2017-06-21,BAC,0.015444322427473556
2,2017-06-27,Bank of America makes Tiffany one of its top stock picks; shares jump Expect near-term downside for the euro: BAML  ,"Brent Lewin | Bloomberg | Getty Images
A pedestrian walks past a Tiffany store on Canton Road in the Tsim Sha Tsui area of Hong Kong.
 Bank of America Merrill Lynch added Tiffany & Co. to its US 1 list, a collection of the corporation's favorite investment ideas. Analyst Lorraine Hutchinson provided several reasons why investors should consider buying Tiffany, including a management and board overhaul as well as an increased focus on innovation.
Tiffany shares jumped nearly 2 percent in midday trading Tuesday.
 Though Tiffany has typically debuted major collections every three to five years, new leadership looks to release new products more frequently.
""TIF launched its new HardWear collection in April and new Creative Director, Reed Krakoff, will release a new gifting and accessories line in stores ahead of Holiday 2017,"" wrote Hutchinson. ""Comp growth has historically accelerated by several hundred basis points after the launch of major collections.""
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });Kamal Sharma, G-10 FX strategist at Bank of America Merrill Lynch, weighs in on Mario Draghi's monetary policy stance.Kamal Sharma, G-10 FX strategist at Bank of America Merrill Lynch, weighs in on Mario Draghi's monetary policy stance.Kamal Sharma, G-10 FX strategist at Bank of America Merrill Lynch, weighs in on Mario Draghi's monetary policy stance.Kamal Sharma, G-10 FX strategist at Bank of America Merrill Lynch, weighs in on Mario Draghi's monetary policy stance.",157,2017-06-27,BAC,-0.01646484334972501
3,2017-06-28,Today's iQ100 leaders  ,"The CNBC iQ100 is up more than twenty percent for one year. It's an index tracking the one hundred big cap companies that get most of their revenue from their own intellectual property. Today's leaders include Bank of America, General Mills, Prudential Financial, Metlife and Teva. For more go to CNBC.com/iq100The CNBC iQ100 is up more than twenty percent for one year. It's an index tracking the one hundred big cap companies that get most of their revenue from their own intellectual property. Today's leaders include Bank of America, General Mills, Prudential Financial, Metlife and Teva. For more go to CNBC.com/iq100The CNBC iQ100 is up more than twenty percent for one year. It's an index tracking the one hundred big cap companies that get most of their revenue from their own intellectual property. Today's leaders include Bank of America, General Mills, Prudential Financial, Metlife and Teva. For more go to CNBC.com/iq100The CNBC iQ100 is up more than twenty percent for one year. It's an index tracking the one hundred big cap companies that get most of their revenue from their own intellectual property. Today's leaders include Bank of America, General Mills, Prudential Financial, Metlife and Teva. For more go to CNBC.com/iq100",156,2017-06-28,BAC,-0.025876311210200925
4,2017-06-29,iQ100 index up 20% for one year  ,"Today's leaders in the CNBC iQ100 include Bank of America, J.P. Morgan, Nabors Industries, Metlife Inc, and Teva. Today's leaders in the CNBC iQ100 include Bank of America, J.P. Morgan, Nabors Industries, Metlife Inc, and Teva. Today's leaders in the CNBC iQ100 include Bank of America, J.P. Morgan, Nabors Industries, Metlife Inc, and Teva. Today's leaders in the CNBC iQ100 include Bank of America, J.P. Morgan, Nabors Industries, Metlife Inc, and Teva. ",155,2017-06-29,BAC,-0.01825776857356499
5,2017-06-30,Warren Buffett just made a quick $12 billion on a clever Bank of America investment  Warren Buffett just made a quick $12 billion on Bank of America  Warren Buffett's Berkshire Hathaway becomes Bank of America's largest shareholder  Warren Buffett's big stakes are paying off  Warren Buffett just made a quick $12 billion on a clever Bank of America investment  ,"show chapters
 Warren Buffett just made a quick $12 billion on a clever Bank of America investment   
 11:21  AM ET Fri, 30 June 2017 |  01:00 
 Because of an astute investment made in Bank of America six years ago while the bank was struggling, Warren Buffett is about to make a quick $12 billion and become the financial institution's largest shareholder.
 Buffett's Berkshire Hathaway said Friday it will exercise warrants in Bank of America that will allow it to acquire 700 million common shares in the bank at an exercise price of just $7.14 each, or about $5 billion.
Bank of America shares closed Thursday at $24.32 a share, making that stake actually worth more than $17 billion. So it's a quick $12 billion paper profit for the Oracle of Omaha. 
 show chapters
 Warren Buffett just made a quick $12 billion on Bank of America   
 8:47  AM ET Fri, 30 June 2017 |  00:42 
 After passing the second of two annual stress tests by the Federal Reserve, Bank of America said Wednesday it would hike its annual dividend to 48 cents a share, or 12 cents a quarter, a 60 percent increase.
That was enough for Berkshire to consider exercising those warrants rather than wait until just before their expiration in 2021. 
This all goes back to Berkshire's 2011 deal to invest $5 billion in preferred shares of Bank of America, which at the time was struggling with numerous legal issues in the wake of the subprime mortgage crisis. The preferred shares pay a 6 percent annual dividend, or $300 million. At a dividend of 44 cents, the common shares would pay roughly the same. At 48 cents, Berkshire would get $336 million annually.
A move to exercise the warrants would be seen as bullish for Bank of America shares, an expression of confidence by Buffett that they have upward momentum. They rose 1 percent in premarket trading Friday to $24.58. They were already up 7 percent on the week.
Bank of America said it would make the dividend increase official ""beginning in the third quarter of 2017."" That period begins Monday. Berkshire said it will exercise the warrants once that hike is official, instantly making Buffett that $12 billion, or more if the stock continues to go higher.
The Buffett-led conglomerate will also then become the bank's biggest shareholder, surpassing Vanguard, which holds 6.6 percent, about 652 million shares, according to FactSet.
In the past, Berkshire indicated it would likely not execute the warrants until just before the 2021 deadline. But in his annual letter to shareholders, Buffett signaled a change of heart.
""If the dividend rate on Bank of America common stock — now 30 cents annually — should rise above 44 cents before 2021, we would anticipate making a cashless exchange of our preferred into common,"" he said in his annual letter to shareholders.
Berkshire is already the largest shareholder in another major financial institution: Wells Fargo. Buffett also has a sizable holding in Goldman Sachs, a stake that dates back to another shrewd investment made by the investing legend in the wake of the financial crisis.
 WATCH: How Warren Buffett makes long-term investments
 show chapters
 How Warren Buffett makes long-term investments   
 10:23  AM ET Tue, 29 Aug 2017 |  00:58 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });Berkshire Hathaway says it will exercise Bank of America warrants that will convert its preferred shares into 700 million common shares, report ""Squawk Box's"" Becky Quick.Berkshire Hathaway says it will exercise Bank of America warrants that will convert its preferred shares into 700 million common shares, report ""Squawk Box's"" Becky Quick.Berkshire Hathaway says it will exercise Bank of America warrants that will convert its preferred shares into 700 million common shares, report ""Squawk Box's"" Becky Quick.Berkshire Hathaway says it will exercise Bank of America warrants that will convert its preferred shares into 700 million common shares, report ""Squawk Box's"" Becky Quick.The ""Squawk on The Street"" crew discusses Warren Buffett's confidence in bank stocks as his company acquires a major share in Bank of America. The ""Squawk on The Street"" crew discusses Warren Buffett's confidence in bank stocks as his company acquires a major share in Bank of America. The ""Squawk on The Street"" crew discusses Warren Buffett's confidence in bank stocks as his company acquires a major share in Bank of America. The ""Squawk on The Street"" crew discusses Warren Buffett's confidence in bank stocks as his company acquires a major share in Bank of America. CNBC's Dominic Chu reports on Warren Buffett's very successful stake in Bank of America and other dominant shareholdings for Berkshire Hathaway.CNBC's Dominic Chu reports on Warren Buffett's very successful stake in Bank of America and other dominant shareholdings for Berkshire Hathaway.CNBC's Dominic Chu reports on Warren Buffett's very successful stake in Bank of America and other dominant shareholdings for Berkshire Hathaway.CNBC's Dominic Chu reports on Warren Buffett's very successful stake in Bank of America and other dominant shareholdings for Berkshire Hathaway.Warren Buffett's Berkshire Hathaway will exercise warrants in Bank of America allowing it to acquire 700 million common shares at an exercise price of $7.14 each, or about $5 billion.Warren Buffett's Berkshire Hathaway will exercise warrants in Bank of America allowing it to acquire 700 million common shares at an exercise price of $7.14 each, or about $5 billion.Warren Buffett's Berkshire Hathaway will exercise warrants in Bank of America allowing it to acquire 700 million common shares at an exercise price of $7.14 each, or about $5 billion.Warren Buffett's Berkshire Hathaway will exercise warrants in Bank of America allowing it to acquire 700 million common shares at an exercise price of $7.14 each, or about $5 billion.",154,2017-06-30,BAC,0.0024701535820621174
6,2017-07-03,"We may be nearing the euphoria that marks the end of bull markets, strategist says  Market top ahead because Fed's easy money 'no longer politically acceptable,' Bank of America's Hartnett says  Market top ahead because Fed's easy money 'no longer politically acceptable', Bank of America's Hartnett says  ","Getty Images
Traders work the floor of the New York Stock Exchange.
 The recent shift from skepticism to optimism may be the first sign of market euphoria that is typical toward the end of bull markets but has been notably absent thus far in the cycle.
The sell side indicator – which measures Wall Street's bullishness on stocks – has rebounded since an all-time low of 43.9 in 2012, according to Bank of America Merrill Lynch strategist Savita Subramanian. The indicator rose by 2.4 percentage points to 56.4 in June, its highest level since 2011 and less than 2 percentage points from its 15-year average.
 ""The indicator's expected 12-month total return is +12%,"" wrote Subramanian in Monday's note. ""With the S&P 500's indicated dividend yield currently near 2%, that implies a 12-month price return of 10% and a 12-month value of 2673."" The S&P 500 is currently trading around 2,423.
 Source: Bank of America Merrill Lynch
The sell side indicator is a contrarian metric, implying that as Wall Street grows more bullish toward stocks, the more bearish the measurement becomes. The indicator is based on the average recommended equity allocation of Wall Street strategists as of the last business day of each month.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });show chapters
 Market top ahead because Fed's easy money 'no longer politically acceptable', Bank of America's Hartnett says   
 2:09  PM ET Mon,  3 July 2017 |  00:41 
 Central bank easing may no longer be politically acceptable.
 That's what Bank of America Merrill Lynch's widely followed chief investment strategist, Michael Hartnett, says in a note. 
""Central banks have exacerbated inequality via Wall St. inflation & Main St. deflation; [it's] no longer politically acceptable to stoke [the] Wall St. bubble,"" the strategist wrote last week.
 There are ""two ways to cure inequality,"" make the poor richer or the rich poorer, Hartnett added. The Federal Reserve and the European Central Bank are ""now tightening to make Wall St. poorer,"" likely setting up for a ""big top"" in stock markets this fall. 
US labor participation rate vs. US stocks and bonds
 Source: Bank of America Merrill Lynch Global Investment Strategy
Last week, European and U.S. government bond yields climbed to multiweek highs after key policymakers at the European Central Bank, Bank of England and Federal Reserve separately suggested that tighter monetary policy is on the way. 
However, all three acknowledged inflation remains subdued. 
Normal business growth can no longer create inflation because of the disruptive force of technology, record high global debt, and an aging population, Hartnett said. Instead, he said, inflation will require ""radical fiscal stimulus, trade war, major increase in geopolitical risk"" and policies to ""Occupy Silicon Valley"" by redistributing its wealth, reiterating a point he made in May.
 show chapters
 Sri Kumar: Fed has no room to increase significantly or pare back the balance sheet   
 11:57  AM ET Mon,  3 July 2017 |  03:24 
 In Hartnett's view, the lack of inflation means central banks are making a ""mistake"" by tightening, but they will still do so because they ""want volatility to return."" 
This summer will then likely mark a ""significant inflection point"" in the central bank liquidity trade that will likely set up for a ""big top"" in the autumn, Hartnett said. He recommends buying 2-year Treasurys and resources stocks, and shorting emerging market debt and technology stocks, among several other trades in preparation for a ""bout of higher yields."" 
While yields climbed last week and bank stocks rose, the tech-heavy Nasdaq composite fell 1.99 percent in its worst week of the year, going back to Dec. 2. The S&P 500 fell 0.61 percent last week, its worst since April 13.
Still, ""'greed' takes longer to kill than 'fear,'"" the market strategist said. He pointed out that in the 12 months leading up to the tech bubble's peak, the Nasdaq fell more than 10 percent on six separate occasions. 
Hartnett expects the Nasdaq composite could climb above 6,666 before the end of the bull market — which he pointed out began after the S&P 500 hit a low of 666 — 666.79 per FactSet, to be precise.
 Watch: What to expect long term from the Fed
 show chapters
 Expect long term quantitative policy tightening from the Fed   
 2:52  AM ET Mon,  3 July 2017 |  03:50 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });Bank of America Merrill Lynch's Chief Investment Strategist Michael Hartnett said central banks have ""exacerbated inequality.""Bank of America Merrill Lynch's Chief Investment Strategist Michael Hartnett said central banks have ""exacerbated inequality.""Bank of America Merrill Lynch's Chief Investment Strategist Michael Hartnett said central banks have ""exacerbated inequality.""Bank of America Merrill Lynch's Chief Investment Strategist Michael Hartnett said central banks have ""exacerbated inequality.""",153,2017-07-03,BAC,-0.01716429552128296
7,2017-07-05,"Explosion in money flowing into ETFs may lead to a market liquidity problem, Bank of America says  ","John Taggart | Bloomberg | Getty Images
A woman carrying an umbrella walks past the New York Stock Exchange (NYSE) in New York.
 Bank of America rang a warning bell Wednesday regarding all the money that has piled into passive exchange-traded funds.
 The bank says the massive popularity of ETFs may be leading us on a road to a liquidity problem. The note issued by Bank of America Merrill Lynch's Global Research department warns ""the actual shares available, or true float for S&P 500 stocks, may be grossly overestimated.""
That could lead stocks and the overall market to fluctuate more violently, especially to the downside, due to a future event affecting either a single stock, a sector or the market at large.
 Passively managed ETFs have become incredibly attractive to investors, allowing them to pick and choose baskets of stocks representing different parts of the market. According to industry groups, more than $4 trillion is now invested in ETFs.
Vanguard is the second-biggest issuer of ETFs, and it now has at least a 5 percent stake in 491 out of the stocks in the S&P 500, according to the report. That's a massive increase from a 5 percent stake in 116 stocks out of the S&P 500 it held in 2010, illustrating the massive growth of the ETF industry.
 show chapters
 A banner first half for ETFs   
 2:33  PM ET Fri, 30 June 2017 |  01:38 
 Halftime Report trader Joe Terranova, the chief market strategist for Virtus Investment Partners, which manages $25 billion, said, ""The danger is when the market falls. Liquidity will evaporate."" It's like having a building with four lines of people coming in through four entrances, but only one exit everyone will have to pile through in the case of an emergency.
Bank of America's note goes on to warn ETF fads ""can drive massive PE (price-earnings ratio) distortions."" The firm predicts the next big rush will be into ""[v]alue ETFs, environmental, social and corporate governance strategies and short-term quant strategies.""
The note also advises individual investors to seek out under-owned parts of the market, basically buying stocks before managers of ETFs gobble them up when it comes time to rebalance their funds.
The other side of the coin, however, is that ""there will always be a liquidity problem for the markets any time the amount of sellers swamps the amount of buyers,"" said Halftime Report trader and CEO of Ritholtz Wealth Management Josh Brown.
""ETFs are way more efficient and although there will always be hiccups, the machinery has demonstrated its ability to be extremely durable in times of market stress,"" Brown said.
The Bank of America note points out that, like it or not, ETFs in the U.S. may still have a long way to go. The bank says almost 70 percent of all assets under management in Japan are passively managed ETFs — more than double the percent of assets in the U.S. Japan's central bank has added to that high percentage because it has also been buying ETFs as part of its plan to help Japan's economy.
Brown downplays overall fears of liquidity concerns here in the U.S., saying, ""It's just a fancy way of people complaining that they can't transact at the price they want to.""
 Watch: GS says ETFs major force behind market
 show chapters
 Goldman says there's one major force behind the market's gains this year: ETFs   
 2:48  PM ET Mon, 26 June 2017 |  00:34 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",152,2017-07-05,BAC,-0.009677494882065369
8,2017-07-11,"""Fast Money"" final trades: AAL, BAC and more  ","The “Fast Money” traders discuss their final trades for the day, including American Airlines, Bank of America, Netflix and Celgene.The “Fast Money” traders discuss their final trades for the day, including American Airlines, Bank of America, Netflix and Celgene.The “Fast Money” traders discuss their final trades for the day, including American Airlines, Bank of America, Netflix and Celgene.The “Fast Money” traders discuss their final trades for the day, including American Airlines, Bank of America, Netflix and Celgene.",148,2017-07-11,BAC,0.01171967344118345
9,2017-07-12,"Apple's iPhone 8 may be delayed by 3 weeks or more, Bank of America says  Yellen said what the markets wanted to hear: RiverPoint's Jeff Krumpelman  Water.org's clean water mission  Apple's iPhone 8 may be delayed by 3 weeks or more, Bank of America says  ","show chapters
 Apple's iPhone 8 may be delayed by 3 weeks or more, Bank of America says   
 12:23  PM ET Wed, 12 July 2017 |  00:46 
 Bank of America Merrill Lynch lowered its estimates for Apple's iPhone shipments by 11 million for the year, the latest Wall Street firm to expect launch delays.
 ""Our conversations with the Supply Chain suggest that the iPhone 8 will ship 3-4 weeks delayed given technological issues which Apple and its suppliers are working through,"" analysts Wamsi Mohan and Stefano Pascale said in a report Wednesday, citing a recent trip to Asia. The analysts maintained their buy rating on the stock.
The analysts said problems with finger print and 3-D sensors were to blame for the delay. Apple has not released a launch date for the smartphone but it typically releases the new iterations of the device in September. Mohan and Pascale believe that launch date could be delayed.
 Apple declined to comment.
The BofAML analysts cut their expectations for September quarter shipments of iPhones by 11 million and the December quarter by 6 million. For fiscal year 2017, the analysts expect 11 million fewer shipments for 2017, down to 208.1 million.
They also believe this delay and weaker-than-expected earnings from Apple on Aug. 1 may hurt the stock and gave clients an options trade to benefit from the coming sell-off.
The estimate cut comes a day after Fast Company reported that Apple is rushing to try to fix software bugs affecting the next iPhone and there's a ""sense of panic"" among the team. It cited a source familiar with the matter.
RBC Capital Markets, Cowen, KGI and Drexel Hamilton have said in the last few months the iPhone announcement could be delayed to October or November.
Shares of the iPhone maker traded mildly lower Wednesday. The stock has surged 26 percent this year. 
The BofAML analysts did raise their estimates for shipments in March 2018 by 10 million. They now expect iPhone shipments to rise to 243 million in 2018.
— CNBC's Todd Haselton and Michael Bloom contributed to this report.
 WATCH: Using the original iPhone really made us appreciate our iPhone 7
 show chapters
 CNBC puts Apple's first-generation iPhone to the test   
 10:57  AM ET Fri, 30 June 2017 |  01:33 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });Discussing the markets intraday and Fed Chair Janet Yellen's testimony before Congress with Jeff Krumpelman, managing director of RiverPoint Capital Management, and Michelle Meyer, chief economist at Bank of America.Discussing the markets intraday and Fed Chair Janet Yellen's testimony before Congress with Jeff Krumpelman, managing director of RiverPoint Capital Management, and Michelle Meyer, chief economist at Bank of America.Discussing the markets intraday and Fed Chair Janet Yellen's testimony before Congress with Jeff Krumpelman, managing director of RiverPoint Capital Management, and Michelle Meyer, chief economist at Bank of America.Discussing the markets intraday and Fed Chair Janet Yellen's testimony before Congress with Jeff Krumpelman, managing director of RiverPoint Capital Management, and Michelle Meyer, chief economist at Bank of America.Anne Finucane, Bank of America, and Gary White, Water.org CEO and co-founder, talk about the organization's goal to provide smart solutions to the world's water crisis by providing small loans.Anne Finucane, Bank of America, and Gary White, Water.org CEO and co-founder, talk about the organization's goal to provide smart solutions to the world's water crisis by providing small loans.Anne Finucane, Bank of America, and Gary White, Water.org CEO and co-founder, talk about the organization's goal to provide smart solutions to the world's water crisis by providing small loans.Anne Finucane, Bank of America, and Gary White, Water.org CEO and co-founder, talk about the organization's goal to provide smart solutions to the world's water crisis by providing small loans.Bank of America Merrill Lynch analysts recently visited Apple suppliers in Asia.Bank of America Merrill Lynch analysts recently visited Apple suppliers in Asia.Bank of America Merrill Lynch analysts recently visited Apple suppliers in Asia.Bank of America Merrill Lynch analysts recently visited Apple suppliers in Asia.",147,2017-07-12,BAC,0.01021459340971842
