,postDate,headline,articleHTML,Unnamed: 0,date,ticker,daily_change
0,2017-01-31,Unusual activity: Bulls bet on Celgene & Potash  ,"""Fast Money Halftime Report"" traders Pete and Jon Najarian discuss unusual options activity in Celgene and Potash.""Fast Money Halftime Report"" traders Pete and Jon Najarian discuss unusual options activity in Celgene and Potash.""Fast Money Halftime Report"" traders Pete and Jon Najarian discuss unusual options activity in Celgene and Potash.""Fast Money Halftime Report"" traders Pete and Jon Najarian discuss unusual options activity in Celgene and Potash.",259,2017-01-31,CELG,-inf
1,2017-05-01,Celgene CEO: The value of our medicines is priced into how we sell them  ,"At the Milken Institute Conference, Celgene CEO Mark Alles speaks to Brian Sullivan about the current environment for drug prices.At the Milken Institute Conference, Celgene CEO Mark Alles speaks to Brian Sullivan about the current environment for drug prices.At the Milken Institute Conference, Celgene CEO Mark Alles speaks to Brian Sullivan about the current environment for drug prices.At the Milken Institute Conference, Celgene CEO Mark Alles speaks to Brian Sullivan about the current environment for drug prices.",197,2017-05-01,CELG,-8.060940716147932e-05
2,2017-06-05,Celgene CEO on paying for cancer care  ,"With the focus on drug prices as sharp as ever—President Trump in January accused the pharmaceutical industry of ""getting away with murder"" on its prices—Celgene CEO Mark Alles says the U.S. must rethink the way patients pay for cancer care.With the focus on drug prices as sharp as ever—President Trump in January accused the pharmaceutical industry of ""getting away with murder"" on its prices—Celgene CEO Mark Alles says the U.S. must rethink the way patients pay for cancer care.With the focus on drug prices as sharp as ever—President Trump in January accused the pharmaceutical industry of ""getting away with murder"" on its prices—Celgene CEO Mark Alles says the U.S. must rethink the way patients pay for cancer care.With the focus on drug prices as sharp as ever—President Trump in January accused the pharmaceutical industry of ""getting away with murder"" on its prices—Celgene CEO Mark Alles says the U.S. must rethink the way patients pay for cancer care.",173,2017-06-05,CELG,0.005320284474384243
3,2017-07-11,"""Fast Money"" final trades: AAL, BAC and more  ","The “Fast Money” traders discuss their final trades for the day, including American Airlines, Bank of America, Netflix and Celgene.The “Fast Money” traders discuss their final trades for the day, including American Airlines, Bank of America, Netflix and Celgene.The “Fast Money” traders discuss their final trades for the day, including American Airlines, Bank of America, Netflix and Celgene.The “Fast Money” traders discuss their final trades for the day, including American Airlines, Bank of America, Netflix and Celgene.",148,2017-07-11,CELG,-0.0024225918427234453
4,2017-08-03,Getting patients access to 'precision' medicines is crucial  Celgene CEO: Time to think about health care in a different way  Celgene CEO: Precision medicine targeting metabolic drivers of disease  ,"show chapters
 Celgene CEO: Precision medicine targeting metabolic drivers of disease   
 9:01  AM ET Thu,  3 Aug 2017 |  02:56 
 A decade ago, receiving a medicine designed for your specific genetic makeup or modifying your own immune cells to fight cancer may have seemed like something out of a science fiction novel. But today, ""precision"" medicines — tailored therapeutics based on a patient's distinct genetic characteristics — are turning fiction into fact for many patients.
 Since every person is unique, not only do precision medicines have the potential to bring highly effective therapies and high-value care to patients, they can also lower the overall cost of treating many of the most serious diseases. The investments needed to discover and develop these medicines can substantially improve health outcomes, and reduce the cost of failing to appropriately target treatment, estimated to be tens of billions of dollars every year.
Tailoring medical treatment to the profile of each patient can enable physicians to identify the best course of treatment and often avoid or reduce adverse drug reactions and the toxic effects of medicines that may not be necessary.
 ""[P]recision medicines are dramatically changing the treatment landscape for deadly cancers like non-small cell lung cancer and metastatic melanoma, not only increasing survival rates but also reducing the need for the costly procedures and hospitalizations.""
 For instance, according to a recent study published by  JAMA Oncology, genetic profiling can predict which women with early-stage breast cancer have a lower risk for their cancer coming back after surgery, allowing up to 15 percent of patients to avoid unnecessary chemotherapy.
Most importantly, precision medicines can help patients live longer, healthier lives. Already, the first wave of precision medicines have entered mainstream clinical practice, including targeted therapies that now make it possible for patients with a once incurable form of leukemia, chronic myelogenous leukemia, to live close-to-normal life spans. Similarly, precision medicines are dramatically changing the treatment landscape for deadly cancers like non-small cell lung cancer and metastatic melanoma, not only increasing survival rates but also reducing the need for the costly procedures and hospitalizations that are now part of the standard of care for these diseases.
As a case study, consider acute myeloid leukemia (AML), one of the most serious and challenging blood cancers. Progress understanding and developing effective and safe therapy for patients with AML has been modest, and overall survival for patients with this terrible disease is measured in months. According to a study published by the journal, Biology of Blood and Marrow Transplantation, the average cost for the chemotherapy and stem cell transplantation involved in treating many patients with AML has been estimated to be between $280,000 and $500,000. Discovering why this disease occurs and developing targeted medicines to treat it are really the only alternatives to help these patients and to reduce the cost of treatment failures.
Yet, to realize the promise of precision medicines, we must act collectively across the health-care ecosystem to ensure that patients who desperately need these transformational therapies have access to them.
 show chapters
 Celgene CEO: Time to think about health care in a different way   
 8:44  AM ET Thu,  3 Aug 2017 |  02:22 
 A problem that too many Americans face when prescribed specialty medicines to treat complex or rare conditions is high out-of-pocket costs. Many patients with the most serious illnesses face high deductibles and coinsurance requirements, which often put the latest, safest and most-effective treatments out of their reach. These patient cost-sharing barriers are one of the reasons half of the medicines used to treat chronic diseases are not taken as prescribed, contributing to the estimated $100 billion to $290 billion of unnecessary costs to the U.S. health-care system from medication non-adherence, as cited by the  Annals of Internal Medicine and the New England Journal of Medicine.
We must do better. We need to work together to ensure access to these medicines and reduce the financial burden on patients. Towards this end, Celgene is proactively working with major commercial U.S. health-care payers on arrangements designed to give eligible patients access to our most recently approved medicine — a precision therapy with an accompanying diagnostic test — without deductibles, co-pays and co-insurance. By partnering with payers to offset and even eliminate patient cost-sharing as an obstacle to treatment, our hope is to prevent some of the financial burden that leads to many of the problems currently impacting patient care.
Our action is just one step in what will be needed to ensure access to the medicines Americans grappling with devastating diseases need. As health-care stakeholders, it is up to all of us to work together to develop market-based solutions to ensure that medical innovation continues to be valued, and that patients have affordable health care. We're not there yet, but we are getting closer. Celgene is working with U.S. commercial health-care payers to step up to that challenge. We are also committed to engaging with policy-makers on finding ways to develop innovative contracting strategies that can benefit patients with government insurance as well. We encourage others in the health-care ecosystem to join us in finding solutions to these challenges.
Commentary by Mark Alles, CEO of Celgene.
For more insight from CNBC contributors, follow @CNBCopinion on Twitter.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });Mark Alles, Celgene CEO, talks about the importance of forming a partnership between innovators and insurance companies in order to provide patients with access to precision medicines.Mark Alles, Celgene CEO, talks about the importance of forming a partnership between innovators and insurance companies in order to provide patients with access to precision medicines.Mark Alles, Celgene CEO, talks about the importance of forming a partnership between innovators and insurance companies in order to provide patients with access to precision medicines.Mark Alles, Celgene CEO, talks about the importance of forming a partnership between innovators and insurance companies in order to provide patients with access to precision medicines.Mark Alles, Celgene CEO, talks about gaining FDA approval for a drug that targets a lethal form of leukemia and discusses the importance of getting patients access to precision medicines.Mark Alles, Celgene CEO, talks about gaining FDA approval for a drug that targets a lethal form of leukemia and discusses the importance of getting patients access to precision medicines.Mark Alles, Celgene CEO, talks about gaining FDA approval for a drug that targets a lethal form of leukemia and discusses the importance of getting patients access to precision medicines.Mark Alles, Celgene CEO, talks about gaining FDA approval for a drug that targets a lethal form of leukemia and discusses the importance of getting patients access to precision medicines.",131,2017-08-03,CELG,-0.007756271571359097
5,2017-09-07,"Celgene CEO: FDA places 'FUSION' trials on hold in 'cautionary approach'  Today's Bell Ringer, September 7, 2017  Opening Bell, September 7, 2017  CEO Mark Alles on why the FDA put Celgene cancer trials on hold ","We're stopping now to understand what's happening, says Mark Alles, Celgene CEO, talking about the company's latest cancer drug trials. We're stopping now to understand what's happening, says Mark Alles, Celgene CEO, talking about the company's latest cancer drug trials. We're stopping now to understand what's happening, says Mark Alles, Celgene CEO, talking about the company's latest cancer drug trials. We're stopping now to understand what's happening, says Mark Alles, Celgene CEO, talking about the company's latest cancer drug trials. Today's bell ringers are Roland Ormand, Lilis Energy executive chairman, at the NYSE, and Mark Alles, Celgene CEO, at the Nasdaq.Today's bell ringers are Roland Ormand, Lilis Energy executive chairman, at the NYSE, and Mark Alles, Celgene CEO, at the Nasdaq.Today's bell ringers are Roland Ormand, Lilis Energy executive chairman, at the NYSE, and Mark Alles, Celgene CEO, at the Nasdaq.Today's bell ringers are Roland Ormand, Lilis Energy executive chairman, at the NYSE, and Mark Alles, Celgene CEO, at the Nasdaq.Roland Ormand, Lilis Energy executive chairman, at the NYSE, and Mark Alles, Celgene CEO, at the Nasdaq, ring today's opening bells.Roland Ormand, Lilis Energy executive chairman, at the NYSE, and Mark Alles, Celgene CEO, at the Nasdaq, ring today's opening bells.Roland Ormand, Lilis Energy executive chairman, at the NYSE, and Mark Alles, Celgene CEO, at the Nasdaq, ring today's opening bells.Roland Ormand, Lilis Energy executive chairman, at the NYSE, and Mark Alles, Celgene CEO, at the Nasdaq, ring today's opening bells.",107,2017-09-07,CELG,-0.01135085966868945
6,2017-09-15,Traders give their award-winning stock picks ahead of this weekend's Emmy's  ,"The “Fast Money” traders share their final trades for the day including Lions Gate Entertainment, Netflix, Square and Celgene.The “Fast Money” traders share their final trades for the day including Lions Gate Entertainment, Netflix, Square and Celgene.The “Fast Money” traders share their final trades for the day including Lions Gate Entertainment, Netflix, Square and Celgene.The “Fast Money” traders share their final trades for the day including Lions Gate Entertainment, Netflix, Square and Celgene.",101,2017-09-15,CELG,-0.010118607472162576
7,2017-10-05,Cramer's Stop Trading: Celgene is not a sell  Options traders are betting on a big bounce for this biotech name  ,CNBC's Jim Cramer explains why he is watching shares of Celgene after Morgan Stanley downgraded the stock.CNBC's Jim Cramer explains why he is watching shares of Celgene after Morgan Stanley downgraded the stock.CNBC's Jim Cramer explains why he is watching shares of Celgene after Morgan Stanley downgraded the stock.CNBC's Jim Cramer explains why he is watching shares of Celgene after Morgan Stanley downgraded the stock.CNBC contributor Mike Khouw discusses his bullish bets for Celgene.CNBC contributor Mike Khouw discusses his bullish bets for Celgene.CNBC contributor Mike Khouw discusses his bullish bets for Celgene.CNBC contributor Mike Khouw discusses his bullish bets for Celgene.,87,2017-10-05,CELG,0.04544808928077987
8,2017-10-06,Cramer Remix: Don’t ignore the oldest rule in the game when it comes to Celgene  Cramer Remix: Don’t ignore the oldest rule in the game when it comes to Celgene  ,"show chapters
 Cramer Remix: Don’t ignore the oldest rule in the game when it comes to Celgene   
 9:55  AM ET Mon,  9 Oct 2017 |  01:14 
 As news emerges of Amazon considering a big push into pharmaceuticals, CNBC's Jim Cramer endorsed one of his favorite drugmakers, Celgene, after its stock fell off a cliff on Thursday. 
 ""We like to buy low and sell high. It's literally the oldest rule in the game,"" the ""Mad Money"" host said as investors' flight from the stock subsided on Friday. ""So I consider it my job to point out when we're getting a nice buying opportunity in the stock of a high-quality company if they ever occur.""
Cramer said the market should view the pullback as ""a gift"" because every time Celgene shares have sold off, they've managed to rebound.
 The main driver for Celgene's drop was Morgan Stanley's downgrade of the stock to an ""underperform"" rating. Analysts' chief concerns were competition from generic versions of Celgene's flagship drugs and the biopharmaceutical player's 2018 pipeline.
But Cramer said Morgan Stanley blew its worries out of proportion. Celgene's patents likely won't be challenged by its rivals anytime soon — its three main patents expire in the 2020s, by which point the company will have made a considerable amount of money on the drugs.
And according to Celgene, its pipeline stands to generate up to $14 billion in peak sales. Moreover, successful clinical trials could send the stock surging once again, Cramer said.
""When a high-quality stock like Celgene gets slammed but the underlying thesis is still intact, I think you need to do some buying,"" Cramer concluded. ""Celgene's building a stable of multi-billion-dollar drugs, it's got fabulous management, and [blood cancer treatment] Revlimid's patent protection will likely hold up, so don't let this Morgan Stanley analyst scare you out of a good story, especially when that analyst sat out the whole run with a hold on the stock, which is not what I'd call value-added.""
 Cramer's Game Plan: Know What You Own
 Michael Nagle | Bloomberg | Getty Images
 Stocks may have pulled back after weak nonfarm payroll numbers, but Cramer still noticed a somewhat dangerous rush into high-growth technology and cloud stocks.
""Does this make any sense? You know what, I don't even know anymore. Here's all I ask. The highest valued stocks are now making the big moves — 'highest valued' meaning the highest price-to-earnings, highest price-to-sales [multiples] — so I'm begging you to do something for me: if you're going to own these stocks ... please know what you're buying,"" Cramer said.
Cramer pointed to an indicator that could mean trouble for the seemingly unstoppable market. The S&P 500's proprietary oscillator, a measure that tracks how overbought the index is, just crossed 5, a high level that often indicates that a correction is imminent.
The most important thing for investors now is to know what they own and do their homework on the stocks in their portfolios regardless of how diversified they are, Cramer said.
""I am urging you to be careful,"" he said. ""At this point, the odds do favor a pullback. It could give you a better chance to buy. Notice I'm not saying, 'Sell.' I'm just saying I want you to be ready.""
With that in mind, Cramer turned to the stocks and events he'll keep a close eye on next week.
 Know Your IPO: Switch
 Michael Nagle | Bloomberg | Getty Images
Rob Roy, founder and chief executive officer of Switch Inc., center, rings the opening bell before the company's initial public offering (IPO) on the floor of the New York Stock Exchange (NYSE) in New York, U.S., on Friday, Oct. 6, 2017.
 Cramer rarely fails to notice new players arriving on the data center scene, which is why Switch's initial public offering on Friday caught his attention.
""After digging into this story, I think the pros do outweigh the cons, although I'm obviously not alone in believing that, as the stock surged from $17, where it came public today, up to $20.84. That's a 22 percent gain right out of the gate,"" he said. ""Which begs the question: is Switch worth owning even after today's monster move?""
With a book of high-profile clients including Amazon and eBay already under its belt, Switch claims to offer an advanced kind of data center replete with patented cooling systems and powerful machines equipped to handle businesses' sensitive, complex and regulated data.
""The fact is this is a pretty lucrative business. I told you I love the data center,"" Cramer said. ""However, while Switch is intriguing, it also has some issues that we've got to address here.""
 Marriott Vacations Worldwide CEO on Millennials
 Chip East | Reuters
Steve Weisz (C), CEO of Marriott Vacations Worldwide, rings the opening bell at the New York Stock Exchange.
 When you think of typical timeshare owners, social-media-shackled millennials may not seem like the prime example.
But Steve Weisz, the president and CEO of public timeshare provider Marriott Vacations Worldwide, told CNBC's Jim Cramer that the data suggest otherwise.
""[According to] some interesting statistics not only that we see, but also through the Timeshare Trade Association and the American Resort Development Association, the number of Gen X, Gen Y and millennials continues to grow as a percentage of the new-owner buyers that are coming into the marketplace,"" Weisz told the ""Mad Money"" host in an exclusive interview on Friday.
""While I think the traditional belief is that this is somewhat of a 'boomer' product, I believe that the statistics are proving that not to be true at all,"" the CEO added.
 Putting a Lid on Costco Shares?
 Finally, Cramer expanded on his morning commentary on Costco. Shares of the wholesale retailer closed down 6 percent on Friday after its post-earnings conference call, in which analysts pushed a narrative of Amazon overshadowing Costco's future success.
""Here's the CliffNotes version of this call: millennials don't like to go to Costco. They'd rather go to Amazon. Membership growth isn't as robust among younger people, so the aging of its core demographic — 52 is the average — will, in the end, mean that Costco's stock is no longer a bargain no matter what,"" Cramer recalled.
Even though Costco's earnings report beat Wall Street's profit and same-store sales estimates, Cramer warned investors not to buy this particular dip because of its Amazon ties.
""In this market, once Amazon locks its phasers on you, nothing's ever going to be the same,"" he said. ""So down $10's not enough to immunize Costco's stock from further declines. The reality is Amazon's efforts are putting a lid on Costco's stock and they've taken away the floor.""
 Lightning Round: GE's Corporate Shake-Up
 In Cramer's lightning round, he rattled off his take on some callers' favorite stocks:
General Electric Company: ""I am shocked. Jeff Bornstein, the CFO, is out there. A new CFO coming in, Jamie Miller. Things are happening so quickly there. My charitable trust owns GE. It's been a disaster. I like to call when they're good, so why not say when they're bad? Maybe this is a shake-up that's necessary.""
Easterly Government Properties Inc.: ""It's got a good yield. I think it's a safe yield. I think that the answer is yes [it's a buy], unless you think interest rates are going to skyrocket, and I don't.""
 Questions for Cramer? Call Cramer: 1-800-743-CNBC Want to take a deep dive into Cramer's world? Hit him up! Mad Money Twitter - Jim Cramer Twitter - Facebook - Instagram - Vine Questions, comments, suggestions for the ""Mad Money"" website? madcap@cnbc.com 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });Jim Cramer explains why Celgene’s recent sell-off is a perfect buying opportunity.Jim Cramer explains why Celgene’s recent sell-off is a perfect buying opportunity.Jim Cramer explains why Celgene’s recent sell-off is a perfect buying opportunity.Jim Cramer explains why Celgene’s recent sell-off is a perfect buying opportunity.",86,2017-10-06,CELG,0.005730264229358037
9,2017-10-19,"Celgene won't initiate phase 3 trial for Crohn's disease drug  Celgene discontinues trial of Crohn's disease drug  Celgene reopens, shares plunge  Final Trades: HAIN, CELG & PHM  ","show chapters
 Celgene discontinues trial of Crohn's disease drug   
 5:10  PM ET Thu, 19 Oct 2017 |  01:13 
 Celgene's shares fell about 6.3 percent in after-hours trading on Thursday after the pharmaceutical company said that it won't initiate a phase 3 trial for a Crohn's disease drug.
 The company said it made the decision after a recommendation from the data monitoring committee, which assessed overall benefit and risk. There were no meaningful safety imbalances identified, Celgene said. 
""While we are disappointed with the results of REVOLVE, we remain committed to advancing our portfolio of novel medicines for patients suffering from this disease and other inflammatory bowel disorders,"" Celgene President and Chief Operating Officer Scott Smith said in a statement. 
 Celgene said it would review the full dataset from the phase two trial of an ulcerative colitis drug before determining the next steps. 
 WATCH: Celgene reopens, shares plunge
 show chapters
 Celgene reopens, shares plunge   
 5:26  PM ET Thu, 19 Oct 2017 |  00:55 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });CNBC's Meg Tirrell reports on Celgene stock halted on news the company will discontinue Crohn's disease drug trial.CNBC's Meg Tirrell reports on Celgene stock halted on news the company will discontinue Crohn's disease drug trial.CNBC's Meg Tirrell reports on Celgene stock halted on news the company will discontinue Crohn's disease drug trial.CNBC's Meg Tirrell reports on Celgene stock halted on news the company will discontinue Crohn's disease drug trial.CNBC's Meg Tirrell reports on Celgene stock reopening after being halted on news the company is discontinuing its Crohn's disease drug trial.CNBC's Meg Tirrell reports on Celgene stock reopening after being halted on news the company is discontinuing its Crohn's disease drug trial.CNBC's Meg Tirrell reports on Celgene stock reopening after being halted on news the company is discontinuing its Crohn's disease drug trial.CNBC's Meg Tirrell reports on Celgene stock reopening after being halted on news the company is discontinuing its Crohn's disease drug trial.The “Fast Money” traders share their final trades for the day including PulteGroup, Hain Celestial Group, VanEck Vectors Semiconductor ETF, and Celgene.The “Fast Money” traders share their final trades for the day including PulteGroup, Hain Celestial Group, VanEck Vectors Semiconductor ETF, and Celgene.The “Fast Money” traders share their final trades for the day including PulteGroup, Hain Celestial Group, VanEck Vectors Semiconductor ETF, and Celgene.The “Fast Money” traders share their final trades for the day including PulteGroup, Hain Celestial Group, VanEck Vectors Semiconductor ETF, and Celgene.",77,2017-10-19,CELG,0.008860307662400183
