,postDate,headline,articleHTML,Unnamed: 0,date,ticker,daily_change
0,2017-06-09,Four members of iQ100 hitting all-time highs  ,"Four members of the CNBC iQ100 hitting all-time highs today. C.R. Bard, Johnson and Johnson, Deere, and Illinois Tool Works. Five others hitting 52-week highs Citigroup, Applied Materials, Micron, Xilinx, and Yahoo. For more on the index go to CNBC.com/iq100
Four members of the CNBC iQ100 hitting all-time highs today. C.R. Bard, Johnson and Johnson, Deere, and Illinois Tool Works. Five others hitting 52-week highs Citigroup, Applied Materials, Micron, Xilinx, and Yahoo. For more on the index go to CNBC.com/iq100
Four members of the CNBC iQ100 hitting all-time highs today. C.R. Bard, Johnson and Johnson, Deere, and Illinois Tool Works. Five others hitting 52-week highs Citigroup, Applied Materials, Micron, Xilinx, and Yahoo. For more on the index go to CNBC.com/iq100
Four members of the CNBC iQ100 hitting all-time highs today. C.R. Bard, Johnson and Johnson, Deere, and Illinois Tool Works. Five others hitting 52-week highs Citigroup, Applied Materials, Micron, Xilinx, and Yahoo. For more on the index go to CNBC.com/iq100
",169,2017-06-09,C,-0.019427212900989053
1,2017-06-12,Two iQ100 members hitting 52-week highs  ,"Johnson and Johnson, Illinois Tool Works, and 3m. Two others hitting new 52 week highs, Citigroup and Level 3 Communications. For more on the index go to CNBC.com/iq100Johnson and Johnson, Illinois Tool Works, and 3m. Two others hitting new 52 week highs, Citigroup and Level 3 Communications. For more on the index go to CNBC.com/iq100Johnson and Johnson, Illinois Tool Works, and 3m. Two others hitting new 52 week highs, Citigroup and Level 3 Communications. For more on the index go to CNBC.com/iq100Johnson and Johnson, Illinois Tool Works, and 3m. Two others hitting new 52 week highs, Citigroup and Level 3 Communications. For more on the index go to CNBC.com/iq100",168,2017-06-12,C,0.002019104514485611
2,2017-06-13,"“Fast Money” final trades: AAPL, GS and more  ","The “Fast Money” traders discuss their final trades for the day including Goldman Sachs, Apple, Citigroup and Schlumberger.The “Fast Money” traders discuss their final trades for the day including Goldman Sachs, Apple, Citigroup and Schlumberger.The “Fast Money” traders discuss their final trades for the day including Goldman Sachs, Apple, Citigroup and Schlumberger.The “Fast Money” traders discuss their final trades for the day including Goldman Sachs, Apple, Citigroup and Schlumberger.",167,2017-06-13,C,-0.005736005185183195
3,2017-06-15,Apple should buy Athenahealth to expand in health care: Citigroup  ,"Sally Shin | CNBC
Tim Cook
 As Apple moves into health care, it's acquired a few small start-ups.
 Now, Citigroup analyst Garen Sarafian is recommending that the company scoop up a far larger player in health technology: Athenahealth. 
Even with a market capitalization of close to $6 billion, the purchase would make sense, Sarafian wrote in a note to clients, as it could help Apple solve one of the biggest's issues in health care -- the interoperable exchange of medical data.
 Sarafian's analysis followed a report on Wednesday from CNBC that Apple is looking to turn the iPhone into the central bank for patient health information. 
Apple has more than 1 billion iPhone users but limited access to clinical systems that capture data in hospitals. Meanwhile, according to Sarafian, Athenahealth offers access to around 83 million patient records and has a track record of integrating with clinical IT systems like Epic and Cerner. The company also has access to a network of about half of all U.S. doctors through its mobile health app Epocrates. 
Sarafian has a ""buy"" recommendation on Athenahealth.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",165,2017-06-15,C,0.009625908823611857
4,2017-06-21,Citi makes the case for why Apple should consider buying athenahealth  ,"Garen Sarafian, Citigroup analyst, discusses the opportunity for Apple to buy aethenahealth and turn iPhone into a centralized health management system. The “Fast Money” traders weigh in.Garen Sarafian, Citigroup analyst, discusses the opportunity for Apple to buy aethenahealth and turn iPhone into a centralized health management system. The “Fast Money” traders weigh in.Garen Sarafian, Citigroup analyst, discusses the opportunity for Apple to buy aethenahealth and turn iPhone into a centralized health management system. The “Fast Money” traders weigh in.Garen Sarafian, Citigroup analyst, discusses the opportunity for Apple to buy aethenahealth and turn iPhone into a centralized health management system. The “Fast Money” traders weigh in.",161,2017-06-21,C,0.0012525443942243927
5,2017-06-28,Citigroup announces $15.6B buyback  ,CNBC's Seema Mody reports on a buyback from Citigroup.CNBC's Seema Mody reports on a buyback from Citigroup.CNBC's Seema Mody reports on a buyback from Citigroup.CNBC's Seema Mody reports on a buyback from Citigroup.,156,2017-06-28,C,-0.014682282139714375
6,2017-06-29,Breakingviews: Citi passed its stress test and raised dividends. Now what? ,"Drew Angerer | Bloomberg | Getty Images
Michael Corbat, chief executive officer of Citigroup Inc.
 Now that Citigroup has aced the Federal Reserve's latest stress test, it needs a strategy. The $188 billion U.S. bank doubled its dividend and boosted its share buyback by $15.6 billion after clearing the exam. Chief Executive Mike Corbat has been understandably laser-focused on returning capital and appeasing watchdogs, objectives that eluded his predecessor and lifted him into the job. Spurring growth to match bigger investor payouts is a trickier challenge.
Corbat was brought in as Citi's chief in 2012, after the bank failed the test for the first time under Vikram Pandit. The bank failed again in 2014, leaving Corbat stunned. With his job at stake, Corbat persuaded an executive to delay retirement and take over the examination process. The bank spent $180 million to improve its systems and streamlined operations.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",155,2017-06-29,C,-0.027241393956642983
7,2017-06-30,Citigroup is still an attractive opportunity: Trader  Citigroup's Mark Shafir: Here's what's driving deal-making in 2017  ,"The “Fast Money Halftime Report” traders discuss financials after Morgan Stanley's James Gorman said he's bullish on banks.The “Fast Money Halftime Report” traders discuss financials after Morgan Stanley's James Gorman said he's bullish on banks.The “Fast Money Halftime Report” traders discuss financials after Morgan Stanley's James Gorman said he's bullish on banks.The “Fast Money Halftime Report” traders discuss financials after Morgan Stanley's James Gorman said he's bullish on banks.Mark Shafir, Citigroup global co-head of mergers & acquisitions, discusses the outlook for global mergers and acquisitions in the second half of 2017.Mark Shafir, Citigroup global co-head of mergers & acquisitions, discusses the outlook for global mergers and acquisitions in the second half of 2017.Mark Shafir, Citigroup global co-head of mergers & acquisitions, discusses the outlook for global mergers and acquisitions in the second half of 2017.Mark Shafir, Citigroup global co-head of mergers & acquisitions, discusses the outlook for global mergers and acquisitions in the second half of 2017.",154,2017-06-30,C,0.0014940985896123875
8,2017-07-14,"Three major US banks to report, here's one analyst's take  Citigroup earnings: $1.28 per share, vs expected EPS of $1.21  Investors poured money into banks before earnings, then got burned  Markets open slightly higher on choppy economic data  ","Chris Wheeler, U.S. bank analyst at Atlantic Equities, discusses his expectations ahead of Citigroup, JPMorgan and Wells Fargo second quarter earnings.Chris Wheeler, U.S. bank analyst at Atlantic Equities, discusses his expectations ahead of Citigroup, JPMorgan and Wells Fargo second quarter earnings.Chris Wheeler, U.S. bank analyst at Atlantic Equities, discusses his expectations ahead of Citigroup, JPMorgan and Wells Fargo second quarter earnings.Chris Wheeler, U.S. bank analyst at Atlantic Equities, discusses his expectations ahead of Citigroup, JPMorgan and Wells Fargo second quarter earnings.show chapters
 Citi beats Street's expectations on top and bottom line   
 8:30  AM ET Fri, 14 July 2017 |  00:43 
 Citigroup reported better-than-expected second-quarter results Friday. The stock, however, fell 1 percent after the bank reported a slowdown in trading results.
 The bank posted earnings per share of $1.28 on revenue of $17.901 billion, topping analyst expectations. That's compared to earnings of $1.24 per share on $17.548 billion in revenue in the year-ago period. 
Here's how Citigroup's results compared Wall Street's expectations:
 EPS: $1.28 vs. $1.21 expected by Thomson One analysts' consensus. Revenue: $17.901 billion vs. $17.367 billion expected by Thomson One. 
""The $3.9 billion of net income helped generate additional regulatory capital. Our Common Equity Tier 1 capital ratio grew to 13.0%, well above the 11.5% we believe we need to prudently operate the firm,"" Citigroup CEO Michael Corbat said in a statement.
 David Paul Morris | Bloomberg | Getty Images
The silhouette of a pedestrian holding a mobile device is seen walking past a Citigroup bank branch in San Francisco.
 That said, Citigroup's ""Markets and Securities Services"" revenue declined by 5 percent to $4.388 billion year over year, largely because of an 11 percent pullback in equity markets sales. In a release, the bank said the decline in equities trading reflected ""episodic activity in the prior year period, as well as low volatility in the current quarter.""
Citigroup also said its fixed income markets revenue totaled $3.215 billion, down from $3.432 billion in the prior-year period and down from $3.622 billion in the first quarter of this year. 
JPMorgan Chase — which also reported quarterly results Friday — also noted its trading revenue fell year on year.
Citigroup's loans grew by 2 percent year on year to $645 billion while deposits also climbed 2 percent to $959 billion.
Across different regions, the company's overall revenue grew 5 percent year over year in North America and 10 percent in emerging markets.
""Core businesses are performing well. We're seeing better loan performance for both the consumer and corporate businesses,"" said Ken Leon, bank analyst at CFRA. ""I think it was a pretty solid quarter.""
Shares of Citigroup have risen more than 15 percent over the past month, boosted by a sharp jump in sovereign bond yields and positive stress test results from the Federal Reserve.
Citigroup shares over past month
 Source: FactSet
The benchmark 10-year note yield has jumped from approximately 2.2 percent to 2.33 percent. The move higher was triggered by hawkish rhetoric from officials at the Fed and the European Central Bank.
The Fed has signaled it intends to start unwinding its massive $4.5 trillion balance sheet later this year. The central bank is also expected to raise interest rates once more this year. The ECB, meanwhile, has hinted at the possibility of tapering its quantitative easing program sometime next year.
The bank's stock also benefited from the Fed approving stock repurchase programs for all the major U.S. banks. The Fed's blessing led to Citi announcing its biggest buyback program ever and to double its quarterly dividend.
Citigroup's first-quarter results topped analysts' expectations, helped by a jump in bond trading.
Earlier Friday, PNC Financial Services earnings also topped analysts' expectations. Wells Fargo, meanwhile, posted mixed results, with sales disappointing and earnings beating estimates.
This is breaking news. Please check back for updates.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });show chapters
 Banks turn lower despite earnings beats   
 7:38  PM ET Fri, 14 July 2017 |  03:01 
 As earnings seasons approached, investors flocked to financial stocks on anticipation that the high hopes for the sector would come true. So far, it's been an expensive losing bet.
 Bank shares slumped Friday in an early but important round of profit reports. JPMorgan Chase, Wells Fargo and Citigroup — Nos. 1, 3 and 4 in terms of assets — each disappointed the market for various reasons. 
Financials broadly fell more than 1 percent by midday, and the KBW Nasdaq Bank Index specifically was off 1.2 percent. Wells Fargo dropped about 2 percent.
 That comes as investors have been pumping cash into an exchange-traded fund that tracks the industry, the Financial Select Sector SDPR. The ETF has hauled in just shy of $900 million in July — about a 3.6 percent gain in assets just for the period — as investors bet big on the banks.
Despite the decline Friday, no one is panicking yet. Indeed, ratings firm CFRA kept its buy recommendation on both JPMorgan and Wells Fargo and raised its price target $2 on each of the stocks.
""A lot of the environment around them is still pretty good just fundamentally,"" said Jim Paulsen, chief investment strategist at The Leuthold Group. ""There's borrowing and lending going on again. With the stock market going to new highs, I think it's going to stoke a little new activity.""
Bank stocks immediately fell in premarket trading after the three big institutions released their earnings reports. They stayed negative through the trading day as investors digested the positions of the Wall Street leaders, and after weak inflation data sent government bond yields lower.
 Joseba Etxaburu | Reuters
 Indeed, Paulsen said the direction of yields will be a critical metric by which to gauge bank performance. 
Should the benchmark 10-year Treasury note break above 2.6 percent, the sector stands to benefit, he said. The road will be different under lower bond yields, in which case earnings will take more prominence.
""I think we break out [on yields]. If we do, they'll be OK,"" Paulsen said. ""Some of the sales have been weak, but that would be helped if you can raise the yield structure and steepen the curve again.""
That yield dynamic has created some uncertainty in the market lately. While Federal Reserve officials have indicated their desire to bring interest rates back to levels closer to historical norms, the inflation numbers have not been cooperating.
Consumer price index data Friday showed surprisingly weak pricing pressures, with June prices unchanged. The Fed is determined to bring inflation back up to 2 percent annualized, but the CPI now points to just a 1.6 percent reading.
However, Kevin Quigg, chief strategist at ACSI Funds, said the sector has other factors in its favor.
""The industry as a whole is in very good shape. Everyone passed the stress test for the first time in seven years,"" Quigg said, referencing the exams banks must pass to show that they can withstand another financial crisis. Each bank involved in the tests received approval for their plans to distribute capital to shareholders.
""There's also deregulation. There certainly will be a look into regulations. That's a real tail wind for the industry,"" added Quigg, whose fund has positions in Citi, JPMorgan and Wells Fargo.
To be sure, not everyone is a fan.
Kevin O'Leary, who runs the O'Shares ETF family and is a judge on ABC""s ""Shark Tank,"" a program that also is syndicated on CNBC, believes the big bank stock run is at least taking a break for a while.
""This is the pause that refreshes going forward,"" O'Leary said on ""Fast Money Halftime Report."" He pointed to comments from JPMorgan CEO Jamie Dimon earlier in the day expressing frustration with the slow pace of fiscal reforms in Congress.
""In his words are caution,"" O'Leary said. ""I think if you're looking for what's going to make things work in financials, you don't have to own banks.""
WATCH: O'Leary explains why he doesn't like banks.
 show chapters
 Kevin O'Leary: Financials will not lead the market   
 12:33  PM ET Fri, 14 July 2017 |  01:58 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });CNBC's Bob Pisani takes a look at what's moving in early morning trading, as banks move lower despite Wells Fargo, Citigroup and JPMorgan reporting earnings above estimates.CNBC's Bob Pisani takes a look at what's moving in early morning trading, as banks move lower despite Wells Fargo, Citigroup and JPMorgan reporting earnings above estimates.CNBC's Bob Pisani takes a look at what's moving in early morning trading, as banks move lower despite Wells Fargo, Citigroup and JPMorgan reporting earnings above estimates.CNBC's Bob Pisani takes a look at what's moving in early morning trading, as banks move lower despite Wells Fargo, Citigroup and JPMorgan reporting earnings above estimates.",145,2017-07-14,C,0.004486324258672885
9,2017-07-17,Citigroup tends to gain after beating expectations  ,Kensho tracks Citigroup activity after it beats Walls Street estimates. Kensho tracks Citigroup activity after it beats Walls Street estimates. Kensho tracks Citigroup activity after it beats Walls Street estimates. Kensho tracks Citigroup activity after it beats Walls Street estimates. ,144,2017-07-17,C,-0.0016473234724874314
