,postDate,headline,articleHTML,Unnamed: 0,date,ticker,daily_change
0,2017-01-31,Electronic Arts full-year revenue outlook in line  ,Earnings are out for Electronic Arts. CNBC's Julia Boorstin reports the details.Earnings are out for Electronic Arts. CNBC's Julia Boorstin reports the details.Earnings are out for Electronic Arts. CNBC's Julia Boorstin reports the details.Earnings are out for Electronic Arts. CNBC's Julia Boorstin reports the details.,259,2017-01-31,EA,-inf
1,2017-02-01,A videogame has been eerily right about the Super Bowl. Here's who it says will win this year  ,"Getty Images
om Brady #12 of the New England Patriots celebrates with the Vince Lombardi Trophy after defeating the Seattle Seahawks 28-24 to win Super Bowl XLIX at University of Phoenix Stadium on February 1, 2015 in Glendale, Arizona.
 The Atlanta Falcons may not be flying high at the end of Super Bowl LI. Electronic Arts' ""Madden NFL 17"" has made its annual prediction about the big game — and the video game forecasts the New England Patriots will come out on top by a score of 27-24.  
 While it might be easy to shrug off a video game simulation, it's worth noting that the long-running franchise has proven especially prescient in the 13 years it has been rolling out a prediction, correctly picking the winner nine times — and in 2015 it perfectly predicted both the final score and the final play. 
Here's how this year's game will play out, per the simulation. The Falcons will draw first blood, scoring during the first quarter after running back Tevin Coleman takes a pass from the backfield 15 yards into the end zone. Patriots quarterback Tom Brady will quickly respond, with a 38-yard play action pass to Chris Hogan for a touchdown. 
 The second quarter will see the Falcons gain another touchdown, after a deep pass to wide receiver Julio Jones puts them in position, while the Patriots will be limited to a field goal, making the score 17-10 at the half. 
By the time Lady Gaga's done with her performance, though, the Patriots are going to be hungry, with the offense scoring both a touchdown and a field goal in the third quarter and the defense finally finding a way to shut down Atlanta QB Matt Ryan. 
 show chapters
 Super Bowl spending topped $15.5 billion last year   
 12:01  PM ET Wed, 12 July 2017 |  01:26 
 The Falcons will make a fourth quarter comeback, gaining a 24-20 lead, but with four minutes left in the game, Madden predicts, Tom Brady will begin a march down the field that will put the Patriots in a 4th and 4 situation with just 20 seconds remaining on the clock. A pass to wide receiver Julian Edelman in the end zone will seal the victory for New England. 
 Whew. That's a breathtaking game even if it's just played out in your head.  
 While Falcon fans aren't likely to put a lot of stock in the simulation, the game has done better than many Vegas oddsmakers over the years. But before you Patriots loyalists rush out to meet your bookie, it's worth noting that when it misses the mark, it does so by a pretty wide margin. It gave the edge in Super Bowl XLVIII (which saw Denver battle Seattle) to the Broncos, predicting Peyton Manning would lead his team to a 31-28 victory. In reality, it was a blowout 43-8 victory by Seattle. 
 And last year, it confidently said the Carolina Panthers would beat the Broncos by a score of 24-20. The Broncos ran roughshod on Cam Newton and crew with a 24-10 victory. 
 Want a little more historical knowledge before deciding how much faith to put into ""Madden's"" prediction? Here's a look at the game's full track record to date: 
 postLoadFunctions = postLoadFunctions || {};postLoadFunctions.highchart = function(){
function loadScripts(array,callback){var loader = function(src,handler){var script = document.createElement(""script"");script.src = src;script.onload = script.onreadystatechange = function(){script.onreadystatechange = script.onload = null;handler();}
var domNode = document.getElementsByTagName(""body"")[0];(domNode || document.body).appendChild( script );};(function(){if(array.length!=0){loader(array.shift(),arguments.callee);}else{callback && callback();}})();}loadScripts([""//code.highcharts.com/stock/highstock.js"",""//code.highcharts.com/highcharts-more.js"",""//code.highcharts.com/highcharts-3d.js"",""//code.highcharts.com/modules/exporting.js""],function(){
Highcharts.setOptions({chart:{renderTo: ""container"",events:{load: function (){this.renderer.image(""//fm.cnbc.com/applications/cnbc.com/resources/styles/skin/DATA-VISUALIZATION/logos/cnbc-logo-charts.png"", 10, this.chartHeight - 15, 100, 15).add();}},style:{fontFamily:""Gotham Narrow SSm 4r""}},title:{align: ""left"",x: 20,style:{fontSize: ""22px"",fontFamily:""Gotham Narrow SSm 5r"",fontWeight:""bold"",textAlign:""left""}},subtitle:{align: ""left"",x: 20, style:{fontSize: ""18px"",fontFamily:""Gotham Narrow SSm 5r"",textAlign:""left""}}});
var options = {
 ""chart"": {
 ""type"": ""column"",
 ""style"": {
 ""fontFamily"": ""Arial""
 }
 },
 ""title"": {
 ""text"": ""How Madden predicted the Super Bowl, versus what happened""
 },
 ""yAxis"": {
 ""title"": {
 ""text"": ""Total Points Scored""
 }
 },
 ""credits"": {
 ""text"": ""Score: Madden""
 },
 ""xAxis"": {
 ""labels"": {
 ""rotation"": -65
 },
 ""type"": ""category""
 },
 ""series"": [
 {
 ""index"": 0,
 ""color"": ""#e41111"",
 ""name"": ""Madden Wrong"",
 ""data"": [
 [
 ""Super Bowl 50: Panthers"",
 24
 ],
 [
 ""Super Bowl 50: Broncos"",
 20
 ],
 [
 ""Super Bowl XLIX: Patriots"",
 null
 ],
 [
 ""Super Bowl XLIX: Seahawks"",
 null
 ],
 [
 ""Super Bowl XLVIII: Broncos"",
 31
 ],
 [
 ""Super Bowl XLVIII: Seahawks"",
 28
 ],
 [
 ""Super Bowl XLVII: Ravens"",
 null
 ],
 [
 ""Super Bowl XLVII: 49ers"",
 null
 ],
 [
 ""Super Bowl XLVI: Giants"",
 null
 ],
 [
 ""Super Bowl XLVI: Patriots"",
 null
 ],
 [
 ""Super Bowl XLV: Steelers"",
 24
 ],
 [
 ""Super Bowl XLV: Packers"",
 20
 ],
 [
 ""Super Bowl XLIV: Saints"",
 null
 ],
 [
 ""Super Bowl XLIV: Colts"",
 null
 ],
 [
 ""Super Bowl XLIII: Steelers"",
 null
 ],
 [
 ""Super Bowl XLIII: Cardinals"",
 null
 ],
 [
 ""Super Bowl XLII: Patriots"",
 38
 ],
 [
 ""Super Bowl XLII: Giants"",
 30
 ],
 [
 ""Super Bowl XLI: Colts"",
 null
 ],
 [
 ""Super Bowl XLI: Bears"",
 null
 ],
 [
 ""Super Bowl XL: Steelers"",
 null
 ],
 [
 ""Super Bowl XL: Seahawks"",
 null
 ],
 [
 ""Super Bowl XXXIX: Patriots"",
 null
 ],
 [
 ""Super Bowl XXXIX: Eagles"",
 null
 ],
 [
 ""Super Bowl XXXVIII: Patriots"",
 null
 ],
 [
 ""Super Bowl XXXVIII: Panthers"",
 null
 ],
 [
 ""Super Bowl XLIX: Patriots"",
 null
 ],
 [
 ""Super Bowl XLIX: Seahawks"",
 null
 ]
 ]
 },
 {
 ""index"": 1,
 ""color"": ""#4aaf24"",
 ""name"": ""Madden Correct"",
 ""data"": [
 [
 ""Super Bowl 50: Panthers"",
 null
 ],
 [
 ""Super Bowl 50: Broncos"",
 null
 ],
 [
 ""Super Bowl XLIX: Patriots"",
 28
 ],
 [
 ""Super Bowl XLIX: Seahawks"",
 24
 ],
 [
 ""Super Bowl XLVIII: Broncos"",
 null
 ],
 [
 ""Super Bowl XLVIII: Seahawks"",
 null
 ],
 [
 ""Super Bowl XLVII: Ravens"",
 27
 ],
 [
 ""Super Bowl XLVII: 49ers"",
 24
 ],
 [
 ""Super Bowl XLVI: Giants"",
 27
 ],
 [
 ""Super Bowl XLVI: Patriots"",
 24
 ],
 [
 ""Super Bowl XLV: Steelers"",
 null
 ],
 [
 ""Super Bowl XLV: Packers"",
 null
 ],
 [
 ""Super Bowl XLIV: Saints"",
 35
 ],
 [
 ""Super Bowl XLIV: Colts"",
 31
 ],
 [
 ""Super Bowl XLIII: Steelers"",
 28
 ],
 [
 ""Super Bowl XLIII: Cardinals"",
 24
 ],
 [
 ""Super Bowl XLII: Patriots"",
 null
 ],
 [
 ""Super Bowl XLII: Giants"",
 null
 ],
 [
 ""Super Bowl XLI: Colts"",
 38
 ],
 [
 ""Super Bowl XLI: Bears"",
 27
 ],
 [
 ""Super Bowl XL: Steelers"",
 24
 ],
 [
 ""Super Bowl XL: Seahawks"",
 19
 ],
 [
 ""Super Bowl XXXIX: Patriots"",
 47
 ],
 [
 ""Super Bowl XXXIX: Eagles"",
 31
 ],
 [
 ""Super Bowl XXXVIII: Patriots"",
 23
 ],
 [
 ""Super Bowl XXXVIII: Panthers"",
 32
 ],
 [
 ""Super Bowl XLIX: Patriots"",
 28
 ],
 [
 ""Super Bowl XLIX: Seahawks"",
 24
 ]
 ]
 },
 {
 ""index"": 2,
 ""color"": ""#352626"",
 ""name"": ""Actual Score"",
 ""data"": [
 [
 ""Super Bowl 50: Panthers"",
 10
 ],
 [
 ""Super Bowl 50: Broncos"",
 24
 ],
 [
 ""Super Bowl XLIX: Patriots"",
 28
 ],
 [
 ""Super Bowl XLIX: Seahawks"",
 24
 ],
 [
 ""Super Bowl XLVIII: Broncos"",
 8
 ],
 [
 ""Super Bowl XLVIII: Seahawks"",
 43
 ],
 [
 ""Super Bowl XLVII: Ravens"",
 34
 ],
 [
 ""Super Bowl XLVII: 49ers"",
 31
 ],
 [
 ""Super Bowl XLVI: Giants"",
 21
 ],
 [
 ""Super Bowl XLVI: Patriots"",
 17
 ],
 [
 ""Super Bowl XLV: Steelers"",
 25
 ],
 [
 ""Super Bowl XLV: Packers"",
 31
 ],
 [
 ""Super Bowl XLIV: Saints"",
 31
 ],
 [
 ""Super Bowl XLIV: Colts"",
 17
 ],
 [
 ""Super Bowl XLIII: Steelers"",
 27
 ],
 [
 ""Super Bowl XLIII: Cardinals"",
 23
 ],
 [
 ""Super Bowl XLII: Patriots"",
 14
 ],
 [
 ""Super Bowl XLII: Giants"",
 17
 ],
 [
 ""Super Bowl XLI: Colts"",
 29
 ],
 [
 ""Super Bowl XLI: Bears"",
 17
 ],
 [
 ""Super Bowl XL: Steelers"",
 21
 ],
 [
 ""Super Bowl XL: Seahawks"",
 10
 ],
 [
 ""Super Bowl XXXIX: Patriots"",
 24
 ],
 [
 ""Super Bowl XXXIX: Eagles"",
 21
 ],
 [
 ""Super Bowl XXXVIII: Patriots"",
 20
 ],
 [
 ""Super Bowl XXXVIII: Panthers"",
 29
 ],
 [
 ""Super Bowl XLIX: Patriots"",
 28
 ],
 [
 ""Super Bowl XLIX: Seahawks"",
 24
 ]
 ]
 }
 ]
};
 $(""#container"").highcharts(options);
});
}
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",258,2017-02-01,EA,0.005167349117385326
2,2017-05-09,Electronic Arts meets expectations  ,CNBC's Josh Lipton reports quarterly earnings from Electronic Arts.CNBC's Josh Lipton reports quarterly earnings from Electronic Arts.CNBC's Josh Lipton reports quarterly earnings from Electronic Arts.CNBC's Josh Lipton reports quarterly earnings from Electronic Arts.,191,2017-05-09,EA,-0.0029206237512705594
3,2017-05-19,Video game sales soar in April led by Nintendo's new console  ,"CNBC's Julia Boorstin reports on the video game stocks including Electronic Arts, Nintendo, and Blizzard.CNBC's Julia Boorstin reports on the video game stocks including Electronic Arts, Nintendo, and Blizzard.CNBC's Julia Boorstin reports on the video game stocks including Electronic Arts, Nintendo, and Blizzard.CNBC's Julia Boorstin reports on the video game stocks including Electronic Arts, Nintendo, and Blizzard.",183,2017-05-19,EA,-0.006617911090139776
4,2017-05-23,Cramer's charts take on video game companies  ,"Jim Cramer, with the help of chart master Bob Lang, examines how the fundamentals at video game companies such as Electronic Arts, Take-Two Interactive and Activision Blizzard are set up for a strong run.Jim Cramer, with the help of chart master Bob Lang, examines how the fundamentals at video game companies such as Electronic Arts, Take-Two Interactive and Activision Blizzard are set up for a strong run.Jim Cramer, with the help of chart master Bob Lang, examines how the fundamentals at video game companies such as Electronic Arts, Take-Two Interactive and Activision Blizzard are set up for a strong run.Jim Cramer, with the help of chart master Bob Lang, examines how the fundamentals at video game companies such as Electronic Arts, Take-Two Interactive and Activision Blizzard are set up for a strong run.",181,2017-05-23,EA,-0.00570378731260866
5,2017-06-12,Electronic Arts CEO on the shift to subscriptions and micro-transactions  ,"CNBC's Julia Boorstin talks to Electronic Arts CEO, Andrew Wilson, about his game plan for the company and new games to come.CNBC's Julia Boorstin talks to Electronic Arts CEO, Andrew Wilson, about his game plan for the company and new games to come.CNBC's Julia Boorstin talks to Electronic Arts CEO, Andrew Wilson, about his game plan for the company and new games to come.CNBC's Julia Boorstin talks to Electronic Arts CEO, Andrew Wilson, about his game plan for the company and new games to come.",168,2017-06-12,EA,0.014223434534126497
6,2017-07-27,Electronic Arts beats on top line  ,CNBC's Aditi Roy reports on the quarterly earnings for Electronic Arts.CNBC's Aditi Roy reports on the quarterly earnings for Electronic Arts.CNBC's Aditi Roy reports on the quarterly earnings for Electronic Arts.CNBC's Aditi Roy reports on the quarterly earnings for Electronic Arts.,136,2017-07-27,EA,0.003395589001138329
7,2017-09-22,"It's officially autumn, so here are four stock picks you could fall into  ","The “Fast Money” traders share their final trades for the day including Apple, Electronic Arts, JD.com and Wal-Mart.The “Fast Money” traders share their final trades for the day including Apple, Electronic Arts, JD.com and Wal-Mart.The “Fast Money” traders share their final trades for the day including Apple, Electronic Arts, JD.com and Wal-Mart.The “Fast Money” traders share their final trades for the day including Apple, Electronic Arts, JD.com and Wal-Mart.",96,2017-09-22,EA,-0.0040588589461631715
8,2017-10-18,Electronic Arts shares tumble on Star Wars game delay  ,"Getty Images
A man plays Star Wars Battlefront II on opening day of the Electronic Entertainment Expo (E3) at the Los Angeles Convention Center on June 13, 2017 in Los Angeles, California.
 Electronic Arts shares tumbled Wednesday after the game-maker announced it was postponing the release of a Star Wars action title.
 The company also said it was closing the studio that had been working on the game. It will push back the release date of the as-yet unnamed Star Wars action-adventure game, which had been slated for the fiscal-year 2019 starting in April.
The stock fell almost 3 percent Wednesday, to $112.39. The company confirmed press reports about the delayed timetable and studio closure after the market closed on Tuesday. The stock is still up more than 42 percent on the year. 
 Analysts at Atlantic Equities estimated the game would sell about 8 million copies.
""While disappointing, this is not a view changer,"" they wrote, citing the company's ability to generate sales off its existing portfolio. The analysts cut their fiscal year 2019 earnings per share estimate for the company by 2 percent, but they still project solid growth, particularly as its FIFA soccer game franchise appears set to get a boost from the World Cup.
Analysts at Wedbush kept an ""outperform"" rating on the company's stock, with a 12-month price target of $136.00. Analysts at KeyBanc Capital Markets issued a note saying they were not revising their estimates for the stock because of uncertainty around whether EA would move new titles to 2019 to compensate.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",78,2017-10-18,EA,0.024615016014928142
9,2017-10-31,Electronic Arts shares slip 3 percent after earnings release  Electronic Arts dips on after revenue in line with expectations  ,"show chapters
 Electronic Arts dips on after revenue in line with expectations   
 7:49  PM ET Tue, 31 Oct 2017 |  01:11 
 Electronic Arts reported quarterly revenue that met analysts' expectations on Tuesday.
 Here's how the company did compared with what Wall Street expected:
 Revenue: $1.18 billion vs. $1.18 billion expected according to Thomson Reuters consensus estimates.  
 For the full year, EA said it expects net bookings of $5.15 billion, as compared with Wall Street estimates of $5.20 billion. 
Shares slipped 3 percent in after-hours trading.
Net bookings came in at $1.18 billion, up from $1.10 billion a year ago. 
 Analysts expected a strong quarter with sustained momentum into fiscal year 2019, as EA expands into live and mobile game offerings.
CFO Blake Jorgensen said the company saw a marked shift to digital in the company's sports titles. 
""Our sports titles have once again shown their value in delivering a stable and dependable performance,"" Jorgensen said in a statement.
As one of the most established names in the gaming industry, EA stands poised to monopolize the growth in the industry if it can successfully move into new formats. 
As of its Tuesday close, the stock had gained more than 50 percent on the year. 
Analysts looked to the release of a second ""Star Wars"" action-adventure game, ""Star Wars: Battlefront II,"" to drive growth for fiscal year 2018.
Earlier this month, EA announced it would delay a separate Star Wars title because it would shutter the studio producing the game.
 This is breaking news. Please check back for updates. 
Correction: This story has been updated to reflect that EA delayed the release of a separate ""Star Wars"" game. An earlier version of this story misstated which title would be delayed. 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });CNBC's Aditi Roy reports on the quarterly earnings for Electronic Arts.CNBC's Aditi Roy reports on the quarterly earnings for Electronic Arts.CNBC's Aditi Roy reports on the quarterly earnings for Electronic Arts.CNBC's Aditi Roy reports on the quarterly earnings for Electronic Arts.",69,2017-10-31,EA,-0.017033888542422503
