,postDate,headline,articleHTML,Unnamed: 0,date,ticker,daily_change
0,2017-02-09,Expedia CEO's closing remark on earnings call: 'Hopefully we will all be alive to see the end of next year'  Expedia Q4 bookings miss estimates  Expedia CEO: We haven't seen impact of travel ban  ,"Matthew Lloyd | Bloomberg | Getty Images
Dara Khosrowshahi
 Expedia CEO Dara Khosrowshahi ended the travel company's fourth-quarter earnings call Thursday with a remark that had some people doing a double take.
 When the CEO was asked for closing remarks, he responded by thanking the company's global employee base for the improved performance in 2016 and then added, ""Hopefully we will all be alive to see the end of next year.""
CNBC reached out to Expedia for comment. A spokesman responded, ""We do not have anything additional to share.""
 Still, Khosrowshahi's comment did result in several tweets, including one that called him a ""Trump critic.""  
 Tweet
 Tweet
 Last month, the Iranian American businessman, who once was a refugee, tweeted a New York Times story about Expedia supporting a lawsuit against President Donald Trump's immigration ban. In his tweet, the CEO wrote: ""Standing up for our travelers and our immigrant roots.""
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });Earnings are out for Expedia. CNBC's Susan Li reports the details.Earnings are out for Expedia. CNBC's Susan Li reports the details.Earnings are out for Expedia. CNBC's Susan Li reports the details.Earnings are out for Expedia. CNBC's Susan Li reports the details.CNBC's Susan Li reports on the volatile after-hours action for Expedia. The ""Fast Money"" traders weigh in.CNBC's Susan Li reports on the volatile after-hours action for Expedia. The ""Fast Money"" traders weigh in.CNBC's Susan Li reports on the volatile after-hours action for Expedia. The ""Fast Money"" traders weigh in.CNBC's Susan Li reports on the volatile after-hours action for Expedia. The ""Fast Money"" traders weigh in.",252,2017-02-09,EXPE,-0.003332117350177873
1,2017-04-27,Expedia revenues beat $2.19B vs.$2.14B est.  ,CNBC's Susan Li reports Expedia's quarterly earnings.CNBC's Susan Li reports Expedia's quarterly earnings.CNBC's Susan Li reports Expedia's quarterly earnings.CNBC's Susan Li reports Expedia's quarterly earnings.,199,2017-04-27,EXPE,-0.0033094349013671424
2,2017-04-28,"Expedia CEO attributes earnings miss to Easter timing; terrorism and Trump didn't help  Expedia CEO on earnings, travel industry  ","show chapters
 Expedia CEO on earnings, travel industry   
 10:40  AM ET Fri, 28 April 2017 |  04:51 
 Timing was a major factor in Expedia's first-quarter earnings miss, CEO Dara Khosrowshahi told CNBC on Friday.
 ""The biggest issue there was Easter. ... Last year, Easter was in the first quarter. This year Easter is in the second quarter,"" he said on Squawk on the Street."" ""Stays came in lower, but it was purely due to a timing shift. When you look at the booking volume of the business, it's growing at very, very healthy levels and continues to accelerate.""
Expedia shares were dropping about 2 percent in midday trading on Friday.
 The online travel company reported, after the bell Thursday, first-quarter earnings of 5 cents per share, a penny shy of estimates. It did, however, beat expectations with $2.19 billion in revenue.
Expedia also reported gross bookings, a key metric, were up 14 percent year over year. But its marketing expenses also rose, up 22 percent year over year.
In addition to the Easter timing, Khosrowshahi said terrorism had a somewhat negative impact on travel. ""We saw London growth get a little bit weaker after the Westminster tragedy over there, but it seems to be coming back.""
The Expedia CEO said there have been ""spot disruptions"" among some of its partners as a result of President Donald Trump's travel ban, which has been put on hold by the courts.
In fact, ""the biggest issue that we see has to do with currency,"" he said, noting the weaker euro aided the amount of travel from the United States to Europe. ""The macro — which is more and more people are traveling, more people are coming online, and more people are using their phone to book travel — that remains a pretty significant tailwind for us.""
Khosrowshahi ended Expedia's fourth-quarter earnings call in February by saying, ""Hopefully we will all be alive to see the end of next year."" The company refused to elaborate at the time.
On Friday,  Khosrowshahi spoke about Trump's administration, telling CNBC, ""I think 100 days is early, you know. We took action, and we spoke when travel ... [felt] threatened and our travelers were thrown off by the travel ban, so we took a position there."" But he added, ""We want the U.S. to succeed. We want this president to succeed because he's the leader of our country.""
In January, the Iranian-American businessman, who once was a refugee, tweeted a New York Times story about Expedia supporting a lawsuit against the Trump immigration ban.
 ""Standing up for our travelers and our immigrant roots.""
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });Dara Khosrowshahi, Expedia CEO, discusses the online travel company's quarterly earnings, its Trivago business and the Trump effect on travel.Dara Khosrowshahi, Expedia CEO, discusses the online travel company's quarterly earnings, its Trivago business and the Trump effect on travel.Dara Khosrowshahi, Expedia CEO, discusses the online travel company's quarterly earnings, its Trivago business and the Trump effect on travel.Dara Khosrowshahi, Expedia CEO, discusses the online travel company's quarterly earnings, its Trivago business and the Trump effect on travel.",198,2017-04-28,EXPE,0.018376332163514024
3,2017-05-24,The Philippines is experiencing the biggest growth in demand among SEA travelers: Expedia  ,"The Philippines is experiencing some of the largest volumes of increased demand from Southeast Asian travelers this summer, according to online travel platform Expedia.
 Mohd Rasfan | AFP | Getty Images 
Filipinos take pictures during sunset in Manila, the Philippines on April 26, 2017.
 Travel bookings to Cebu, famed for its white sandy beaches, for the June to August period this year increased by more than double compared to one year ago. Meanwhile, demand for travel to Manila and Kalibo rose by close to double on year, exclusive data from Expedia showed.
Reasons for the growth in travel demand to the Philippines are twofold, Expedia Asia CEO Jonty Neal told CNBC.
 From a supply perspective, travel destinations like Cebu have become more accessible for travelers in the region due to the increase in capacity of direct flights from low cost carriers, Neal said, citing budget airlines such as Cebu Pacific.
On the demand side of the equation, the travel preferences of millennials are taking hold.
""Millennials look for value and have a sense of adventure. They're stepping away from (the usual tourist hot-spots like) cities and beaches and going more regional,"" Neal said.
 Bruno Barbier | Getty Images 
Nalusuan Marine Sanctuary, Cebu, the Philippines.
 Cheaper costs of travel have also contributed to the rise in travel demand to the Philippines. Airfares to Cebu have fallen by 50 percent while it now costs 30 percent cheaper to travel to Manila on year, data from Expedia showed.
This was due in part to the rise in low cost carriers and the weaker Philippine peso. The peso is 7 percent weaker against the dollar compared to a year ago. It hit a decade-year low earlier this year.
The growth in the popularity of the Philippines as a travel destination takes place against rising concerns over militant groups in the country. Members of the Abu Sayaff group clashed with police in Bohol, a popular resort island, last month. Philippine President Rodrigo Duterte later declared martial law on Mindanao on May 24, 2017, in response to outbreaks of violence in the city of Marawi.
Still, the developments did not make a dent in Expedia's data, which tracked bookings made during the first quarter of 2017 for the June to August holiday period.
Neal also said he was was confident about the future of online travel for the region as a whole.
""There is stronger growth for online travel in Southeast Asia. There are a lot of options right on the doorstep (of Southeast Asian travelers)."" 
That growth fits into the wider of trend of the boom in online travel in the region — Asia is set to overtake the U.S. in digital travel sales this year.
Data from Expedia also reflected that the ten most popular destinations in Asia among Southeast Asian travelers remained crowd favorites, such as Hong Kong and Tokyo:
 Hong Kong Tokyo (Japan) Bangkok (Thailand) Denpasar (Indonesia) Singapore Taipei (Taiwan) Phuket (Thailand) Seoul (South Korea) Manila (The Philippines) Koh Samui (Thailand) 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",180,2017-05-24,EXPE,-0.007825094075245679
4,2017-07-12,Barry Diller on Trump: Hopefully will be over soon  ,"CNBC's Julia Boorstin speaks with Barry Diller, chairman of IAC and Expedia, about President Trump's agenda and how the administration's policies will impact his company, at the Sun Valley conference.CNBC's Julia Boorstin speaks with Barry Diller, chairman of IAC and Expedia, about President Trump's agenda and how the administration's policies will impact his company, at the Sun Valley conference.CNBC's Julia Boorstin speaks with Barry Diller, chairman of IAC and Expedia, about President Trump's agenda and how the administration's policies will impact his company, at the Sun Valley conference.CNBC's Julia Boorstin speaks with Barry Diller, chairman of IAC and Expedia, about President Trump's agenda and how the administration's policies will impact his company, at the Sun Valley conference.",147,2017-07-12,EXPE,-0.015879650869726127
5,2017-07-14,Expert travel  ,"While do-it-yourself booking has skyrocketed in the era of Expedia and Kayak, trips to an exotic locale or the logistics skills of a family reunion trip could require an expert. We ask Travel + Leisure’s Jacqui Gifford when the wisdom of a travel agent could be valuable.While do-it-yourself booking has skyrocketed in the era of Expedia and Kayak, trips to an exotic locale or the logistics skills of a family reunion trip could require an expert. We ask Travel + Leisure’s Jacqui Gifford when the wisdom of a travel agent could be valuable.While do-it-yourself booking has skyrocketed in the era of Expedia and Kayak, trips to an exotic locale or the logistics skills of a family reunion trip could require an expert. We ask Travel + Leisure’s Jacqui Gifford when the wisdom of a travel agent could be valuable.While do-it-yourself booking has skyrocketed in the era of Expedia and Kayak, trips to an exotic locale or the logistics skills of a family reunion trip could require an expert. We ask Travel + Leisure’s Jacqui Gifford when the wisdom of a travel agent could be valuable.",145,2017-07-14,EXPE,-0.008271776737231219
6,2017-07-27,Expedia beats on top line  ,CNBC's Susan Li reports on quarterly earnings for Expedia.CNBC's Susan Li reports on quarterly earnings for Expedia.CNBC's Susan Li reports on quarterly earnings for Expedia.CNBC's Susan Li reports on quarterly earnings for Expedia.,136,2017-07-27,EXPE,0.017288903913829902
7,2017-07-28,Expedia CEO: We're moving from a 'society of stuff' to a 'society of experiences'  ,Expedia CEO Dara Khosrowshahi discusses the travel company’s latest earnings report and lays out his outlook for the rest of the year.Expedia CEO Dara Khosrowshahi discusses the travel company’s latest earnings report and lays out his outlook for the rest of the year.Expedia CEO Dara Khosrowshahi discusses the travel company’s latest earnings report and lays out his outlook for the rest of the year.Expedia CEO Dara Khosrowshahi discusses the travel company’s latest earnings report and lays out his outlook for the rest of the year.,135,2017-07-28,EXPE,-0.03346925943940207
8,2017-08-02,"Why being company founders helped Bill Gates, Jeff Bezos and Reed Hastings succeed as CEOs  ","What if Bill Gates laughed at your start-up idea?
 That's exactly what happened to former Microsoft product manager and entrepreneur Rich Barton in the 1990s when he pitched beginning his own company outside Microsoft. 
But Gates had a different plan. Looking ahead at the risks Barton could face, Gates allowed him to bring his company idea to life within Microsoft. That start-up eventually became the billion-dollar online travel company Expedia.
 Gates possessed the one key characteristic that Barton says makes him, Jeff Bezos, Reed Hastings, Mark Zuckerberg and the late Steve Jobs the greatest kind of CEO: He's the company founder.
 show chapters
 The lessons from Bill Gates’ Harvard address Mark Zuckerberg should steal   
 12:08  PM ET Wed,  8 March 2017 |  01:05 
 In the latest episode of Bloomberg View columnist Barry Ritholtz's podcast ""Masters in Business,"" Ritholtz interviews Barton about his successful start-up companies, such as real estate app Zillow and jobs site Glassdoor.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.gptloaded=mps._queue.gptloaded||[];
 mps._queue.gptloaded.push(function() {
 (mps && mps.insertAd && mps.insertAd('#dart_wrapper_responsiverectangle', 'responsiverectangle'));	
 });
 Barton tells Ritholtz he focuses on CEOs who founded and still run the company. ""There are terrific professional management CEOs that come in later, there's no question,"" Barton tells Ritholtz. ""But a professional CEO never quite has the credibility of the founder.""
Gates, along with later-Microsoft CEO Steve Ballmer, became Barton's first venture capitalists. Gates gave Barton a budget, the freedom to hire ""the most entrepreneurial people"" at the company to grow Expedia internally and the chance to make it its own company.
Unlike CEOs who later take over companies, founders ""have the license"" to make billion-dollar investment risks, Barton says. 
 show chapters
 This is the top lesson from Bill Gates and Warren Buffett's favorite business book   
 7:00  AM ET Mon,  3 April 2017 |  00:59 
 Barton explains that chief executives who later take over usually aren't ""able to really think long-term"" and consider their employees and investors ""along for the long ride.""
Take Netflix for example, for which Barton sits on the board of directors.
Barton got dinner with Netflix founder and CEO Reed Hastings about 15 years ago, soon before the DVD-mailing service went public. Barton, one of the few web-savvy guys Hastings brought onto the board, thought the service was ""cool"" but saw no future in DVDs. Barton proclaimed it would die.
Yet, he recalls Hasting's confident, foreshadowing reply: ""We didn't name it 'DVD-by-mail-flix', Rich. We named it Netflix.""
""He is a visionary, long-term guy,"" Barton says. ""There are very few people who can do this.""
Don't miss:Thinx just got a new CEO. Here's what she wants to accomplish in her role The 10 best cities for getting a job in tech beyond Silicon Valley
 Like this story? Like CNBC Make It on Facebook. 
 show chapters
 When Elon Musk had an existential crisis at age 14, he read this book   
 10:45  AM ET Tue,  6 June 2017 |  00:52 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",132,2017-08-02,EXPE,-0.0028775116316959765
9,2017-08-16,Here are SunTrust's favorite new internet stock picks for the next year ,"Fabrizio Bensch | Retuers
Visitors browse at the display of Expedia during the International Tourism Trade Fair in Berlin.
 SunTrust shared with its clients the firm's best current internet stock picks over the next 12 to 18 months and initiated coverage on big names, including Facebook, Alphabet, and Expedia.
 ""As we look out to the rest of 2017 and 2018, we believe that value will continue to accrue to larger, stronger player, and to differentiated, attractively priced SMID [small- and mid-cap equities],"" wrote analyst Naved Khan. ""As such, we favor high-quality names with identifiable catalysts at reasonable prices.""
Each pick and price target is based on a 12- to 18-month time horizon and represents a peek at the analysts' thinking.
 Here are four internet companies that made SunTrust's recommended list and their price targets.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",122,2017-08-16,EXPE,-0.0116280379951191
