,postDate,headline,articleHTML,Unnamed: 0,date,ticker,daily_change
0,2017-05-11,Equity valuations not that much of a concern: JPM  ,"Stephen Macklow-Smith, head of Europe equity strategy at JP Morgan Asset Management, and Willem Buiter, chief economist at Citi, discuss earnings growth.Stephen Macklow-Smith, head of Europe equity strategy at JP Morgan Asset Management, and Willem Buiter, chief economist at Citi, discuss earnings growth.Stephen Macklow-Smith, head of Europe equity strategy at JP Morgan Asset Management, and Willem Buiter, chief economist at Citi, discuss earnings growth.Stephen Macklow-Smith, head of Europe equity strategy at JP Morgan Asset Management, and Willem Buiter, chief economist at Citi, discuss earnings growth.",189,2017-05-11,JPM,0.003092963116380597
1,2017-05-12,Citi joins roster of banks investing in Axoni blockchain start-up  2018 mid-term election will be all about US economy: Pro  Investors are underpricing risk in ASEAN: Expert  ,"Mario Tama | Getty Images
 Citi has joined JP Morgan, Goldman Sachs and others in a Series A funding round for distributed ledger technology (DLT) start-up Axoni.
 The New York-based capital markets focused firm now has over $20 million from investors including Wells Fargo, NEX Group, Thomson Reuters, F-Prime Capital and Digital Currency Group (DCG), among others, who contributed to the funding round in December. Series A is the first significant round of venture capital funding.
Axoni is involved in some trials of DLT, also known as blockchain technology, in the financial markets where its technology is being tested for trade affirmations in the reference data arena and in the over-the-counter (OTC) equity swaps post-trade lifecycle operational segment.
 This later project was announced in January. It involves Citi and other major Wall Street banks in a collective effort to overhaul the Depository Trust & Clearing Corporation (DTCC) Trade Information Warehouse (TIW) using DLT. All the major banks use the warehouse.
Commenting on the latest Series A funding from Citi, Greg Schvey, CEO of Axoni, said in a statement that: ""Having the support and domain expertise of such a world-class institution will allow us to execute our vision even more broadly and rapidly. We are delighted to have Citi join Axoni's investor group.""
Follow CNBC International on Twitter and Facebook. 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });The results of the upcoming mid-term election stateside will depend on Trump's ability to generate growth, says James Sullivan, JP Morgan.The results of the upcoming mid-term election stateside will depend on Trump's ability to generate growth, says James Sullivan, JP Morgan.The results of the upcoming mid-term election stateside will depend on Trump's ability to generate growth, says James Sullivan, JP Morgan.The results of the upcoming mid-term election stateside will depend on Trump's ability to generate growth, says James Sullivan, JP Morgan.James Sullivan, JP Morgan, weighs in on how markets could be complacent about political risk in emerging markets. James Sullivan, JP Morgan, weighs in on how markets could be complacent about political risk in emerging markets. James Sullivan, JP Morgan, weighs in on how markets could be complacent about political risk in emerging markets. James Sullivan, JP Morgan, weighs in on how markets could be complacent about political risk in emerging markets. ",188,2017-05-12,JPM,0.0027573546881901395
2,2017-05-16,LevelUp mobile app gets $50 million in latest fintech fundraising round  ,"Zhang Peng | LightRocket | Getty Images
 LevelUp, a U.S. mobile app financial technology (fintech) firm, has raised $50 million in finance from long-term investors JP Morgan Chase and U.S. Boston Capital and from newcomer CentroCredit Bank. Its latest fundraising round brings the total raised by the start-up so far to just over $85m.
 The corporate offers its one million app users a month a range of loyalty rewards, analytics and payment options from partner restaurants, merchants and banks, including brands like sweetgreen, Tropical Smoothie Cafe, Potbelly Sandwich Shop, and nearly 200 other restaurants across the U.S.
Its technology is used to power aspects of the Chase Pay mobile payments app, particularly the in-store loyalty and rewards programs and the order-ahead payment options offered by merchants that have signed up with LevelUp.
 Partners can use its technology on a white-labeled basis to offer new loyalty, customer engagement, transaction and other functionality to their end users.
The new money raised will be spent on hiring new staff, product development and further expansion across the U.S.
Existing investors include Google Ventures, Highland Capital, Balderton Capital and Continental Advisors which is led by Phil Purcell, the founder of Discover Card. The first money used to establish the business came from the Princeton Business Plan Competition, which LevelUp founder Seth Priebatsch won during his freshman year.
LevelUp then entered an incubator, Dreamit Ventures, to develop the business further with the help of mentors and seed investors, and is now entering the latter stages of venture fundraising as it attempts to scale up.
""LevelUp has grown rapidly over the last several years and this funding sets us up to accelerate our growth this year and next,"" said Priebatsch. ""We're thrilled to have the continued support of our existing investors including Chase and U.S. Boston, and great new partners like CentroCredit Bank."" 
Follow CNBC International on Twitter and Facebook. 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",186,2017-05-16,JPM,-0.003086598620857491
3,2017-05-25,JP Morgan says buy Calvin Klein owner PVH on retailer's international potential  ,JPMorgan equity research analyst Matthew Boss discusses his bullish call on PVH Corp. and its growth in the global retail market.JPMorgan equity research analyst Matthew Boss discusses his bullish call on PVH Corp. and its growth in the global retail market.JPMorgan equity research analyst Matthew Boss discusses his bullish call on PVH Corp. and its growth in the global retail market.JPMorgan equity research analyst Matthew Boss discusses his bullish call on PVH Corp. and its growth in the global retail market.,179,2017-05-25,JPM,0.004209055670341835
4,2017-06-14,Preference for euro zone equities: JP Morgan Private Bank  How a view on China impacts positioning on European stocks  ,"Julien Lafargue, vice president for European equity strategies at JP Morgan Private Bank, and Bob Janjuah, senior independent client adviser at Nomura, discuss investment strategies.Julien Lafargue, vice president for European equity strategies at JP Morgan Private Bank, and Bob Janjuah, senior independent client adviser at Nomura, discuss investment strategies.Julien Lafargue, vice president for European equity strategies at JP Morgan Private Bank, and Bob Janjuah, senior independent client adviser at Nomura, discuss investment strategies.Julien Lafargue, vice president for European equity strategies at JP Morgan Private Bank, and Bob Janjuah, senior independent client adviser at Nomura, discuss investment strategies.Bob Janjuah, senior independent client adviser at Nomura, and Julien Lafargue, vice president for European equity strategies at JP Morgan Private Bank, speak about the Chinese and European economies.Bob Janjuah, senior independent client adviser at Nomura, and Julien Lafargue, vice president for European equity strategies at JP Morgan Private Bank, speak about the Chinese and European economies.Bob Janjuah, senior independent client adviser at Nomura, and Julien Lafargue, vice president for European equity strategies at JP Morgan Private Bank, speak about the Chinese and European economies.Bob Janjuah, senior independent client adviser at Nomura, and Julien Lafargue, vice president for European equity strategies at JP Morgan Private Bank, speak about the Chinese and European economies.",166,2017-06-14,JPM,0.0020646944705715697
5,2017-06-26,JP Morgan's Jamie Dimon and ex-Uber CEO Travis Kalanick catch up in DC  JP Morgan's Jamie Dimon and ex-Uber CEO Travis Kalanick meet in DC  JP Morgan on the challenges facing European banks  ,"CNBC's Seema Mody reports on JP Morgan CEO Jamie Dimon and former Uber CEO Travis Kalanick meeting in Washington, DC, on Monday 
CNBC's Seema Mody reports on JP Morgan CEO Jamie Dimon and former Uber CEO Travis Kalanick meeting in Washington, DC, on Monday 
CNBC's Seema Mody reports on JP Morgan CEO Jamie Dimon and former Uber CEO Travis Kalanick meeting in Washington, DC, on Monday 
CNBC's Seema Mody reports on JP Morgan CEO Jamie Dimon and former Uber CEO Travis Kalanick meeting in Washington, DC, on Monday 
Raw video captures the meeting on Monday between JP Morgan CEO Jamie Dimon and former Uber CEO Travis Kalanick in Washington, D.C.Raw video captures the meeting on Monday between JP Morgan CEO Jamie Dimon and former Uber CEO Travis Kalanick in Washington, D.C.Raw video captures the meeting on Monday between JP Morgan CEO Jamie Dimon and former Uber CEO Travis Kalanick in Washington, D.C.Raw video captures the meeting on Monday between JP Morgan CEO Jamie Dimon and former Uber CEO Travis Kalanick in Washington, D.C.Kian Abouhossein, head of EMEA banking research at JP Morgan, talks about the state of Europe’s banks, in light of the bailout news coming out of Italy.
Kian Abouhossein, head of EMEA banking research at JP Morgan, talks about the state of Europe’s banks, in light of the bailout news coming out of Italy.
Kian Abouhossein, head of EMEA banking research at JP Morgan, talks about the state of Europe’s banks, in light of the bailout news coming out of Italy.
Kian Abouhossein, head of EMEA banking research at JP Morgan, talks about the state of Europe’s banks, in light of the bailout news coming out of Italy.
",158,2017-06-26,JPM,-0.004365314226752438
6,2017-06-30,European markets will see 'slight pullback' in the-near term: Market strategist  'Pretty healthy to have a little bit of volatility over the summer': Market strategist  ,"European markets will see a 'slight pullback' in the near-term, an analyst for JP Morgan has said.European markets will see a 'slight pullback' in the near-term, an analyst for JP Morgan has said.European markets will see a 'slight pullback' in the near-term, an analyst for JP Morgan has said.European markets will see a 'slight pullback' in the near-term, an analyst for JP Morgan has said.""It's pretty healthy to have a little bit of volatility over the summer,"" an analyst for JP Morgan has said.""It's pretty healthy to have a little bit of volatility over the summer,"" an analyst for JP Morgan has said.""It's pretty healthy to have a little bit of volatility over the summer,"" an analyst for JP Morgan has said.""It's pretty healthy to have a little bit of volatility over the summer,"" an analyst for JP Morgan has said.",154,2017-06-30,JPM,-0.002738977335432239
7,2017-07-03,This is what Americans are willing to sacrifice 20% of their salary for  How the oil price is impacting the wider global economy  European equities are still the right place to be: JPMAM  ,"The security that comes from getting a set amount of money on a regular schedule is so attractive to Americans that they are willing to sacrifice up to 20 percent of their salary for it. And yet that stability is as elusive as it is alluring.
 A national average of 55 percent of Americans experience serious income fluctuations month to month, according to new research from JP Morgan Chase & Co., meaning that what workers bring in can vary by over 30 percent. And, their experts report, ""the typical household"" isn't set up to ""weather this volatility.""
That's stressful, since not knowing how much money you're going to earn in any particular pay period makes it hard to budget. Yet given the vagaries of the gig economy and the fact that even some corporate employers make a habit of tweaking or announcing schedules at the last minute, it can be hard to know how much you're actually going to be able to bring in. 
 No wonder so many Americans are living paycheck-to-paycheck.
 Young people and lower-income workers are particularly vulnerable, since 70 and 74 percent of them, respectively, are forced to cope with this kind of income volatility. The New York Times reports that ""virtually every major retail and restaurant chain"" puts their workers through some version of this, since tech advances make it possible and also because ""managers are often compensated based on the efficiency of their staffing.""
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.gptloaded=mps._queue.gptloaded||[];
 mps._queue.gptloaded.push(function() {
 (mps && mps.insertAd && mps.insertAd('#dart_wrapper_responsiverectangle', 'responsiverectangle'));	
 });
 But almost all Americans are affected, JP Morgan reports, noting that ""the decline in real wages since 2009 for all income groups except the top 5th percentile means that life is harder to afford in general, but even more so when earnings dip below average.""
According to their findings, ""median income individuals experienced nearly $500 in labor income fluctuations across months, with spikes in earnings larger but less frequent than dips.""
Transitioning from one job to another, as four out of ten of those surveyed did in a year, leads to shifts in pay, but even a seemingly stable job is often at fault: ""Most of the month-to-month volatility in take-home pay (86 percent) came from variation in pay within distinct jobs.""
The New York Times concurs, reporting that ""a new wave of research shows that the main culprit is not the so-called gig economy, but shifting pay within the same job,"" and adding that ""turbulence has replaced the traditional American narrative of steady financial progress over a lifetime."" 
As a result, according to the Times, ""stability is worth a lot to workers. On average, employees are willing to  give up a fifth of their weekly wage to avoid a schedule set by an employer on a week's notice.""
Experts encourage everyone to keep three-to-six months' worth of expenses in an emergency fund to cope with an accident, crisis or layoff, and former CNBC host Suze Orman suggests you aim to put away enough to support yourself for about a year. Unfortunately, most Americans aren't able to meet that goal: The majority of them have under $1,000 saved, total. Half of all workers in the U.S. have nothing put away for retirement.
To help create that kind of buffer for yourself, JP Morgan suggests that ""key, predictable savings opportunities include December to March pay spikes, five-Friday months for individuals with jobs that pay every two weeks or weekly, and tax season for those who receive tax refunds."" Those are all good chances to squirrel away extra cash. 
 Like this story? Like CNBC Make It on Facebook. 
Don't miss: Here's how much money Americans think you need to be middle class
 show chapters
 Think you're middle class? You might be wrong   
 1:08  PM ET Thu, 29 June 2017 |  00:49 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });Talib Sheikh, multi-asset portfolio manager at JP Morgan Asset Management, and Paul Donovan, global economist and managing director at UBS Wealth Management discuss commodities.Talib Sheikh, multi-asset portfolio manager at JP Morgan Asset Management, and Paul Donovan, global economist and managing director at UBS Wealth Management discuss commodities.Talib Sheikh, multi-asset portfolio manager at JP Morgan Asset Management, and Paul Donovan, global economist and managing director at UBS Wealth Management discuss commodities.Talib Sheikh, multi-asset portfolio manager at JP Morgan Asset Management, and Paul Donovan, global economist and managing director at UBS Wealth Management discuss commodities.Talib Sheikh, multi-asset portfolio manager at JP Morgan Asset Management, and Paul Donovan, global economist and managing director at UBS Wealth Management, discuss investing in Europe.Talib Sheikh, multi-asset portfolio manager at JP Morgan Asset Management, and Paul Donovan, global economist and managing director at UBS Wealth Management, discuss investing in Europe.Talib Sheikh, multi-asset portfolio manager at JP Morgan Asset Management, and Paul Donovan, global economist and managing director at UBS Wealth Management, discuss investing in Europe.Talib Sheikh, multi-asset portfolio manager at JP Morgan Asset Management, and Paul Donovan, global economist and managing director at UBS Wealth Management, discuss investing in Europe.",153,2017-07-03,JPM,-0.01466222302744016
8,2017-07-21,Europe set to catch up after decade of under-performing: JP Morgan  ,"Stephen Macklow Smith, head of European equity strategy at JP Morgan Asset Management, talks market strategy with comment on European equities versus the U.S.
Stephen Macklow Smith, head of European equity strategy at JP Morgan Asset Management, talks market strategy with comment on European equities versus the U.S.
Stephen Macklow Smith, head of European equity strategy at JP Morgan Asset Management, talks market strategy with comment on European equities versus the U.S.
Stephen Macklow Smith, head of European equity strategy at JP Morgan Asset Management, talks market strategy with comment on European equities versus the U.S.
",140,2017-07-21,JPM,0.0034049129496067677
9,2017-07-25,Why UK equities might be the best ship to sail through Brexit  ,"Justin Tallis | AFP | Getty Images
A Union Jack flag flies near the Elizabeth Tower, commonly referred to as Big Ben, at the Houses of Parliament in central London, U.K., on March 29, 2017.
 The FTSE 100 might be your best investment option amid growing domestic volatility in the U.K. economy, analysts at JP Morgan said.
 There are three reasons increasing the attractiveness of U.K. stocks: global valuations are too high, U.K. valuations are cheap and they're affected by global growth, which looks solid at the moment.
""Despite popular skittishness, U.K. valuations actually look very good,"" James Illsley, fund manager at JP Morgan U.K. Equity Core fund, said in a note to investors.
 ""The market itself is cheap. Valuations are actually about 20 percent below long-term averages, on a cyclically adjusted price-to-earnings ratio. And more importantly in practical terms, U.K. equities look a relative bargain compared to cash that yields virtually nothing and bonds that are yielding less than 1 percent,"" Illsley pointed out, adding that the average dividend yield is about 4 percent.
 show chapters
 Are UK stocks a bargain?   
 10:05  PM ET Thu,  8 June 2017 |  01:20 
 The FTSE 100 registered its biggest daily gain since April in mid-July. In May, the index broke two new highs surpassing the 7,500 mark on a weaker pound. The drop in the currency has supported British stocks, given that in most cases these companies make their profits in dollars.
As a result, U.K. stocks are mostly affected by global growth dynamics rather than by the British economy, which has been volatile due to the uncertainty surrounding its future relationship with the European Union.
The International Monetary Fund revised downwards its growth forecasts for the U.K. whereas it kept its global outlook unchanged. The IMF said Monday that the U.K. is set to grow 1.7 percent in 2017 and 1.5 percent in 2018.
Meanwhile, the global economy is seen increasing by 3.5 percent this year and by 3.6 percent in 2018.
According to Illsley, the attractiveness of U.K. equities should therefore remain intact. ""In terms of valuations I can't see the case being eroded,"" he told CNBC Tuesday. ""Asset classes might change, but from a valuation perspective the scenario remains the same.""
He preferred not making forecasts on a sectorial basis, given their volatility to different macro-economic scenarios, but said that stocks like the Bank of Georgia are a good opportunity. The bank is listed in the U.K. but has no exposure to the U.K. economy and is currently benefiting from a fast growing performance in the Georgian economy.
 Follow CNBC International on Twitter and Facebook. 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",138,2017-07-25,JPM,-0.016514934238334642
