,postDate,headline,articleHTML,Unnamed: 0,date,ticker,daily_change
0,2017-03-24,Micron hitting a multi-year high  ,"Only one component in the CNBC IQ 100 hit a multi-year high today, March 24, 2017. Only one component in the CNBC IQ 100 hit a multi-year high today, March 24, 2017. Only one component in the CNBC IQ 100 hit a multi-year high today, March 24, 2017. Only one component in the CNBC IQ 100 hit a multi-year high today, March 24, 2017. ",222,2017-03-24,MU,-0.07143290942389853
1,2017-04-19,Cramer checks out one hot tech sector's charts to see whether 3 big winners have more room to run  Cramer takes to the charts to track the semiconductors' turnaround  Charting the semiconductors' turnaround  ,"show chapters
 Charting the semiconductors' turnaround   
 7:30  PM ET Wed, 19 April 2017 |  02:27 
 As semiconductor stocks rally off supplier Lam Research's strongearnings report, Jim Cramer took to the charts of three major chipmakers for a closer look at the sector's big winners.
 The ""Mad Money"" host turned to Strategic Portfolio Solutions' Suz Smith for her take on the daily charts of Microchip Technology, Micron, and Advanced Micro Devices, three high-performing semiconductor plays.
Smith's favorite name in the space is Microchip, which makes microcontrollers for various devices.
 ""In the case of Microchip, Smith says we're dealing with a stock that has very strong institutional ownership. In other words, Microchip is almost an anointed winner at this point given this trajectory, even if we haven't talked about it that much on the show,"" Cramer said.
 According to Smith, Microchip's daily chart showed the stock, which trades around $74, making bullish moves that indicate it could go higher in the near term.
One such move was illustrated by a technical indicator called the full stochastic oscillator, which shows when a stock is overbought or oversold. As it moves higher, it sends a buy signal, Cramer said.
Another was in the moving average convergence divergence, or MACD, indicator, which tracks a stock's trajectory before it happens. The black line on the chart crossing above the red line means a positive push upward could be in store for Microchip's stock.
""If Microchip Technology can clear its near-term ceiling at $75, which is only a few cents above where the stock is currently trading, ... then Smith believes it can make its way to $86 in the not-too-distant future,"" Cramer said, adding that its upcoming earnings report could be the catalyst.
The daily chart of Micron, which manufactures DRAMs, flash memory chips, and other commodity products, also showed the stock gearing up for a serious rally.
""Eventually, Micron's end markets will go bust as they get flooded with new supply and pricing comes down, ... but for the moment, it's still very much in boom mode and that could last quite a while before this move runs out of juice,"" Cramer said.
Not only did the stochastic oscillator show Micron coming out of being grossly oversold — a classic buy signal — but the Williams percent R oscillator, another tool measuring overbought and oversold conditions, indicated a possible move higher out of oversold territory.
""Perhaps best of all, Smith notes that Micron has a floor of support at $25.84, about a buck and a half below where it's currently trading, which makes this a low-risk entry point, as she believes Micron could have smooth sailing ... to the $34 level,"" Cramer said.
Finally, the chart of Advanced Micro Devices, the best performing semiconductor stock of 2016, showed the stock settling above its March lows and the selling volume decreasing. Like in the others, indicators showed the stock turning up out of oversold territory as well.
""My one concern is that AMD reports on May 1st, and while this company has given us a miraculous turnaround — I mean, just incredible — a less-than-perfect quarter might throw this whole story out of kilter,"" Cramer said.
Cramer's bottom line is that Lam Research did wonders to lift the semiconductors with its earnings report and signaled that their products are in high demand.
""And the charts, as interpreted by Suz Smith, suggest that Microchip Technology, Micron, and AMD are all worth buying,"" the ""Mad Money"" host concluded.
Watch the full segment here:
 show chapters
 Cramer takes to the charts to track the semiconductors' turnaround   
 6:43  PM ET Wed, 19 April 2017 |  09:11 
 Questions for Cramer? Call Cramer: 1-800-743-CNBC
Want to take a deep dive into Cramer's world? Hit him up! Mad Money Twitter -  Jim Cramer Twitter - Facebook - Instagram - Vine
Questions, comments, suggestions for the ""Mad Money"" website? madcap@cnbc.com
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });Jim Cramer looked at the daily charts of Microchip Technology, Micron, and AMD to verify their strength.Jim Cramer looked at the daily charts of Microchip Technology, Micron, and AMD to verify their strength.Jim Cramer looked at the daily charts of Microchip Technology, Micron, and AMD to verify their strength.Jim Cramer looked at the daily charts of Microchip Technology, Micron, and AMD to verify their strength.Jim Cramer looked at the daily charts of Microchip Technology, Micron, and AMD to verify their strength.Jim Cramer looked at the daily charts of Microchip Technology, Micron, and AMD to verify their strength.Jim Cramer looked at the daily charts of Microchip Technology, Micron, and AMD to verify their strength.Jim Cramer looked at the daily charts of Microchip Technology, Micron, and AMD to verify their strength.",205,2017-04-19,MU,-0.00441177186166356
2,2017-05-02,Four CNBC IQ 100 components are down big today  ,"Several components in the IQ 100, including Advanced Micro Devices, General Motors, Pfizer and Micron Technology are getting hit hard today.Several components in the IQ 100, including Advanced Micro Devices, General Motors, Pfizer and Micron Technology are getting hit hard today.Several components in the IQ 100, including Advanced Micro Devices, General Motors, Pfizer and Micron Technology are getting hit hard today.Several components in the IQ 100, including Advanced Micro Devices, General Motors, Pfizer and Micron Technology are getting hit hard today.",196,2017-05-02,MU,0.018552083994767696
3,2017-05-26,A chip & energy stock moving in the options market  ,Jon Najarian spots unusual options activity in Micron and Range Resources.Jon Najarian spots unusual options activity in Micron and Range Resources.Jon Najarian spots unusual options activity in Micron and Range Resources.Jon Najarian spots unusual options activity in Micron and Range Resources.,178,2017-05-26,MU,-0.011150647719509727
4,2017-05-31,"Buy hot chip stock Micron on rising flash memory pricing, analyst says ","Kai Pfaffenbach | Reuters
 Investors should buy Micron Technology shares because higher memory product pricing will lead to strong results later this year, according to Mizuho Securities, which reiterated its buy rating on the chipmaker.""Storage SSD [solid-state drive] pricing [is] continuing to trend up, mirroring underlying NAND tightness and creating a tail wind for MU,"" analyst Vijay Rakesh wrote in a note to clients Tuesday. ""We believe strong memory and storage trends in SSD, DRAM/NAND positions MU … well into 2H [second half of the year].""Micron shares are up 40 percent this year through Tuesday compared with the S&P 500's 8 percent return.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",176,2017-05-31,MU,-0.0022775347407989967
5,2017-06-02,Cramer's lightning round: I'm blessing this chipmaker for a quick trade  ,"It's that time again! Jim Cramer rang the lightning round bell, which means he gave his take on callers' favorite stocks at rapid speed:
 Micron: ""It's moved up a lot. I think you've got another 2, 3 [basis] points before people start worrying about more plants coming on, but I'll bless it for a 2, 3-point trade.""
Charles River Laboratories: ""You make it easy. Even though it's at a 52-week high, [CEO James] Foster delivers. I'm saying buy, buy, buy.""
 Windstream Holdings: ""Don't buy, don't buy, don't buy! Sell, sell sell!""
Diamondback Energy: ""You want to buy Facebook, Amazon, Netflix, and Google, now Alphabet, not FANG!"" [Diamondback Energy's ticker is FANG.]
Advanced Micro Devices: ""I think AMD's fine. I mean, I think that the quarter was good. They gave these projections, they weren't as great as people thought. I think it's a good situation.""
Radius Health: ""I want to see the results. I want to see the results before I feel comfortable saying that you want to buy Radius Health here.""
Gilead Sciences: ""Did you see when [Golden State Warriors basketball player] Kevin Durant ran right through everybody and did that lay-up? One of the players that he ran right through was Gilead. It just stood there and watched.""
Questions for Cramer? Call Cramer: 1-800-743-CNBC
Want to take a deep dive into Cramer's world? Hit him up! Mad Money Twitter -  Jim Cramer Twitter - Facebook - Instagram - Vine
Questions, comments, suggestions for the ""Mad Money"" website? madcap@cnbc.com
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",174,2017-06-02,MU,-0.0145234116452448
6,2017-06-09,Four members of iQ100 hitting all-time highs  ,"Four members of the CNBC iQ100 hitting all-time highs today. C.R. Bard, Johnson and Johnson, Deere, and Illinois Tool Works. Five others hitting 52-week highs Citigroup, Applied Materials, Micron, Xilinx, and Yahoo. For more on the index go to CNBC.com/iq100
Four members of the CNBC iQ100 hitting all-time highs today. C.R. Bard, Johnson and Johnson, Deere, and Illinois Tool Works. Five others hitting 52-week highs Citigroup, Applied Materials, Micron, Xilinx, and Yahoo. For more on the index go to CNBC.com/iq100
Four members of the CNBC iQ100 hitting all-time highs today. C.R. Bard, Johnson and Johnson, Deere, and Illinois Tool Works. Five others hitting 52-week highs Citigroup, Applied Materials, Micron, Xilinx, and Yahoo. For more on the index go to CNBC.com/iq100
Four members of the CNBC iQ100 hitting all-time highs today. C.R. Bard, Johnson and Johnson, Deere, and Illinois Tool Works. Five others hitting 52-week highs Citigroup, Applied Materials, Micron, Xilinx, and Yahoo. For more on the index go to CNBC.com/iq100
",169,2017-06-09,MU,0.05870043419176393
7,2017-06-12,"“Fast Money” final trades: GE, AMD, and more  ","The “Fast Money” traders discuss their final trades for the day including Micron Technology, Financial Sector SPDR Fund, Advanced Micro Devices and General Electric.The “Fast Money” traders discuss their final trades for the day including Micron Technology, Financial Sector SPDR Fund, Advanced Micro Devices and General Electric.The “Fast Money” traders discuss their final trades for the day including Micron Technology, Financial Sector SPDR Fund, Advanced Micro Devices and General Electric.The “Fast Money” traders discuss their final trades for the day including Micron Technology, Financial Sector SPDR Fund, Advanced Micro Devices and General Electric.",168,2017-06-12,MU,-0.019418085857101516
8,2017-06-20,"For Micron, competitive threat from China's chipmakers is ‘overblown,’ JPMorgan says ","Kai Pfaffenbach | Reuters
 Micron Technology will maintain its leading position in memory technologies despite competitive pressures from suppliers in China, according to JPMorgan, which called that threat ""overblown.""
 In a research note on Tuesday, the bank reiterated its overweight rating on shares of the American chipmaker. ""Many investors are concerned of potential supply from China coming on-line and disrupting overall industry supply / demand fundamentals, in our view. We believe such concerns are overblown,"" analyst Harlan Sur wrote in the note to clients. ""We believe the technologies that are being proposed in China are likely to remain at least one or two generations behind industry leaders, likely through the rest of the decade (or longer)."" Micron shares are up 42 percent this year through Monday compared with the S&P 500's 10 percent return.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",162,2017-06-20,MU,0.011929852917377816
9,2017-06-21,Today's iQ100 leaders  ,"The CNBC iQ100 tracks big cap companies that get most of their revenue from their own intellectual property. Some of today's leaders include CA Inc, A.M.D., Western Digital, Micron and Broadcom. For more on the index go to CNBC.com/iq100.The CNBC iQ100 tracks big cap companies that get most of their revenue from their own intellectual property. Some of today's leaders include CA Inc, A.M.D., Western Digital, Micron and Broadcom. For more on the index go to CNBC.com/iq100.The CNBC iQ100 tracks big cap companies that get most of their revenue from their own intellectual property. Some of today's leaders include CA Inc, A.M.D., Western Digital, Micron and Broadcom. For more on the index go to CNBC.com/iq100.The CNBC iQ100 tracks big cap companies that get most of their revenue from their own intellectual property. Some of today's leaders include CA Inc, A.M.D., Western Digital, Micron and Broadcom. For more on the index go to CNBC.com/iq100.",161,2017-06-21,MU,-0.03756011208371269
