,postDate,headline,articleHTML,Unnamed: 0,date,ticker,daily_change
0,2017-06-15,WEB EXCLUSIVE: How to trade Netflix's next move  ,"""Halftime Report"" trader Jon Najarian breaks down the trade on Netflix options.""Halftime Report"" trader Jon Najarian breaks down the trade on Netflix options.""Halftime Report"" trader Jon Najarian breaks down the trade on Netflix options.""Halftime Report"" trader Jon Najarian breaks down the trade on Netflix options.",165,2017-06-15,NFLX,0.002895119800826673
1,2017-06-16,Here's why Apple's push into TV could hurt Netflix  Op-ed: Hulu needs a single owner to maximize its potential  ,"Gene Munster, Loup Venture founder, discusses Apple's move into programming and the possible competition for Netflix.Gene Munster, Loup Venture founder, discusses Apple's move into programming and the possible competition for Netflix.Gene Munster, Loup Venture founder, discusses Apple's move into programming and the possible competition for Netflix.Gene Munster, Loup Venture founder, discusses Apple's move into programming and the possible competition for Netflix.Getty Images
Hulu CEO Mike Hopkins
 Hulu was an early attempt by the big networks of Disney (the owner of ABC), Comcast NBCUniversal and Fox to put a foot in the digital direct-to-home space when it was founded back in 2006. (CBS decided to stay out of the consortium.)
 Back then, Netflix was only sending out movies via DVDs in the mail. Hulu launched a website in 2007 to deliver its exclusive network shows and started spending money on ad campaigns with Alec Baldwin.
Hulu was meant as a Big Three network hedge against the growth of ""web video"" and later the streaming threat of Netflix. As time has gone on, Hulu has changed leadership, has considered an IPO, and has considered a sale.
 Ultimately, it has chosen to proceed independently and begin focusing on advertising and a new $40-a-month skinny bundle as its future.
It is one of a handful of over-the-top (OTT) networks with scale and reported over a year ago that it had 12 million subscribers. However, I believe its current 4-part ownership structure remains its greatest challenge to its future growth.
Today, the ownership structure of Hulu is:
 Comcast NBCUniversal with 30% Disney with 30% Fox with 30% Time Warner (soon to be AT&T) in an investment last year with 10%. 
Once the AT&T Time Warner deal closes, Hulu will be 10 percent owned by a company that competes against it with its DirecTV Now skinny bundle offering.
Would Hulu be able to grow more aggressively with a single owner? I think so — and this was also likely the thinking behind a possible sale a few years ago — because:
 There would be less consensus-building leading to compromise decisions. The company could likely be more aggressive about growing internationally, instead of retaining its domestic focus today. The company would likely be faster to decide — correctly — if the skinny bundle approach with ads works or if returning to a focus on paid subscriptions is ideal. Each network probably needs to control its own destiny digitally anyway. It's likely better for all of them to make that switch sooner rather than later. Fox, Disney and Comcast each have their own studios (and TV production) to funnel content to their digital OTT services of the future. Disney and Comcast are already making big investments to prepare to have an independent digital path eventually anyway. Buying out their partners' interests in Hulu would help jump-start that. 
What are the reasons for these networks to keep Hulu's ownership structure as is? A big one is having to absorb losses, which are starting to add up. According to the last Comcast 10-K filing, based on its 30 percent holding, total Hulu losses were $61 million in 2014, $321 million in 2015 and $560 million in 2016. In a world where there is already fear about cord-cutting, anybody buying out their partners for full control of Hulu would have to be prepared to argue that the growth prospects of Hulu far exceed the risk of short-term losses.
In the video-streaming business, even the king, Netflix, isn't showing huge profits. Netflix's net income in the years 2014 to 2016 were $268 million, $123 million and $187 million respectively. That's not exploding profits to match their growth in revenues and subscribers. Amazon is using its OTT losses to drive more Prime memberships in its core business.
What are Hulu's unique advantages today from a content creator's perspective? Beatrice Springborn, Hulu's head of original programming,  recently spoke to The Hollywood Reporter about this and provided this list:
 Hulu is spending as much on original content as Amazon — so presumably $4.5 billion annually; she mentions going from four shows a year to 16 There's a smaller team at the top of Hulu making decisions — 8 execs — which suggests quicker decisions and more accessibility compared with a Netflix. 
Is this really so compelling? There's lots of money sloshing around, with the possibility of others such as Apple entering the fray. Good content will get made somewhere. Now, if Hulu had exclusive first looks at content with people connected to Fox, Disney or NBC Universal, that would be unique.
After last reporting its paid subscribers more than a year ago, Hulu now seems to be focusing on advertising revenues. It recently launched a  complex tier of services at the recent Upfront meetings including:
 Hulu with Live TV — their skinny bundle — for $40 a month, including Hulu content and a skinny bundle of cable content. For $9 extra a month you can add Showtime to the bundle. Hulu's basic streaming service with ads is $7.99 a month. Unlike Tivo, no ads on Hulu are skippable and their technology allows advertisers to update ads on old recorded content you have saved. Without ads, it is $11.99 a month. They have an Enhanced Cloud DVR service for an extra $14.99 a month (200 hours of recording time). Hulu's Unlimited Screens costs another $14.99 a month and lets you have as many simultaneous users as your broadband provider allows plus 3 outside the home concurrently. 
It's possible that Hulu may never report another paid subscriber number, hoping that its skinny bundle instead takes off as their primary revenue source.
With the metrics they are sharing, Hulu is trying to indicate that their slow-and-steady approach is winning. They told advertisers that their hours viewed per subscriber are up 20 percent year-on-year and that their total streams are up 50 percent year-on-year.
But look at  this chart from Mary Meeker. Hulu's share of video traffic over the Internet is up in 2016 from 2012 (it would be a shocker if it weren't), but it is about equal in share today to Xbox One's and still vastly trails Netflix. It's now also behind Amazon Prime, which has probably only accelerated in 2017.
How does Hulu win long-term in a sea of new skinny-bundle offerings? Network TV exclusive windows? All the other skinny bundles will have network TV as an afterthought. More bets on series exclusives like ""The Handmaid's Tale""? It's unclear whether the circumstances which led to them obtaining that strong IP is a repeatable process.
The biggest challenge Hulu faces is that it serves four owners. This critique of Hulu isn't a critique of CEO Mike Hopkins. How do you successfully lead a company without a single strong owner?
The solution to me appears to be that one of the four owners should step up and take control, buying out the others. Disney and Comcast appear to be the most likely candidates. Fox needs to get into digital more but is currently preoccupied with sorting out its news division and completing the Sky deal. And, as mentioned before, AT&T already has DirecTV Now.
With a single owner, Hulu will likely expand internationally more aggressively and better define its content offering and whether it will take a subscription or ad-based approach. There are likely to only be a handful of premium content subscription services and Hulu still has the chance to be one of them — but that window is closing.
Disclosure: Comcast, which owns CNBC parent NBCUniversal, is a co-owner of Hulu.
To sign up for Eric's monthly Tech & Media Email,  go here. And to hear his podcasts on these topics,  go here. You can follow Eric on Twitter 
@ericjackson
 .
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",164,2017-06-16,NFLX,-0.004077075418104903
2,2017-06-23,"Cord cutting is accelerating thanks to Hulu, not Netflix, analyst says  ","show chapters
 Expert: I don't think the idea that cord-cording is accelerating is a surprise   
 2:24  PM ET Fri, 23 June 2017 |  04:00 
 Hulu, not Netflix, appears to be driving the recent increase in cord-cutting, according to Corey Barrett, a senior media analyst at M Science.Cord-cutting, long said to represent the demise of cable companies, is when customers eliminate paid TV from their service provider bundle. Barrett said a recent study from M Science shows the trend is on the rise.""What really stood out to us was that [cord-cutting] was most pronounced among Hulu subscribers,"" Barrett told ""Power Lunch"" on Friday. ""There's a misconception that Netflix is actively driving cord-cutting behavior.""The study found that Netflix subscribers eliminated their cable package at similar rates to the average consumer, while Hulu members saw a higher rate of cord-cutting.The findings also identified Charter Communications as potentially a victim of the practice, ""relative to Comcast,"" according to Barrett.He called the practice ""a generational shift"" and warned disruption could grow in the coming years thanks to more nontraditional firms entering the field.""As a function of that, you have players coming from outside the existing pay-TV ecosystem that are likely much more disruptive to the current ecosystem and drive heavier cord-cutting than what we've seen,"" Barrett said.
 Disclosure: CNBC parent company NBCUniversal is an investor in Hulu. Comcast is the owner of NBCUniversal, the parent company of CNBC and CNBC.com.
 WATCH:  Streaming wars will be won or lost by viewer experience and content -Hulu CEO
 show chapters
 Hulu CEO: Streaming wars will be won or lost by viewer experience and content   
 3:58  PM ET Fri, 23 June 2017 |  04:32 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",159,2017-06-23,NFLX,-0.020006419734919945
3,2017-06-26,Here's why a former Netflix exec can't wait to see the original content Facebook produces  ,Netflix co-founder Mitch Lowe discusses Facebook's dive into original content.Netflix co-founder Mitch Lowe discusses Facebook's dive into original content.Netflix co-founder Mitch Lowe discusses Facebook's dive into original content.Netflix co-founder Mitch Lowe discusses Facebook's dive into original content.,158,2017-06-26,NFLX,0.003296149028899524
4,2017-06-28,A secret to Netflix's success: Social media  ,"Getty Images
Reed Hastings, CEO, Netflix
 There's a secret to Netflix's success: social media.
 The subscription-based video on demand site is more conducive to producing ""viral"" original content, which could give it a sustainable advantage over traditional networks and other on-demand providers such as Hulu and Amazon Prime Video, said Jefferies analyst John Janedis. 
New Netflix original shows generated an average of 30 percent more mentions on Twitter when compared with new shows on network or cable television, he said, recommending investors hold Netflix shares, setting the 12-month price target at $141, a 6.6 percent downside from Tuesday's close price of $153.08.
 ""Management has tied the outperformance of original programming to periods of higher [subscriber] growth, which continues to be the biggest driver for the stock on a quarterly basis,"" Janedis wrote in a note on Wednesday. ""If NFLX's platform is more conducive to producing 'viral' content, this could be a sustainable advantage over traditional media platforms as well as other digital platforms with less scale.""
 Twitter activity can gauge the future success or cancellation of original programming, Janedis said. Following the second season launches of ""The Get Down"" and ""Sense 8,"" two Netflix original series, marked declines in social media activity preceded each show's cancellation.
Netflix releases entire seasons at once, unlike traditional television networks and cable, allowing viewers to binge watch content and help it ""go viral"" through social media messaging.
Recent hit series ""13 Reasons Why"" and ""Narcos"" ""resulted in a surge of social media activity that was sustained for several weeks after the shows premiered,"" wrote Janedis. ""Alternatively, 'Westworld' (HBO) and 'Empire' (FOX), two of the most popular shows on TV, generated Twitter mentions that were more evenly spread throughout a season, tied to the live airing of each episode.""
 Also unlike traditional networks, Netflix is not evaluated on viewership ratings around the launch of content, which may allow new shows a chance to accrue a larger audience. Thus, after a new show premieres, an uptick in social media mentions can ""elevate consumers' perception of the content, and can ultimately drive new subscribers to the platform at a lower cost relative to traditional TV network,"" noted Janedis.
Janedis remains cautious though, as Netflix remains caught in the midst of growing competition for subscribers as Hulu and Amazon continue to invest in their own entertainment platforms.
In a long-awaited announcement, Apple announced earlier this month that Amazon is coming to Apple's TV app and all Apple TVs with Amazon Prime video.
""Our longer term view is unchanged,"" concluded Janedis. ""We continue to believe that emerging competition, elevated programming costs, and cash burn trends are risks that are not fully appreciated in NFLX's valuation.""
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",156,2017-06-28,NFLX,-0.015635583278431772
5,2017-07-03,These shortcuts can help you watch Netflix like a pro  ,"Source: Netflix 
 When you're binge watching a TV show or several movies on Netflix, you want the minimal amount of distractions. Here are some built-in shortcuts to help create the ultimate viewing experience. 
 Keyboard shortcuts
If you're watching Netflix on a computer and don't want to move your mouse, here's a list of keys to keep handy. 
 Space and enter — play or pause F — full screen Esc — exit full screen S — skip intro  Left arrow — rewind Right arrow — fast forward Up arrow — volume up Down arrow — volume down M – mute 
Fix streaming issues
To avoid the dreaded buffer, you can manually select your audio bit rate, video bit rate and CDN (content delivery network) by holding down control + shift + alt + s (control + shift + option + * on Macs). Make your selections and click override, or use the Netflix-selected options by clicking reset. 
If you're watching on a device like an XBox, Playstation or Wii, you can enter  up, up, down, down, left, right, left, right, up, up, up, up using the directional keypad to get the ""Get Help"" screen. There you can reload Netflix and diagnose network issues, among other things. 
Additional apps and websites
There are several free Chrome extensions that can improve your viewing experience. 
Showgoers for Netflix lets you watch with others simultaneously. After you download the app, a pair of 3-D glasses will appear in the upper right corner. Click it to start the Showgoers experience. You can send a private link to friends so they can watch with you or allow other Showgoers.tv account holders into your viewing party. There's also a nifty chat function on the side of the screen so you can talk while watching.
Super Netflix adds a bevy features, like checking if the content is streaming properly before you start viewing it, and options to add visual filters including making the content brighter, dimmer or black and white. You can search for subtitles in other languages not supported by Netflix, through a service provided by Subflicks.com. Currently, it's testing out a spoiler-free function that blurs out thumbnails and episode descriptions so you won't find out what's coming up next. 
If Netflix isn't recommending the right kind of movies and TV shows for you, Ogres Crypt has compiled a list of the company's 27,000 internal category codes. Browse through more specific topics like ""movies for ages 5 to 7,""  ""exciting movies starring Steven Seagal"" or ""social and cultural documentaries about food."" Titles are constantly being added and removed, so some of the links may have no content. 
What's On Netflix is a list of new movies and shows on Netflix, as well as what's set to leave soon. The site updates almost daily. 
 Watch: Former Neflix exec anxious for FB originals
 show chapters
 Here's why a former Netflix exec can't wait to see the original content Facebook produces   
 6:04  PM ET Mon, 26 June 2017 |  03:23 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",153,2017-07-03,NFLX,0.021923876961792158
6,2017-07-05,"Elon Musk and Reed Hastings both used this ancient mental strategy to grow their billion-dollar businesses  “Fast Money” final trades: V, NFLX, and more  ","On the surface, Tesla and Netflix don't have much in common. One makes cars, solar panels and energy-efficient batteries, and the other streams TV shows and movies.
 But Tesla CEO Elon Musk and Netflix CEO Reed Hastings have both used the same ancient decision-making strategy to grow their billion-dollar businesses: ""first principles"" thinking.
The term was coined more than 2,000 years ago by the ancient Greek philosopher Aristotle, who believed we learn more by understanding a subject's fundamental principles, those ""things better known and clearer to us,"" according to Terence Irwin's 1989 book ""Aristotle's First Principles.""
 While most of us think through issues based on common knowledge about them, starting over from scratch to get at the root of the problem can help you see it in a new light.  
As Musk explained at a TED conference in 2013: ""We get through life by reasoning by analogy, which essentially means copying what other people do with slight variations. And you have to do that. Otherwise, mentally, you wouldn't be able to get through the day. But when you want to do something new, you have to apply the [first principles] approach.""
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.gptloaded=mps._queue.gptloaded||[];
 mps._queue.gptloaded.push(function() {
 (mps && mps.insertAd && mps.insertAd('#dart_wrapper_responsiverectangle', 'responsiverectangle'));	
 });
 In the latest episode of LinkedIn founder Reid Hoffman's podcast, ""Masters of Scale,""  Hoffman interviews Hastings about how he used first principles thinking to scale Netflix from a  DVD-rental mailing service in the late 1990s into one of the world's  most popular streaming services.
Hoffman notes that the decision-making system is popular in Silicon Valley and offers the following definition:
 First principle thinking is the idea that everything you do is underpinned by a foundational belief, or first principles. Instead of blindly following directions or sticking to a process, a first principle thinker will constantly ask, ""What's best for the company?"" and, ""Couldn't we do it this other way instead?"" 
This method allows you to step back and break a problem down into its core parts.
Hastings says creativity and innovation were stifled at the software company he started before Netflix, since they ""were unable to adapt"" due to ""a bunch of people who valued following the process, rather than the first principle thinking.""
 show chapters
 This is how Tesla CEO Elon Musk stays productive   
 7:07  AM ET Mon, 19 June 2017 |  01:01 
 At Netflix, he approached things differently. He knew the advent of broadband internet across the U.S. would pose a challenge to Netflix's DVD-rental business. To avoid leading another company that lacked imagination, he decided to staff Netflix with first principle thinkers and encourage this critical-thinking style.
""We ask people to do what you would think is best for the company,"" Hastings tells Hoffman. ""We don't give them any more guideline than that.""
If this method of reasoning frustrates them, Hastings says, then they probably are not a good match for Netflix.
""It seemed inevitable to [Hastings], that streaming entertainment would eclipse DVDs, just as surely as the combustion engine eclipsed the horse and carriage,"" Hoffman says.
Likewise, in a 2012 interview with Kevin Rose, Musk said that if he hadn't used first principles thinking to advance Tesla technology, he would have been stuck in the horse-and-carriage stage of the transportation revolution.
""You can't say: 'Nobody wants a car because horses are great and we're used to them. They can eat grass [and] there's lots of grass all over the place and there's no gasoline people can buy, so people are never going to get cars.' People did say that, you know,"" Musk said.  
For Musk, first principles thinking means boiling things down to ""the most fundamental truths"" and then reasoning up from there.
 show chapters
 How top tech entrepreneurs use regret as motivation to succeed   
 8:05  AM ET Tue,  8 Aug 2017 |  00:56 
 Musk used the cost of batteries as an example. ""People would say, 'Historically it's cost $600 per kilowatt-hour, and so it's not going to be much better than that in the future.' And you say, 'No, what are the batteries made of?' First principles means you say, 'Okay, what are the material constituents of the batteries?'
""You just have to think of clever ways to take those materials and combine them into the shape of a battery cell, and you can have batteries that are much, much cheaper than anyone realizes.""
Although it ""takes a lot more mental energy,"" Musk said this method of thinking has helped him  revolutionize the energy industry.
""Somebody could say, in fact people do, that battery packs are really expensive and that's just the way they'll always be, because that's the way they've been in the past,"" Musk said. ""Well, no, that's pretty dumb, because if you applied that reasoning to anything new, then you would never be able to get to that new thing.""
Don't miss:  This email by Elon Musk highlights one of the most important traits for a CEOHow Elon Musk and 2 other highly-successful business leaders stay productive
 Like this story? Like CNBC Make It on Facebook. 
 show chapters
 This CEO wants to put a computer chip in your brain   
 10:35  AM ET Wed, 12 April 2017 |  01:15 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });The “Fast Money” traders discuss their final trades for the day including Netflix, Viacom, Visa and WisdomTree India Fund.The “Fast Money” traders discuss their final trades for the day including Netflix, Viacom, Visa and WisdomTree India Fund.The “Fast Money” traders discuss their final trades for the day including Netflix, Viacom, Visa and WisdomTree India Fund.The “Fast Money” traders discuss their final trades for the day including Netflix, Viacom, Visa and WisdomTree India Fund.",152,2017-07-05,NFLX,-0.009803332647704234
7,2017-07-07,Artificial intelligence becomes part of daily life  ,"We ask Recode reporter April Glaser if smart software is getting too smart, and if algorithms that predict our next Netflix or Amazon purchase are too invasive? What will AI and smart computers do in the future? We ask Recode reporter April Glaser if smart software is getting too smart, and if algorithms that predict our next Netflix or Amazon purchase are too invasive? What will AI and smart computers do in the future? We ask Recode reporter April Glaser if smart software is getting too smart, and if algorithms that predict our next Netflix or Amazon purchase are too invasive? What will AI and smart computers do in the future? We ask Recode reporter April Glaser if smart software is getting too smart, and if algorithms that predict our next Netflix or Amazon purchase are too invasive? What will AI and smart computers do in the future? ",150,2017-07-07,NFLX,-0.02651708855977199
8,2017-07-10,Netflix CEO Reed Hastings on conquering Europe  ,"Michael Newberg | CNBC
Reed Hastings, co-founder and CEO of Netflix.
 For the co-founder of a company that warns new staff that ""adequate performance"" will result in a ""severance package"", Reed Hastings does not come across as a typical tough guy. Breezy and relaxed, the 56-year-old chief executive of Netflix delivers chilling statements with unnerving warmth.
""We are modelled on sport and if you want to win a championship you have to have an incredible player in every position,"" he explains. ""It's not for everyone. If you want job security you don't go into sports — and you don't join Netflix.""
Even Mr Hastings admits the culture creates ""pockets of fear"". But a decade after he reinvented his DVD rental business as a global online streaming network, it seems to be working.
 Receive 4 weeks of unlimited digital access to the Financial Times for just $1. 
At the end of April, Netflix broke through the symbolic barrier of 100m members across the world. To celebrate, Mr Hastings posted a picture of himself on Facebook eating a steak alone in a branch of Denny's, the US restaurant chain (he did the same when the company signed up 1m members).
For the first three months of 2017, the company reported revenues of $2.64bn, a 34 per cent increase year on year.
Meanwhile, the entertainment group, best known for big budget hit shows such as House of Cards, Narcos and The Crown, says it will invest $6bn in content this year as it continues its drive to upend traditional TV network programming.
It has been a dizzying ride, but Mr Hastings insists it is just the beginning.
""If you think of any night this last month when you did not watch Netflix what did you do?"" he says.
""Sports, gaming, watching linear TV . . . we compete with all of that. We even compete with sleep. We are just a very small player in the market for time and entertainment.""
The streaming market is becoming crowded, with Amazon vowing to spend $4.5bn on acquiring and commissioning programmes this year, and other rivals such as Hulu, owned by a consortium of US broadcasters including Walt Disney and 21st Century Fox, spending on content and launching a live service in May.
""As long as you do great unique content, there's a market for you,"" Mr Hastings adds.
Having signed up more than 50m households in the US, he wants to grow Netflix in Europe. Appropriately, we meet at the Booking Office, a grand restaurant which looks out on to London's Eurostar terminal at the renovated St Pancras Station. Next stop: dinner in Paris before going on to a celebration with staff in the Netherlands.
Since 2012, Netflix has invested £2bn in original and acquired European content. It recently announced 400 new jobs at its Amsterdam office (Netflix has 3,000 staff globally) and has been launching original shows across the continent, including Las Chicas del Cable — the first original Spanish series — and the Dogs of Berlin, which will be written, produced and shot in Germany.
The European push is timely as the EU considers an overhaul of its rules on video content, dragging technology and streaming groups into the same framework that already exists for traditional broadcasters.
For Netflix this could mean payments to local culture funds in France, for example, and having to meet quotas of locally produced content across the EU, something Mr Hastings seems characteristically relaxed about.
""It's not going to be hard for us to meet those quotas,"" he says, adding that the investment in Europe is ""95 per cent consumer driven"". The other 5 per cent, he adds, is political. ""If we are seen as an outside exploiter we will have problems."" 
Mr Hastings hails from Boston, Massachusetts, but has become one of the biggest names in Hollywood.
His first glimpse of the international power of TV came during his time as a maths teacher in Swaziland 30 years ago.
""While I was travelling around Africa, I saw how people loved television,"" he explains.""You could be in the middle of nowhere but having a TV was a prized possession.""
The journey from itinerant maths graduate to media mogul is unlikely but his enthusiasm for show business is clear. One of his favourite programmes at the moment is 13 Reasons Why, a controversial US high school drama that has been accused by some critics of romanticising suicide. ""We say it's an honest discussion of what's going on in adolescent life,"" he says.
Mr Hastings' first company was a software development business called Pure which he founded in 1991 before selling it six years later. He says the Netflix corporate culture was partly shaped by the mistakes he made as a young tech entrepreneur.
Early success has its problems, he says, when I mention Travis Kalanick, the Uber chief executive who was forced out last month after a series of crises, including accusations of sexism.
""There are a lot of lessons for the young founder experiencing incredible growth,"" he replies, careful not to mention Mr Kalanick by name.
""You are young and a lot of things hit all at once. Those are challenges much like a movie star who gets famous at a young age. Those who make it through like Facebook and Google are fantastic.""
Such praise for Facebook is unsurprising — in addition to running Netflix, Mr Hastings is also a member of the Facebook board, allowing him to see some of the broader political and regulatory challenges facing the disruptive technology groups as they expand beyond the US.
But while Netflix has been grouped together as one of the FAANGs (the big five tech groups that also includes Facebook, Apple, Amazon and Google), Mr Hastings does not see the company as part of Silicon Valley.
Asked to choose between being a tech or an entertainment company, he says: ""If we have to choose, we are more entertainment. But we should aspire to be great at both.""
More from the Financial Times:French PM says tax cuts for wealthy may come in 2018Paris rolls out 'red-white-and-blue carpet' for banksCarillion chief quits and shares tumble after profit warning
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",149,2017-07-10,NFLX,-0.01644415459711301
9,2017-07-11,"""Fast Money"" final trades: AAL, BAC and more  ","The “Fast Money” traders discuss their final trades for the day, including American Airlines, Bank of America, Netflix and Celgene.The “Fast Money” traders discuss their final trades for the day, including American Airlines, Bank of America, Netflix and Celgene.The “Fast Money” traders discuss their final trades for the day, including American Airlines, Bank of America, Netflix and Celgene.The “Fast Money” traders discuss their final trades for the day, including American Airlines, Bank of America, Netflix and Celgene.",148,2017-07-11,NFLX,-0.01081443764388923
