,postDate,headline,articleHTML,Unnamed: 0,date,ticker,daily_change
0,2017-03-14,PayPal shares slide after Google announces rival email feature  ,"Scott Mlyn | CNBC 
Dan Schulman
 PayPal shares dipped about 1 percent on Tuesday after Google said it would make it easier to send and receive money via email.
 The Gmail app on Android now lets U.S. users receive or request money as an email attachment,  Google said in a blog post. It has no fees, and can work even if the payor or payee doesn't have a Gmail account, according to Google.
The feature was already available on web browsers in some areas. But Tuesday's new feature challenges the dominance of PayPal's Venmo in mobile.
 Venmo, a mobile peer-to-peer payment app and social network, is one of the main drivers of growth that keeps PayPal the top person-to-person payments vendor in the U.S., according to analysis by  S&P Global Market Intelligence.  Venmo processed $5.6 billion in payment volume in the fourth quarter, an increase of 126 percent, the company said in an earnings report.
PayPal declined to comment, citing a policy against commenting on stock price moves.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",230,2017-03-14,PYPL,0.011571743246786446
1,2017-03-16,PayPal CFO: Focus on fintech  ,"John Rainey, PayPal CFO, talks about competition in the mobile-payment arena and the trends contributing its growth.John Rainey, PayPal CFO, talks about competition in the mobile-payment arena and the trends contributing its growth.John Rainey, PayPal CFO, talks about competition in the mobile-payment arena and the trends contributing its growth.John Rainey, PayPal CFO, talks about competition in the mobile-payment arena and the trends contributing its growth.",228,2017-03-16,PYPL,-0.00023587687336621758
2,2017-04-12,"Buy PayPal because survey suggests credit card competition fears ‘overblown,' analyst says ","Scott Mlyn | CNBC 
Dan Schulman
 Credit Suisse reiterated its outperform rating on PayPal shares, citing survey results that revealed the online payment service's dominant market position. ""Our survey found PayPal to be more popular than credit and debit cards for online purchases in all geographies,"" analyst Paul Condra wrote in a note to clients Wednesday. ""Survey results leave us incrementally more positive on PYPL. In addition to its high growth assets (Venmo and Braintree), we believe legacy PayPal remains a sticky and relevant platform and concerns over losing share to credit cards may be overblown.""
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",209,2017-04-12,PYPL,0.004695946643150381
3,2017-04-26,"PayPal earnings: 44 cents per share, vs expected EPS of 41 cents  PayPal beats on top & bottom lines  Why you should buy PayPal  ","show chapters
 PayPal beats on top & bottom lines   
 6:22  PM ET Wed, 26 April 2017 |  01:21 
 PayPal shares jumped more than 6 percent after the company reported an earnings beat following the market close Wednesday.
 EPS: 44 cents, versus 41 cents expected by Thomson Reuters estimates Revenue: $2.98 billion, versus $2.94 billion expected by analyst 
The California-based payments company posted earnings of 44 cents per share on revenue of $2.98 billion, up from profit per share of 37 cents on $2.54 billion in revenue a year earlier.
 A consensus of analysts polled by Thomson Reuters expected earnings of 41 cents per share on revenue of $2.94 billion.
The company said it projects adjusted full-year earnings of between $1.74 and $1.79 per share, above the analyst projection for $1.72. 
PayPal also said its board approved a $5 billion buyback. 
""This is one of these quarters where we just hit on all cylinders,"" CEO Dan Schulman said in an earnings call on Wednesday. 
Shares of PayPal were up nearly 12 percent in the past 12 months as of Wednesday's close. 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });Earnings are out for PayPal. CNBC's Deirdre Bosa reports the details.Earnings are out for PayPal. CNBC's Deirdre Bosa reports the details.Earnings are out for PayPal. CNBC's Deirdre Bosa reports the details.Earnings are out for PayPal. CNBC's Deirdre Bosa reports the details.Jamie Friedman from Susquehanna Financial Group explains why he's bullish on Paypal, noting that the firm's U.S. growth exceeded expectations.Jamie Friedman from Susquehanna Financial Group explains why he's bullish on Paypal, noting that the firm's U.S. growth exceeded expectations.Jamie Friedman from Susquehanna Financial Group explains why he's bullish on Paypal, noting that the firm's U.S. growth exceeded expectations.Jamie Friedman from Susquehanna Financial Group explains why he's bullish on Paypal, noting that the firm's U.S. growth exceeded expectations.",200,2017-04-26,PYPL,0.006732520941878371
4,2017-04-27,"Deutsche Bank profit doubles, revenue drops  PayPal shares jump after earnings beat  ","The ""Squawk Box"" crew discusses some of the morning's top stories, including earnings for Deutsche Bank, PayPal and Samsung.The ""Squawk Box"" crew discusses some of the morning's top stories, including earnings for Deutsche Bank, PayPal and Samsung.The ""Squawk Box"" crew discusses some of the morning's top stories, including earnings for Deutsche Bank, PayPal and Samsung.The ""Squawk Box"" crew discusses some of the morning's top stories, including earnings for Deutsche Bank, PayPal and Samsung.PayPal reported better than expected sales for the quarter.PayPal reported better than expected sales for the quarter.PayPal reported better than expected sales for the quarter.PayPal reported better than expected sales for the quarter.",199,2017-04-27,PYPL,-0.0598693397754557
5,2017-05-02,CEO Dan Schulman points to 2 market-wide trends fueling PayPal's success  CEO Dan Schulman points to 2 market-wide trends fueling PayPal's success  PayPal CEO points to 2 trends fueling its success  ,"show chapters
 PayPal CEO points to 2 trends fueling its success   
 7:37  PM ET Tue,  2 May 2017 |  01:18 
 With Wall Street buzzing about PayPal leading the next iteration of financial growth stocks, President and CEO Dan Schulman sees two major tailwinds that could push his business to new heights.
 ""Two big trends are happening: the digitization of money, so from cash to digital, and then in retail, that is fundamentally being redefined by the mobile phone,"" Schulman told ""Mad Money"" host Jim Cramer on Tuesday.
Schulman said PayPal's network of 203 million users and 16 million merchants stands to benefit hugely from shifting retail trends, especially the rise of e-commerce.
 Watch the full segment here:
 show chapters
 CEO Dan Schulman points to 2 market-wide trends fueling PayPal's success   
 7:14  PM ET Tue,  2 May 2017 |  09:21 
 ""So much of what [once] happened offline or in-store is now moving online. It's sort of buy online, pick up in-store. And so you're seeing both of those trends play into the strengths that PayPal can offer into the market,"" the CEO said.
Take Venmo, PayPal's millennial-oriented peer-to-peer payment service that went viral with very little marketing.
Venmo just saw its 15th straight quarter in which its user volume doubled, and Schulman said that the time has come to visualize the app's next chapter.
""Now, we're looking to take Venmo to the next level where we can add even more value for Venmo users and allow them to do transactions at merchants,"" the CEO said, adding that the upgrade would allow PayPal to monetize the service.
Along with Venmo's millennial-driven success, Schulman credited PayPal's rise to the company's core beliefs and its many partnerships. 
""Our overriding mantra is to be customer champion,"" Schulman told Cramer. Considering that drove management to give PayPal customers the option to choose how and where they pay, which Schulman said opened the door to partnerships worldwide.
Now, whether PayPal customers are paying in-app, online, or in-store, with their credit cards or their bank accounts, they can do so with networks like Visa, MasterCard, or Discover, through banks like Wells Fargo or Citi, or via technologies like Facebook or Alphabet's Google.
""All of them have now started to become allies in this move to digitization where we can take the best of their assets, and what we have to offer as PayPal, our platform and our scale, put those together and really drive the digitization of payments,"" Schulman said.
And as the world moves online and more and more customers sign on to PayPal's services thanks to the rise of the smartphone, Schulman predicts many changes not only in retail, but the financial services industry as a whole.
""I think there's going to be more change in the next five years than has happened in the last 30 years, and that's because of mobile,"" the CEO said.
Questions for Cramer? Call Cramer: 1-800-743-CNBC
Want to take a deep dive into Cramer's world? Hit him up! Mad Money Twitter -  Jim Cramer Twitter - Facebook - Instagram - Vine
Questions, comments, suggestions for the ""Mad Money"" website? madcap@cnbc.com
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });Jim Cramer spoke with PayPal CEO Dan Schulman to see what lies ahead for the mobile payment giant.Jim Cramer spoke with PayPal CEO Dan Schulman to see what lies ahead for the mobile payment giant.Jim Cramer spoke with PayPal CEO Dan Schulman to see what lies ahead for the mobile payment giant.Jim Cramer spoke with PayPal CEO Dan Schulman to see what lies ahead for the mobile payment giant.Jim Cramer spoke with PayPal CEO Dan Schulman to see what lies ahead for the mobile payment giant.Jim Cramer spoke with PayPal CEO Dan Schulman to see what lies ahead for the mobile payment giant.Jim Cramer spoke with PayPal CEO Dan Schulman to see what lies ahead for the mobile payment giant.Jim Cramer spoke with PayPal CEO Dan Schulman to see what lies ahead for the mobile payment giant.",196,2017-05-02,PYPL,-0.03126872407932422
6,2017-05-09,Cramer debates B-school student on shorting PayPal  ,CNBC's Jim Cramer debates Sohn Idea winner Dylan Adelman on his winning idea of long eBay and short PayPal.CNBC's Jim Cramer debates Sohn Idea winner Dylan Adelman on his winning idea of long eBay and short PayPal.CNBC's Jim Cramer debates Sohn Idea winner Dylan Adelman on his winning idea of long eBay and short PayPal.CNBC's Jim Cramer debates Sohn Idea winner Dylan Adelman on his winning idea of long eBay and short PayPal.,191,2017-05-09,PYPL,-0.0010163635390617175
7,2017-05-15,Absence of Amazon an 'opportunity' for Australian retailers: PayPal  ,"A third of Australians shopping on mobile wish their stores offered next-day delivery, says Libby Roy of PayPal Australia. A third of Australians shopping on mobile wish their stores offered next-day delivery, says Libby Roy of PayPal Australia. A third of Australians shopping on mobile wish their stores offered next-day delivery, says Libby Roy of PayPal Australia. A third of Australians shopping on mobile wish their stores offered next-day delivery, says Libby Roy of PayPal Australia. ",187,2017-05-15,PYPL,-0.008069440599691429
8,2017-06-02,Wall Street says PayPal will keep surging due to online payments dominance  ,"Pau Barrena | Bloomberg | Getty Images
Dan Schulman, president and chief executive officer of PayPal
 Robert W. Baird reiterated its outperform rating on PayPal shares, one of the market's best-performing stocks, predicting the online payments company's earnings will top expectations next year. ""We believe that the split from eBay represents a rebirth of a platform that already has the benefit of global scale, a trusted brand, and mobile orientation,"" analyst Colin Sebastian wrote in a note to clients Friday. ""PayPal's significant growth opportunities stem from the disruption in financial services caused by the digitization of money and broader shift to the mobile web."" PayPal shares rallied 35 percent this year through Thursday, compared with the market's 9 percent return in that period. Sebastian raised his price target for PayPal to $59 from $54, representing 11 percent upside from Thursday's close. He cited how PayPal continues to take online payments market share with its transaction volume rising 25 percent per year compared with the e-commerce industry's ""mid-teens growth."" He also noted that PayPal users spend twice as much online as non-PayPal customers, which is attractive to merchants. Sebastian increased his 2018 earnings-per-share estimate for PayPal to $2.18 from $2.08 versus the Wall Street consensus of $2.11. ""PayPal is the largest online payment platform, with leading e-commerce and mobile commerce market share, and millions of merchant partners, leveraging a proprietary cloud-based technology architecture,"" he wrote. PayPal did not immediately respond to CNBC's request for comment.
 Disclaimer
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",174,2017-06-02,PYPL,-0.0067491819749285606
9,2017-06-05,"Apple launches peer-to-peer payments to take on Square, PayPal and Venmo  ","show chapters
 Apple launches peer-to-peer payments for iOS devices   
 2:55  PM ET Mon,  5 June 2017 |  01:03 
 Apple just announced that iOS 11 will support peer-to-peer payments through a new feature called Pay Cash, making it a direct competitor to similar services offered by Square Cash, PayPal, Venmo and even Facebook.
 Peer-to-peer payments allow one user to pay another one through their smartphone. You might use it to pay a friend for pizza, for example, or to split a meal at a restaurant. It's an industry that's been growing in popularity, and one Apple has been rumored to enter.
Pay Cash will allow you to easily send money to family and friends, transfer it to and from your bank, and to even use it for Apple Pay purchases.
 It'll be a part of iOS 11, which launches later this year, Apple said Monday at the Apple Worldwide Developers Conference.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",173,2017-06-05,PYPL,-0.00521805134776556
