,postDate,headline,articleHTML,Unnamed: 0,date,ticker,daily_change
0,2017-04-24,"'Dumb and dumber' are key drivers of T-Mobile's success, CEO John Legere says  Legere: Key drivers to T-Mobile's success  ",Jim Cramer spoke with T-Mobile CEO John Legere for his take on earnings and telecom's future.Jim Cramer spoke with T-Mobile CEO John Legere for his take on earnings and telecom's future.Jim Cramer spoke with T-Mobile CEO John Legere for his take on earnings and telecom's future.Jim Cramer spoke with T-Mobile CEO John Legere for his take on earnings and telecom's future.Jim Cramer spoke with T-Mobile CEO John Legere for his take on earnings and telecom's future.Jim Cramer spoke with T-Mobile CEO John Legere for his take on earnings and telecom's future.Jim Cramer spoke with T-Mobile CEO John Legere for his take on earnings and telecom's future.Jim Cramer spoke with T-Mobile CEO John Legere for his take on earnings and telecom's future.,202,2017-04-24,TMUS,-0.01883237161835348
1,2017-04-25,"Drake is the real winner in the battle between Verizon, T-Mobile and AT&T  ","Kevin Mazur | WireImage | Getty Images
Taylor Swift and Drake
 AT&T and T-Mobile may be declaring victory among the mobile carriers this earnings season, but the real winner is another group entirely: Drake fans.
 All three major wireless carriers saw less adjusted revenue than expected during the latest quarter, with AT&T reporting results on Tuesday and T-Mobile a day earlier.  But as they roll out unlimited data plans to compete, consumers are using more bandwidth than ever — a boon to artists like Drake. 
T-Mobile sees data volumes growing about 40 percent year-over-year, technology chief Neville Ray told analysts on a conference call, with operating chief G. Michael Sievert adding that ""the era of the data bucket is over."" AT&T CEO Randall Stephenson noted that unlimited data plans increase mobile video usage and ""made an already competitive market even more so.""
 Verizon said last week that the launch of Verizon Unlimited helped stem customer losses toward the end of the quarter, noting that LTE data traffic increased 57 percent over the prior year in the first quarter.
 Streaming has hit new highs
 Meanwhile, Drake's new album ""More Life"" hit a record in March for most streams in a single week in the U.S., according to Nielsen.
While it's unclear how many of those are on mobile, it's increasingly becoming the medium of choice as data restrictions loosen. An Accenture report published this week saw a steep decline among those who prefer a TV set to laptops, desktops and smartphones.
Other streaming services have also made big strides on mobile. Netflix, for instance, added slightly fewer-than-expected subscribers in the first quarter, but that didn't stop it from crushing rivals in the App Store, where Sensor Tower estimates sales grew 63 percent in the first quarter. Six of Sensor Tower's top non-game apps by revenue were for streaming video or music. Just last week, YouTube jumped to the top of the App Store thanks to live streaming, according to separate data.
So while Drake's fans ""used to call him on his cell phone,"" maybe now they are using it to stream him instead.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",201,2017-04-25,TMUS,-0.021309329731164468
2,2017-05-08,Sprint needs T-Mobile: Trader  ,The Fast Money traders predicts the next big media merger.The Fast Money traders predicts the next big media merger.The Fast Money traders predicts the next big media merger.The Fast Money traders predicts the next big media merger.,192,2017-05-08,TMUS,0.0051266698533986394
3,2017-05-10,SoftBank seeks talks for Sprint merger with T-Mobile USA  ,"Tomohiro Ohsumi | Getty Images
SoftBank Group Corp. Chairman and Chief Executive Officer Masayoshi Son speaks during a press conference on May 10, 2017 in Tokyo, Japan.
 SoftBank will seek talks to merge its US mobile business Sprint with rival T-Mobile USA to trigger a long-awaited consolidation in the US telecoms sector, according to its chief executive."" Our top choice remains T-Mobile. We will be open and sincere as we aim to launch negotiations,"" Masayoshi Son,
""Our top choice remains T-Mobile. We will be open and sincere as we aim to launch negotiations,"" Masayoshi Son, billionaire founder of the Japanese internet and telecoms group, said at a news conference in Tokyo for its full-year results.
US telecom groups have been temporarily unable to discuss deals during a government-run auction of airwaves. Investors are now bracing for a flurry of deals following completion of the spectrum auction amid hopes the new US administration will be more open to deals that would transform the industry.
 More from Financial Times: South Korea's Moon Jae-in offers olive branch at inaugurationUK tech investors face loss of significant funding after BrexitMacron's luck persists as economic recovery gathers pace
T-Mobile, the third-largest US wireless carrier, is seen as the potential kingmaker as companies including Sprint, Dish and Comcast weigh their options. By aggressively acquiring airwave capacity worth $8bn across the US, T-Mobile, however, does not seem as desperate to find a merger partner.
Mr Son also said he would explore possibilities other than a combination with T-Mobile: ""We're basically open to anything. If there is an opportunity that will lead to industry realignment under better conditions, we will study [each option] with an open mind.""
A combination of Sprint and T-Mobile USA, which is controlled by Germany's Deutsche Telekom, has been discussed in the past given the prospect of bringing together the two smaller US mobile networks to better challenge AT&T and Verizon.
However, the deal encountered opposition among competition regulators. Mr Son said that the US administration was now more open to the possibility of a deal.
Mr Son's comments came as SoftBank, which also owns UK chip designer Arm, is nearing the launch of a Saudi-backed $100bn investment fund.
Mr Son said most of the Vision Fund details have been worked out as the billionaire seeks the firepower to pursue ambitious deals without further increasing the group's debt level.
The biggest investor in the Vision Fund is Saudi Arabia's Public Investment Fund, which said last year it would contribute up to $45bn, while SoftBank is putting in about $25bn. Others planning to invest at a smaller scale include Apple, Qualcomm and Oracle founder Larry Ellison, as well as Foxconn, the Taiwanese electronics manufacturer.
Earlier on Wednesday, SoftBank said its net profit for the fiscal year that ended in March more than tripled from a year earlier to ¥1.43tn ($12.5bn), topping the ¥1tn mark for the first time.
Sprint posted a deeper than expected net loss in its most recent quarter but has shown signs of a turnround under chief executive Marcelo Claure by improving its network and cutting prices.
Mr Son also confirmed SoftBank has been consulted by Foxconn about a bid for Toshiba's flash memory business. People with knowledge of the talks have said Foxconn, which is listed as Hon Hai Precision Industry, has also approached Apple about a potential joint bid for the chip division that Toshiba wants to sell for at least $20bn.
""It is true that we have received various consultations, but we are not the main player. This is a deal that should be mainly studied by Foxconn and Apple,"" Mr Son said.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",190,2017-05-10,TMUS,-0.0076045993852193045
4,2017-05-12,"Red-hot telecom deal market about to get even hotter with reported Sprint, T-Mobile tie-up talks  ","Getty Images
 It's a great time to be a telecom investment banker and it may get a lot better.The value of telecom M&A deals is already up 27 percent year to date to $38.8 billion through Thursday, according to Thomson Reuters data. And that was before Bloomberg News reported Sprint approached T-Mobile-owner Deutsche Telekom to discuss a merger with the U.S. wireless carrier.
 Deutsche Telekom owns a 64 percent stake in T-Mobile, according to FactSet. ""Sprint Corp. has started preliminary conversations to merge with T-Mobile US Inc. ... Executives of both SoftBank Group Corp., Sprint's largest shareholder, and Sprint itself have had informal contact with T-Mobile owner Deutsche Telekom AG about a transaction,"" the report said, citing people familiar with the matter.
 show chapters
 Legere: Key drivers to T-Mobile's success   
 6:57  PM ET Mon, 24 April 2017 |  01:28 
 T-Mobile has a current market value of $54 billion compared with Sprint's $32 billion, according to FactSet. Given the size of the companies a merger between the two wireless carriers would be the largest deal of the year.
 Johnson & Johnson's $31.4 billion acquisition of Actelion in January was the biggest deal so far in 2017, according to Dealogic data. ""The TMT [tech media telecom] sector has been one of the hottest sectors in the last few years, and if a T-Mobile-Sprint merger goes ahead, it would push deal volume in this sector this year to levels not seen since before the financial crisis,"" Dealogic's head of Americas M&A research, Agnieszka Zalecka, wrote in an email. ""The deal will face huge regulatory scrutiny, and previous talks for Sprint to buy T-Mobile fell through in 2014 because of regulatory concerns.""As mentioned, Sprint was forced to abandon its attempt to acquire T-Mobile three years ago. However, the companies may believe large telecom consolidation is possible under the President Donald Trump administration. Deutsche Telekom CEO Tim Hoettges also hinted Thursday, he is open to a T-Mobile deal. ""Purely theoretically, we can see several advantages to consolidation and convergence,"" Hoettges said according to a Reuters report. ""The strong position we have established for ourselves gives us the time and space to evaluate all options together with colleagues in the U.S."" If the merger talks get serious, other companies may decide to jump into the fray. Bloomberg News reported in April that Sprint thinks it may get acquisition interest from cable companies such as Comcast, Charter and Altice. Sprint shares closed up 1 percent on Friday, while T-Mobile stock closed down slightly negative. Both companies did not immediately return requests for comment. Disclosure: Comcast is the owner of NBCUniversal, the parent company of CNBC and CNBC.com.
Watch: CEO Legere on deal chatter
 show chapters
 T-Mobile CEO John Legere on deal chatter: 'Nobody's talking'   
 1:45  PM ET Tue, 14 Feb 2017 |  01:11 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",188,2017-05-12,TMUS,0.003958592258318939
5,2017-05-19,Here’s who loses big time if Sprint and T-Mobile are allowed to merge  Goldman says T-Mobile is a great buy even if it doesn't get acquired  ,"Tomohiro Ohsumi | Getty Images
SoftBank Group Corp. Chairman and Chief Executive Officer Masayoshi Son speaks during a press conference on May 10, 2017 in Tokyo, Japan.
 Washington is awash in speculation that the nation's major communications companies are again looking for consolidation opportunities that could reduce consumer choice. The end of the FCC's spectrum auction, during which companies were prohibited from talking to each other, just may be the starting gun for a merger melee. The question is how the Trump Antitrust Division of the Justice Department and Federal Communications Commission will rule on such consolidations.
 President Trump has been an advocate of competition in the marketplace. We – the former heads of the DOJ's Antitrust Division and the FCC – agree with the president. Consumers lose when companies no longer need to compete on price, quality, service and contract terms. Once competitors are allowed to consolidate, the bell cannot be unrung. Short of a massive breakup effort, the reduction in competition is permanent.
Prices for wireless service — where there are four vigorous national competitors — are down nearly 13 percent in the past year, according to the latest CPI report from the Labor Department. Compare that with cable prices, where a lack of competition has allowed prices to increase 5 percent in the same time period.
 When the government blocks mergers between competitors, good things happen. Recent events confirm our view. Back in 2011, AT&T sought to acquire its smaller rival T-Mobile, reducing the national providers of wireless service from four to three. The FCC and the Department of Justice sued to block the deal and it ultimately was abandoned.
 Patrick T. Fallon | Bloomberg | Getty Images
John Legere, chief executive officer of T-Mobile US.
 In the years that followed, competition reigned. An independent T-Mobile went maverick, abandoning standard-issue terms like two-year contracts and data limits. It spent billions of dollars improving the products it offers; it fought to woo customers by offering lower prices and better services; and it gave customers freedom of choice by offering to pay the early termination fees for those who switched to T-Mobile. T-Mobile's competitors were compelled to respond. Sprint began offering lower prices and better plans. AT&T targeted T-Mobile customers with a $200 credit, plus money for smartphone trade-ins, if they switched to AT&T. T-Mobile responded by offering plans that allow customers to upgrade their phones twice a year. The competition then matched these plans.
Things got so intense that Sprint's owners — SoftBank — approached the two of us a couple of years ago to argue that they should be allowed to buy T-Mobile. The idea of eliminating a pesky rival may have made sense for Sprint. But not for the American consumer. We made that clear, and Sprint reluctantly ditched the idea.
And what has happened since? Competition remains the gift that keeps on giving. When Verizon became the last of the big four wireless carriers to offer an unlimited data plan, they proved, yet again, that competition works. Would that have happened with fewer competitors? Think again, or better yet, look at what has happened in the absence of such competition in cable.
Yet the press reports that SoftBank may once again seek to eliminate its rival T-Mobile, perhaps believing that it will find more sympathetic ears in the new administration. But the merger made no sense before, and it makes no sense today. Ensuring that competition works to consumers' benefit makes policing mergers among competitors a priority that transcends party and politics. Without it, you pay the price. Let's hope the president's professed belief in competition continues and that our successors at DOJ and the FCC act responsibly to block any renewed attempts to stymie the robust wireless competition that consumers are now enjoying.
Commentary by Bill Baer and Tom Wheeler. Baer was Assistant Attorney General for the Antitrust Division of the Department of Justice and Wheeler was Chairman of the Federal Communications Commission.
For more insight from CNBC contributors, follow 
 @CNBCopinion
 on Twitter.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });Daniel Acker | Bloomberg | Getty Images
A T-Mobile store in Chicago, Illinois.
 Goldman Sachs told investors to buy T-Mobile shares, predicting the wireless carrier will thrive financially in the coming years, even if it doesn't participate in industry consolidation.
 The bank added T-Mobile to its Americas conviction buy list and reiterated its buy rating.
""While investors have been focused on M&A given recent press reports, we believe that TMUS's valuation remains attractive based on two potential standalone catalysts: (1) material capital returns as TMUS delevers, and (2) upside to subscriber growth forecasts as TMUS expands distribution,"" analyst Brett Feldman wrote in the note to clients Friday. ""Our analysis that T-Mobile could support a material share repurchase program on a standalone basis should limit downside risk if a proposed transaction is blocked by regulators.""
 The analyst raised his T-Mobile price target to $81 from $74, representing 23 percent upside from Thursday's close. Feldman cited T-Mobile chief financial officer Braxton Carter's earnings conference call comments saying it is looking to return ""cash to our shareholders."" The analyst predicts T-Mobile will be able to return 66 percent of its current market value during the next five years based on his cash-flow and profit growth estimates.
However, the analyst isn't downplaying the potential for wireless industry consolidation.
""We believe market share leaders in the US fixed and mobile sectors may look to acquire companies that accelerate or improve their ability to deliver converged services. As such, we believe that TMUS may be positioned for a series of M&A,"" he wrote.  Bloomberg News reported Sprint approached T-Mobile-owner Deutsche Telekom to discuss a merger with the U.S. wireless carrier on May 12, amid an already hot telecom deal market. T-Mobile's Carter also hinted the company would be open to a merger with Sprint and consolidation with other cable companies at a conference Thursday, according to a Reuters report.""What about Sprint, T-Mobile and a coalition of Comcast and Charter and the value creation that could come out of that?"" Carter said. ""From a shareholder standpoint, that could be very, very exciting."" 
 — CNBC's Michael Bloom contributed to this story. 
 Disclosure: Comcast is the owner of NBCUniversal, the parent company of CNBC and CNBC.com. 
 Disclaimer
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",183,2017-05-19,TMUS,-0.009841853988766358
6,2017-05-24,T-Mobile plots new plan to steal more Verizon customers. Here's how  T-Mobile plots new plan to steal Verizon customers  ,"show chapters
 T-Mobile plots new plan to steal Verizon customers   
 2:44  PM ET Wed, 24 May 2017 |  00:39 
 T-Mobile announced a new promotion on Wednesday targeting Verizon Wireless customers to move to its network.
 T-Mobile is offering to pay the full balance of Verizon customers' phone lease — up to $1,000 — if they switch from Verizon.
The move is an effort by T-Mobile to continue its subscriber growth. The carrier added a higher-than-expected 914,000 subscribers during the first quarter, thanks to similar offerings that have lured customers.
 Verizon's wireless revenues were down 5.1 percent during the first quarter, when it said it lost 307,000 subscribers.
T-Mobile said its new offer applies to customers who are signing up for a new T-Mobile One service line with device protection. T-Mobile One, the company's unlimited service, starts at $70 for one line. Device protection costs an additional $15 per month.
T-Mobile says customers who make the switch will receive a prepaid MasterCard within 15 days, and that customers will be able to keep their same phone number.
The promotion starts on May 31.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });The German carrier announced a new deal on Wednesday, offering to pay up to $1,000 of Verizon customers' phone lease.The German carrier announced a new deal on Wednesday, offering to pay up to $1,000 of Verizon customers' phone lease.The German carrier announced a new deal on Wednesday, offering to pay up to $1,000 of Verizon customers' phone lease.The German carrier announced a new deal on Wednesday, offering to pay up to $1,000 of Verizon customers' phone lease.",180,2017-05-24,TMUS,-0.00398495103381565
7,2017-06-12,Sprint CEO: T-Mobile synergies are enormous  ,CNBC's Melissa Lee reports the highlights of her interview with Sprint President & CEO Marcelo Claure at the eMerge Americas conference.CNBC's Melissa Lee reports the highlights of her interview with Sprint President & CEO Marcelo Claure at the eMerge Americas conference.CNBC's Melissa Lee reports the highlights of her interview with Sprint President & CEO Marcelo Claure at the eMerge Americas conference.CNBC's Melissa Lee reports the highlights of her interview with Sprint President & CEO Marcelo Claure at the eMerge Americas conference.,168,2017-06-12,TMUS,-0.01291746231694809
8,2017-06-20,T-Mobile preparing to merge with Sprint  ,CNBC's Dominic Chu reports on T-Mobile shares popping on the heels of reports saying the company is preparing to merge with Sprint.CNBC's Dominic Chu reports on T-Mobile shares popping on the heels of reports saying the company is preparing to merge with Sprint.CNBC's Dominic Chu reports on T-Mobile shares popping on the heels of reports saying the company is preparing to merge with Sprint.CNBC's Dominic Chu reports on T-Mobile shares popping on the heels of reports saying the company is preparing to merge with Sprint.,162,2017-06-20,TMUS,0.00046878663254019726
9,2017-06-22,Sprint CEO: We'll be a 'formidable competitor' to AT&T if government allows T-Mobile deal  ,"show chapters
 Sprint CEO: Trump was very open, understanding   
 12:40  PM ET Thu, 22 June 2017 |  01:23 
 A combined T-Mobile-Sprint could pose a ""powerful"" threat to telecom giant AT&T, Sprint CEO Marcelo Claure told CNBC on Thursday.
 ""We have looked at every other alternative to make sure we are making the right decision,"" Claure said on ""Halftime Report."" ""If the government works to allow us to combine, we'll be No. 3, but we'll be a formidable competitor and we'll continue to disrupt the industry.""
The Sprint chief spoke after a meeting at the White House with President Donald Trump and other tech leaders to discuss the potential impact of emerging technologies on U.S. industrial workers, among other topics.
 Representatives from Verizon, AT&T and T-Mobile were also at the meeting, Claure said.
On Tuesday, German business newspaper Handelsblatt reported that Deutsche Telekom, T-Mobile's parent, was prepping documents for a potential merger with Sprint. T-Mobile declined to comment but sources said the company is sounding out if there are any government objections to a deal, the newspaper reported. 
T-Mobile did not immediately respond to a request for comment from CNBC.
Wall Street has frequently speculated about a possible merger of the two companies.
On the regulatory issues of such a deal, Claure said with more companies in the telecom market, like Comcast and Google, it is less likely to raise an eyebrow from the government. ""You're talking seven or eight formidable competitors today,"" he said.
More importantly, ""we're going to need to make some serious investments in order to bring 5G to the United States,"" he added. ""And that's going to require to the tune of $40 to $50 billion of investments."" 
 Disclosure: Comcast is the owner of NBCUniversal, the parent company of CNBC and CNBC.com. 
 show chapters
 Sprint CEO: T-Mobile synergies are enormous   
 6:03  PM ET Fri, 23 June 2017 |  04:25 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",160,2017-06-22,TMUS,0.00015731927980202902
