,postDate,headline,articleHTML,Unnamed: 0,date,ticker,daily_change
0,2017-03-01,Think Time Warner deal will go through: Rivada Networks CEO  ,"Rivada Networks CEO Declan Ganley talks about regulation and consolidation in the technology, media and telecommunications sector, with comment on AT&T and Time Warner.
Rivada Networks CEO Declan Ganley talks about regulation and consolidation in the technology, media and telecommunications sector, with comment on AT&T and Time Warner.
Rivada Networks CEO Declan Ganley talks about regulation and consolidation in the technology, media and telecommunications sector, with comment on AT&T and Time Warner.
Rivada Networks CEO Declan Ganley talks about regulation and consolidation in the technology, media and telecommunications sector, with comment on AT&T and Time Warner.
",239,2017-03-01,TWX,-0.0070011954589837
1,2017-03-03,This $15 billion spectrum contract could be an 'issue' for the AT&T Time Warner deal  ,"show chapters
 Think Time Warner deal will go through: Rivada Networks CEO   
 6:18  AM ET Wed,  1 March 2017 |  03:40 
 A $15 billion spectrum contract currently favored to be awarded to AT&T could impact its bid for Time Warner. That's according to Declan Ganley, the CEO of Rivada Networks, who says ""it is hard to imagine the so-called 'FirstNet' contract not being an issue for the Federal Communications Commission.""
 FirstNet is the authority, created by Congress, tasked with building the first high-speed wireless broadband network in the United States dedicated to public safety providers such as police and firefighters.
Unlike other spectrum allocations, this is the first to allow one operator a uniform block in all 56 U.S. states and territories.
 Rivada Mercury, a consortium including Rivada, Intel and network giants Ericsson, Nokia and Fujitsu, had been in the bidding for the FirstNet contract against AT&T.
But Rivada Mercury was excluded from the selection process leaving AT&T as the only company in the running for the contract at the end of 2016. Rivada has sued the U.S. government for what it says is its ""wrongful exclusion."" 
 Michael Nagle | Bloomberg | Getty Images
 The U.S. Court of Federal Claims in Washington will hear oral arguments in this case today.
""I believe that we will end up winning the case and ultimately the FirstNet contract to roll out the nationwide public safety broadband network,"" Ganley said.
The contract will give the winner 20 megahertz of spectrum in the low band space and is considered premium; often being described as the equivalent of ""beachfront property"" in real-estate terms.
According to some expert analysts, including those at Wells Fargo and UBS, the value of the FirstNet contract in spectrum terms is about $8 billion based on current auction prices. This comes with up to $7 billion in funding from FirstNet to help deploy and operate the network.
The spectrum for allocation is 13 percent of the total low band availability in the United States, which added to the 34 percent already owned by AT&T, would give it control of almost half the market.
Analysts at Wells Fargo have said the contract would be ""very positive"" for AT&T's stock.
At the Mobile World Congress in Barcelona, FCC Chairman Ajit Pai told CNBC ""there is currently no reason for the AT&T-Time Warner deal to be reviewed.""
When asked whether the FirstNet contract could change his mind he said: ""I couldn't comment on anything that could alter the analysis of a merger review.""
John Hodulik, a managing director at UBS and industry expert, said: ""I don't think a FirstNet win would change that fact, despite the spectrum holding it would give AT&T.""
He added that if the Department of Justice decides to block the deal, the ""spectrum holdings won't be the issue.""
The AT&T Entertainment Group CEO John Stankey told CNBC that the Time Warner acquisition would give the network giant an important holding of intellectual property.
Stankey added that ""content models were changing so rapidly that IP was essential to be able to innovate in the advertising space and innovate with monetization.""
Commenting on the FirstNet contract, Stankey said that AT&T was ""anxious"" to hear about the decision and said the company is ""ready to go if we're fortunate enough to be awarded that business.""
Seamus Conwell is a producer with CNBC. 
@SeamusConwell
 Follow CNBC International on Twitter and Facebook. 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",237,2017-03-03,TWX,0.0023268764608740185
2,2017-03-20,AT&T CFO: Approach to the Time-Warner deal is a good lesson for every business  ,"At CNBC’s Net Net event in Dallas, AT&T’s CFO John Stephens looked back at how he reacted when the Time Warner deal was first brought to him.At CNBC’s Net Net event in Dallas, AT&T’s CFO John Stephens looked back at how he reacted when the Time Warner deal was first brought to him.At CNBC’s Net Net event in Dallas, AT&T’s CFO John Stephens looked back at how he reacted when the Time Warner deal was first brought to him.At CNBC’s Net Net event in Dallas, AT&T’s CFO John Stephens looked back at how he reacted when the Time Warner deal was first brought to him.",226,2017-03-20,TWX,0.0028449521322313448
3,2017-04-04,"Final Trade: JPM, TWX & more  ","The ""Fast Money"" traders share their final trades of the day including JPMorgan, Time Warner and more.The ""Fast Money"" traders share their final trades of the day including JPMorgan, Time Warner and more.The ""Fast Money"" traders share their final trades of the day including JPMorgan, Time Warner and more.The ""Fast Money"" traders share their final trades of the day including JPMorgan, Time Warner and more.",215,2017-04-04,TWX,-0.0028530689824065106
4,2017-05-04,AT&T CEO: Regulation is a tax on investment  ,"Randall Stephenson, AT&T chairman & CEO, talks about the benefits of tax cuts and regulation reform. If you take regulation down, you get investment up, says Stephenson, sharing his thoughts on net neutrality. Also Stephenson weighs in on AT&T's bid for Time Warner.Randall Stephenson, AT&T chairman & CEO, talks about the benefits of tax cuts and regulation reform. If you take regulation down, you get investment up, says Stephenson, sharing his thoughts on net neutrality. Also Stephenson weighs in on AT&T's bid for Time Warner.Randall Stephenson, AT&T chairman & CEO, talks about the benefits of tax cuts and regulation reform. If you take regulation down, you get investment up, says Stephenson, sharing his thoughts on net neutrality. Also Stephenson weighs in on AT&T's bid for Time Warner.Randall Stephenson, AT&T chairman & CEO, talks about the benefits of tax cuts and regulation reform. If you take regulation down, you get investment up, says Stephenson, sharing his thoughts on net neutrality. Also Stephenson weighs in on AT&T's bid for Time Warner.",194,2017-05-04,TWX,0.00760074599143917
5,2017-05-25,Time Inc. 'begging to be a media company': Edgar Bronfman  ,"Edgar Bronfman Jr., Accretive LLC, and former Warner Music Group CEO, shares his thoughts on Time Inc.'s likely future.Edgar Bronfman Jr., Accretive LLC, and former Warner Music Group CEO, shares his thoughts on Time Inc.'s likely future.Edgar Bronfman Jr., Accretive LLC, and former Warner Music Group CEO, shares his thoughts on Time Inc.'s likely future.Edgar Bronfman Jr., Accretive LLC, and former Warner Music Group CEO, shares his thoughts on Time Inc.'s likely future.",179,2017-05-25,TWX,-0.009809453185064248
6,2017-05-31,Time Warner CEO: Net regulations unfairly favor Google and Facebook  ,"Patrick T. Fallon | Bloomberg | Getty Images
Jeffrey 'Jeff' Bewkes, chairman and chief executive officer of Time Warner Inc.
 Time Warner CEO Jeff Bewkes said Wednesday that existing U.S. regulations covering internet content unfairly favor Facebook and Google and that his company agreed to be acquired by AT&T to better compete with those technology giants.
""You have the FCC putting regulations on cable and telco companies, you have the FTC putting regulations on Facebook that are much more lax. I'd like to see it be even,"" Bewkes said in response to a question about so-called Net Neutrality rules during an onstage interview at the Code Conference in Ranch Palos Verdes, California. 
 Time Warner last year agreed to be acquired by AT&T for $85 billion in a deal that will provide the wireless giant with a stable of news and entertainment content while giving Time Warner new ways of distributing its shows.
AT&T will also get valuable data on its end users, which Bewkes says it needs to better compete for advertising dollars amid stiffer competition from the tech industry.
""We're increasingly competing with West Coast global businesses that want to get in the video business,"" Bewkes told the gathering of tech executives.
Google's YouTube unit now hosts one billion hours of video viewing per day, CEO Sundar Pichai told Wall Street analysts in April, during a conference call to discuss the first-quarter earnings of its parent company, Alphabet.
Facebook is also making a bigger push into video and is reportedly getting ready to roll out its own original shows sometime in June.
Those two Silicon Valley giants accounted for 85 percent of the growth in digital advertising spending last year, according to an annual report on the Internet presented at the conference earlier Wednesday from Mary Meeker, a partner with venture capital firm Kleiner Perkins.
To garner a bigger chunk of that growth, Time Warner needs better data on those who watch its networks, including CNN, HBO, Showtime and Comedy Central.
""We're trying to get more data, to compete more effectively with a much bigger set of data that the digital companies have,"" Bewkes said.
The mega-merger, which Bewkes said is ""good for America,"" is expected to close this year after FCC Chair Ajit Pai said in February the agency doesn't expect to review it.
Cable and telecom companies, including AT&T, have in the past argued against the net neutrality rules enacted two years ago under former FCC chair Tom Wheeler, saying that they unfairly favor firms that use lots of network traffic.
Those rules prevent internet service providers from favoring or discriminating against network traffic from any particular provider, such as Google, Facebook or Netflix. Industry watchers widely expect those rules to be undone by the FCC, which now has a Republican majority.
Disclosure: CNBC parent NBCUniversal is an investor in Recode's parent Vox Media. Recode and NBC have a content-sharing arrangement.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",176,2017-05-31,TWX,-0.005543530801705746
7,2017-06-08,Comey: FBI handles 'tens of thousands' ongoing investigations  ,"In a hearing in front of the Senate Select Intelligence Committee, Former FBI Director James Comey answers questions from Committee Vice Chair Sen. Mark Warner (D-Virginia) about how many ongoing investigations the FBI handles at one time.In a hearing in front of the Senate Select Intelligence Committee, Former FBI Director James Comey answers questions from Committee Vice Chair Sen. Mark Warner (D-Virginia) about how many ongoing investigations the FBI handles at one time.In a hearing in front of the Senate Select Intelligence Committee, Former FBI Director James Comey answers questions from Committee Vice Chair Sen. Mark Warner (D-Virginia) about how many ongoing investigations the FBI handles at one time.In a hearing in front of the Senate Select Intelligence Committee, Former FBI Director James Comey answers questions from Committee Vice Chair Sen. Mark Warner (D-Virginia) about how many ongoing investigations the FBI handles at one time.",170,2017-06-08,TWX,0.004439071050538034
8,2017-06-19,Time Warner just handed Snapchat a $100 million lifeline  Time Warner just handed Snapchat a $100 million lifeline  ,"show chapters
 Time Warner just handed Snapchat a $100 million lifeline   
 2:07  PM ET Mon, 19 June 2017 |  00:32 
 Shares of Snap snapped back to life on Monday after the announcement of a new deal with Time Warner.
 Time Warner will make shows such as scripted dramas and comedies for the ephemeral messaging and augmented reality platform. Snapchat will also get ads from HBO, Turner and Warner Bros. over the next two years, the companies said in a statement.
The deal is valued at $100 million, according to people familiar with the matter. The Wall Street Journal, which previously reported the news, said that talent like Ellen DeGeneres and Samantha Bee could be part of the arrangement.
 The number of shows each day on Snapchat will grow from one per day to three per day by the end of this year, the companies said.
""This partnership is another exciting step as we continue to branch out into new genres, including scripted dramas, comedies, daily news shows, documentaries and beyond,""  Nick Bell, vice president of content for Snap, said in a statement.
Snap shares rose about 3 percent, breaking above $18 a share mid-day Monday. Shares of the company closed at their IPO price of $17 a share on Thursday, after struggling to gain traction in the markets after March's public offering.
 — With reporting by CNBC's Mike Newberg and Bob Pisani
Disclosure: CNBC parent NBCUniversal is an investor in Snap. 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });The number of shows each day on Snapchat will grow from one per day to three per day by the end of this year, the companies said.The number of shows each day on Snapchat will grow from one per day to three per day by the end of this year, the companies said.The number of shows each day on Snapchat will grow from one per day to three per day by the end of this year, the companies said.The number of shows each day on Snapchat will grow from one per day to three per day by the end of this year, the companies said.",163,2017-06-19,TWX,-0.00703167136368079
9,2017-06-28,Cannot imagine AT&T-Time Warner deal doesn't happen: Rob Kindler  ,"Discussing the lull in the M&A market with Rob Kindler, Morgan Stanley vice chairman and global head of M&A, and what he sees for the deal landscape in the second half of the year.Discussing the lull in the M&A market with Rob Kindler, Morgan Stanley vice chairman and global head of M&A, and what he sees for the deal landscape in the second half of the year.Discussing the lull in the M&A market with Rob Kindler, Morgan Stanley vice chairman and global head of M&A, and what he sees for the deal landscape in the second half of the year.Discussing the lull in the M&A market with Rob Kindler, Morgan Stanley vice chairman and global head of M&A, and what he sees for the deal landscape in the second half of the year.",156,2017-06-28,TWX,-0.003217053141497645
