,postDate,headline,articleHTML,Unnamed: 0,date,ticker,daily_change
0,2017-04-20,Visa rallies after strong Q2  ,"CNBC's Deirdre Bosa reports on the after-hours action for Visa following second-quarter results. The ""Fast Money"" traders weigh in.CNBC's Deirdre Bosa reports on the after-hours action for Visa following second-quarter results. The ""Fast Money"" traders weigh in.CNBC's Deirdre Bosa reports on the after-hours action for Visa following second-quarter results. The ""Fast Money"" traders weigh in.CNBC's Deirdre Bosa reports on the after-hours action for Visa following second-quarter results. The ""Fast Money"" traders weigh in.",204,2017-04-20,V,-0.015478473756283816
1,2017-04-21,"Energy, defense, financials & more in the blitz  ","The ""Halftime Report"" experts take you through some of the day's biggest movers, including Visa, Mattel, Honeywell, and GE.The ""Halftime Report"" experts take you through some of the day's biggest movers, including Visa, Mattel, Honeywell, and GE.The ""Halftime Report"" experts take you through some of the day's biggest movers, including Visa, Mattel, Honeywell, and GE.The ""Halftime Report"" experts take you through some of the day's biggest movers, including Visa, Mattel, Honeywell, and GE.",203,2017-04-21,V,0.0
2,2017-04-28,"The 'Golden Visa' program into the US is set to expire, and that's worrying many in China  The future remains uncertain for the so-called 'Golden Visa' program  ","show chapters
 The future remains uncertain for the so-called 'Golden Visa' program   
 9:57  AM ET Fri, 28 April 2017 |  00:56 
 It only took one winter night for a Chinese mother to make the decision to leave her country. In the following two months' time, she rushed to prepare $500,000 in cash, trying to submit all her application documents ahead of April 28 — the expiration date for the current U.S. EB-5 immigrant investor visa program.
 ""My child had been sick for the entire winter and the whole family got respiratory infections due to Beijing's haze weather,"" said Liu, 33, who requested not to share her full name for privacy reasons.
""When I was pregnant, the government promised to treat air pollution. Now, my son is already three years old, but Beijing's haze has only become worse,"" she told CNBC over the phone. ""I need a backup plan.""
 Liu's plan is to obtain U.S. green cards for her family through the EB-5 program, which is often called the ""Golden Visa"" by immigration lawyers because it provides a fast path for rich foreign investors to ""buy"" residency or even citizenship in the U.S.
 The ""Golden Visa""
 Firstly introduced as part of the 1990 Immigration Act, the EB-5 program allows foreigners, who invest between $500,000 and $1 million in qualified projects in the U.S., to apply for permanent resident status for themselves and their families. Generally, the money will be returned to investors within a few years' time.
Initially, the visa program wasn't popular — during the first 18 years, it had always fallen short of the program's annual ceiling of 10,000 quotas. In 2003, for example, the government only issued 65 EB-5 visas to foreign investors.
 show chapters
 The investor EB-5 visa program is set to expire   
 8:36  PM ET Tue,  7 March 2017 |  02:21 
 However, the 2008 financial crisis was a game changer. With liquidity squeezed and few banks willing to lend, developers found the EB-5 program a convenient way to raise cheap capital.
According to the U.S. Commerce Department, between fiscal years 2012 and 2013, more than 11,000 immigrant investors provided a combined $5.8 billion in capital through the EB-5 program and supported 562 projects, which generated about 174,000 jobs in the U.S.
 Growing demand from China
 In recent years, the EB-5 visa program has seen growing interests from Chinese millionaires, with as much as 85 percent of the program's applicants coming from mainland China, according to the U.S. Citizenship and Immigration Services.
""Children's education, less pollution and transferring assets overseas are three top reasons why U.S. green cards are so attractive to many Chinese investors,"" said Law, an EB-5 immigration agent based in Los Angeles, who declined to share his full name for professional reasons.
Law's view was echoed by Liu.
""Many of my friends have already submitted applications for EB-5 visas. A few years ago, only the Chinese super-rich were applying; but now, middle-class families are starting to apply as well,"" Liu told CNBC. ""Some even sell their apartments in order to raise enough money.""
 Potential policy changes
 Despite strong demand from Chinese clients, Law predicted limited room for further growth, pointing to potential policy changes under President Donald Trump's administration, stricter capital control by the Chinese government and the backlog of the EB-5 program itself..
Critics have called for the program's termination, arguing that it has been plagued by widespread fraud and political corruption, which might facilitate money laundering, investment fraud or even terrorist travel.
The current program is up for renewal on Friday, and its fate now rests with the new administration and Congress. Although the White House has not provided any official statement on the program, Trump's earlier immigration actions have stirred fear among EB-5 visa applicants.
 Getty Images
 ""Many clients urged us to file their applications by the April 28 deadline because they are worried that the government will tighten visa rules, or even terminate the program altogether,"" said Law.
In January, the Department of Homeland Security proposed to increase the minimum investment amount required for the EB-5 program from $500,000 to $1.35 million for projects in rural or high-unemployed areas; from $1 million to $1.8 million for developments in low-to-average unemployment areas.
The increase in capital requirement, if approved, would immediately cool down Chinese investors' demand, according to Law.
""Most applicants just can't afford that much money,"" said Law. ""Among my clients, nine out of 10 are investing in the $500,000 program. They are staying in China and are totally thrown into passivity. EB-5 projects are not risk-free — investing more money means higher risks.""
 Stricter capital control
 And stricter capital control measures by the Chinese government might make money transfer more difficult.
In China, the currency exchange quota for individuals remains $50,000 per person per year, but most Chinese EB-5 visa applicants use two ways to avoid currency restrictions. The first is to transfer through underground banks, and the other is called ""Ants Moving House,"" which means to recruit friends or family members to exchange currency and transfer funds overseas.
""Now, you only need 10 people for an amount of $500,000, but you might need to find another 17 people if the new policy increases capital requirement,"" said Law. ""The Chinese government is going after such transfers and will impose stricter control.""
Law told CNBC that his company plans to slowly withdraw the EB-5 visa services on the concern that tightening immigration policies under the Trump administration will cool down the visa business.
 'The long wait' might be shorter
 In recent years, skyrocketing applications from Chinese investors have created a significant backlog and extended the time frame for their petitions to be approved.
""Today, non-Chinese applicants need to wait about 7 years to get the official green card, but Chinese nationals will probably have to wait 10 years due to the backlog,"" Law told CNBC. ""The long wait has made EB-5 visas less attractive.""
However, he does see a silver lining in the new policy.
""Higher capital requirements will result in fewer new applicants. The backlog will then improve and the long wait for Chinese applicants would become shorter,"" he added.
For Liu, the wait is just starting.
""Waiting a few years might not be a bad thing for us,"" said Liu.
""Nobody knows what's going to happen next, but at least this is like buying a 'life insurance' for the family.""
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });The so-called 'Golden Visa' program is expiring, and it's causing concern in China.The so-called 'Golden Visa' program is expiring, and it's causing concern in China.The so-called 'Golden Visa' program is expiring, and it's causing concern in China.The so-called 'Golden Visa' program is expiring, and it's causing concern in China.",198,2017-04-28,V,0.004157100396530253
3,2017-05-08,Visa and Apple shares could see gains if the euro continues to rise  ,U.S. stocks and ETFs that trade higher when the euro rises should see a boost from Emmanual Macron's victory in the French presidential elections.U.S. stocks and ETFs that trade higher when the euro rises should see a boost from Emmanual Macron's victory in the French presidential elections.U.S. stocks and ETFs that trade higher when the euro rises should see a boost from Emmanual Macron's victory in the French presidential elections.U.S. stocks and ETFs that trade higher when the euro rises should see a boost from Emmanual Macron's victory in the French presidential elections.,192,2017-05-08,V,0.001847726192775481
4,2017-05-09,Kushner family stands to gain from visa rules in Trump’s first major law  ,"Cheriss May | NurPhoto | Getty Images
Jared Kushner
 It was the first major piece of legislation that President Trump  signed into law, and buried  on Page 734 was one sentence that brought a potential benefit to the president's extended family: renewal of a program offering permanent residence in the United States to affluent foreigners investing money in real estate projects here.
Just hours after the appropriations measure was signed on Friday, the company run until January by Mr. Trump's son-in-law and top adviser, Jared Kushner, was urging wealthy Chinese in Beijing to consider investing $500,000 each in a pair of Jersey City luxury apartment towers the family-owned Kushner Companies plans to build. Mr. Kushner was even cited at a marketing presentation by his sister Nicole Meyer, who was on her way to China even before the bill was signed. The project ""means a lot to me and my entire family,"" she told the prospective investors.
The sequence of events offers one of the most explicit examples to date of the peril of the Trump and Kushner families maintaining close ties to their business interests and creates an impression they stand to profit off Mr. Trump's presence in the White House. It also illustrates the problems of the so-called EB-5 visa program that prominent Republican and Democratic members of Congress want changed.
 More from New York Times: Grammy Awards Returning to New York After 15 Years Away  'American Idol' Is Coming Back to Television China's Newest Propaganda Format: Children's Bedtime Stories  
""It is just one more dilemma that a family with vast commercial interest has when relatives are in the federal government, particularly the White House,"" said Michael H. Cardozo, who served as a deputy White House counsel in the Carter administration, which struggled with its own controversies related to the president's brother,  Billy Carter, and his work on behalf of an American company seeking to get into the oil industry in Libya. ""The actions of relatives can come back and bite those serving those in the government.""
Bipartisan critics in Washington say they want to revamp the visa program because it is often abused. It supports high-end luxury projects, like the Kushner family deal, instead of promoting job creation in rural America or distressed urban areas, as it was intended. It has also been criticized by federal regulators for insufficient safeguards against illicit money coming into the United States; in the case of one applicant, they found potential financial ties to a string of Chinese brothels.
There is no assertion that Mr. Kushner broke any conflict-of-interest rule; but the law does not prevent his relatives from attempting to exploit those ties to benefit the family business.
Mr. Kushner's portfolio includes a central role on China policy. That role has heightened the Kushner family name in a nation accounting for more than 80 percent of the EB-5 visas issued. Wealthy Chinese see the program as an easy way to legally move to the United States.
In fact, Kushner Companies — when Mr. Kushner was still at the helm — had received $50 million in EB-5 financing for a separate New Jersey project, a Trump-branded luxury high-rise tower in Jersey City that opened late last year.
On Monday, Senator Dianne Feinstein, Democrat of California, called the visa program ""a stark  conflict of interest for the Trump White House."" Meanwhile, the ethics watchdog group Democracy 21 called for Mr. Kushner to recuse himself from all policy dealing with China. The group had previously called for Mr. Kushner to make public a full list of his family firm's overseas business partners and lenders as well as a full divestiture of his business assets into a blind trust.
After a surge in attention to the topic over the weekend, a spokesman for Mr. Trump said on Monday that the president also endorses changes to the visa program, including perhaps increasing the price foreigners must pay to get the special immigration status. A White House statement said the administration ""is evaluating wholesale reform of the EB-5 program to ensure that the program is used as intended and that investment is being spread to all areas of the country.""
The statement also said that Mr. Kushner, who is married to Ivanka Trump, has recused himself from EB-5 related matters: ""Jared takes the ethics rules very seriously and would never compromise himself or the administration."" In a statement from Kushner Companies, Mr. Kushner's sister said it was not her intent to mention her brother as a way to lure investors.
Other family members of presidents have created stirs in past decades — including  Neil M. Bush, President George Bush's son — as they have engaged in outside business ventures that intersected with the federal government. Hillary Clinton's brother Anthony Rodham  was once cited for inappropriate appeals to government officials about a grant through this very same visa program.
But the matters involving Mr. Kushner, the White House and Kushner Companies are different. None of those previous presidential relatives took jobs in the White House while simultaneously benefiting from a multibillion-dollar business with international partners, who also stand to benefit from federal programs.
Although Mr. Kushner has shed stakes in some of the company's investments, he has retained most of his interest, as the main beneficiary of a series of trusts invested in the firm's various projects. His stake, along with some other investments, is worth as much as $600 million, and possibly much more, according to a government ethics disclosure form made public by Mr. Kushner in March. But Kushner Companies has declined to make public a list of its partners.
The firm has received investments or loans from around the world, including Goldman Sachs, the Blackstone Group, Deutsche Bank and Israel's Bank Hapoalim, the subject of a United States Justice Department tax investigation. Last month, The New York Times  reported that the Kushners had partnered with at least one member of Israel's wealthy Steinmetz family. The family's most well-known member, Beny Steinmetz, is the subject of a Justice Department investigation into alleged bribes.
And in March, Mr. Kushner's firm said it  ended talks with Anbang Insurance Group, a Chinese company with ties to ruling members of the country's Communist Party. Those talks began around the time President Trump secured the Republican nomination and also raised questions because of the potentially favorable terms for Kushner Companies.
When it was created in 1990, the EB-5 visa program was intended to provide a new source of financing for projects in underserved areas, defined as places with high unemployment. But there are no federal standards for defining such neighborhoods. And developers often provide gerrymandered maps to qualify under the program.
The Kushner project in Jersey City ""is a textbook example of the abuses we have seen in the last six or seven years,"" said Shae Armstrong, a Dallas lawyer who has joined with members of Congress, including Senators Charles E. Grassley, Republican of Iowa, and Ms. Feinstein, to call for changes in the program.
That part of Jersey City, less than three miles from Manhattan, is hardly an economically depressed area, and a luxury apartment building is going to create few permanent jobs. ""And it is why other towns in rural America are not getting EB-5 money,"" Mr. Armstrong said.
Indeed, in the Beijing presentation delivered by Mr. Kushner's sister, the firm cited the high household income of the majority of the residents — between $100,000 and $200,000 — in the Trump-branded building that has already received EB-5 financing.
The $1 billion Kushner project at the center of the current controversy is a set of high-rise towers — including 1,730 apartments and 89,000 square feet of retail space. The company is seeking $150 million through the EB-5 program.
Traditional lenders can charge interest of 12 to 18 percent, said Gary Friedland, a professor at New York University who has written extensively about the program. But EB-5 loans can wind up costing developers as little as 4 percent, he said.
""The immigrant investor's primary purpose is to secure a visa, so they accept minimal interest, as low as half a percent,"" Mr. Friedland said.
For developers, said Steve Yale-Loehr, an immigration law professor at Cornell University, the appeal of EB-5 can be summed up in two words: ""Cheap money.""
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",191,2017-05-09,V,-0.0008699435085399963
5,2017-05-16,These CNBC IQ 100 stocks are hitting all time highs today  ,"CNBC's IQ 100 has Amazon, Deere, Broadcom and Visa hitting all time highs today.CNBC's IQ 100 has Amazon, Deere, Broadcom and Visa hitting all time highs today.CNBC's IQ 100 has Amazon, Deere, Broadcom and Visa hitting all time highs today.CNBC's IQ 100 has Amazon, Deere, Broadcom and Visa hitting all time highs today.",186,2017-05-16,V,0.0008584612610047687
6,2017-05-19,How to woo Chinese investors: With Visa offers and the Trump name  ,"Getty Images
The site of the One Journal Square luxury apartment project stands in Jersey City on May 9, 2017 in Jersey City, New Jersey.
 For Chinese citizens, American green cards can be notoriously difficult to obtain. But a Beijing immigration company called Qiaowai tells visa applicants of a secret weapon: It is working on behalf of a real estate firm owned by the family of President Trump's son-in-law and adviser, Jared Kushner.
""They said the president would make sure it came through,"" said Lu Ling, a technology executive in the southern Chinese city of Guangzhou. ""They said there was no chance it could fail.""
As it builds two luxury  apartment buildings in Jersey City, the Kushner family is trying to raise $150 million from Chinese investors through  the so-called EB-5 program, which offers visas in exchange for a $500,000 investment. To get it done, the Kushners have turned to a pair of middlemen who have capitalized on a lucrative government program that critics say has little oversight and loose rules.
 More from New York Times:Roger Ailes: The man who mined a divided America The 10 and a half months that shook Fox News Uber threatens to fire star engineer in legal battle over driverless cars
The companies, Qiaowai and U.S. Immigration Fund, are the go-to matchmakers for big American developers.
They have helped find Chinese investors for many developers' giant projects, including numerous luxury high-rises in Manhattan, a sprawling complex of apartment buildings in Brooklyn and a golf course in Boca Raton, Fla. Last year, they brought Rudolph W. Giuliani, New York City's onetime mayor, to Beijing to speak to potential investors.
Both firms have faced questions about their tactics.
Qiaowai, with more than 400 employees at its headquarters on the 32nd floor of a high-rise, has trumpeted its political connections and played down the program's financial risks. On the Kushner project, Qiaowai promised safe investments and ""guaranteed"" green cards, according to emails and text messages sent to clients and reviewed by The New York Times.
American regulators  warn  against such promises, though foreign firms like Qiaowai are outside the control of the immigration authorities in the United States, who oversee the program. Qiaowai declined to comment.
U.S. Immigration Fund, based in Jupiter, Fla., has been accused by a former top executive of improperly using investor visa funds, and its chief executive has had legal troubles. The firm is a leading lobbying force in Washington, spending $820,000 since early 2015 to block changes to the EB-5 program's rules.
The efforts to raise money in China highlight the potential conflicts between Mr. Kushner's  White House role and Kushner Companies. Although he stepped down as chief executive in January, Mr. Kushner still stands to profit from the company's business, since he is the primary beneficiary of trusts invested in most of its projects.
""No one at Kushner Companies was aware of any statement or guarantee,"" Risa Heller, a company spokeswoman, said in response to questions about Qiaowai. ""They did not and would not authorize that kind of language."" She declined to answer any questions about U.S. Immigration Fund.
Both immigration firms this week removed from their websites descriptions of Kushner projects. ""These are reports for investors and they are still up on the company's password-protected investor portal,"" said Stu Loeser, a spokesman for U.S. Immigration Fund.
The Kushners' tactics for raising money in China is spurring renewed calls for an overhaul of the visa program. The program began in 1990 as a way to revitalize poor neighborhoods, but has turned into a source of cheap financing for luxury developers. It has garnered a reputation  for fraud and abuse. Last month, federal agents  executed search warrants in connection with an investigation into an alleged scheme to defraud EB-5 investors from China.
About 75 percent of the 10,000 visas awarded each year go  to Chinese investors, who are primarily driven by the desire to get a visa, rather than profits. After fees to middlemen, they generally don't make money.
Mr. Kushner's sister, Nicole Meyer, was criticized after mentioning her brother's White House connections when she visited China this month to promote the New Jersey development. Ms. Meyer  later apologized, saying it was not her intention to use her brother's ties to the Trump administration to lure investors.
But the family's Chinese representatives have repeatedly invoked Mr. Trump's name as a selling point.
Qiaowai, which has worked with the Kushners since 2013, describes itself in ads as the company Mr. Trump uses to ""dig for gold."" Its leader, a former banker named Ding Ying, has tried to project an image of proximity to the president, chronicling on the company's website her visit to Washington in January to attend his inauguration. She said she ""exchanged a few words"" with Mr. Trump.
Connecting Qiaowai with the Kushner family is Nicholas A. Mastroianni II, the chief executive of U.S. Immigration Fund. A prodigious fund-raiser, he claims to have collected more than $1.7 billion in EB-5 money since 2010.
He travels frequently to China, reassuring Chinese investors worried about moving abroad, including helping their children adjust and throwing dinners. He also regularly goes to New York City, via private jet, where he has helped finance megaprojects for some of the city's biggest real estate developers.
The Kushner family has turned to Mr. Mastroianni at least twice to finance its ambitions. In 2013, it raised $50 million from 100 investors for a Trump-branded luxury high-rise apartment building in Jersey City, which opened last year. This spring, it announced it would seek the $150 million in EB-5 money for the latest Jersey City project, known as One Journal Square.
In 2014, Fortune magazine found Mr. Mastroianni had faced legal troubles with creditors, partners and the federal Labor Department. In one case, a federal bankruptcy court trustee said he ""knowingly and fraudulently"" failed to hold onto records of his assets.
Several former business partners have filed lawsuits against him, court records show. In a dispute over a stake in the company, David Finkelstein, his former chief financial officer, accused Mr. Mastroianni in a 2015 countersuit of misspending EB-5 funds in a series of projects, including several that involved Qiaowai. He claimed Mr. Mastroianni ""funneled money in and out of various accounts"" in ways that failed to comply with EB-5 requirements.
The litigation was settled, and both sides declined to comment.
In China, Mr. Mastroianni found a ready partner in Ms. Ding of Qiaowai, who built an empire on sending Chinese families abroad.
Qiaowai, founded in 1999, has flourished as the ranks of wealthy Chinese have surged. Such firms often charge more than $50,000 as a finder's fee, commissions that can add up to tens of millions of dollars on large development projects.
Ms. Ding had a motto — ""only genuine and safe investments"" — and a vision of becoming a one-stop destination for wealthy families, helping them find schools, pay taxes and obtain insurance. When speaking at a fund-raising event in early May at the Ritz-Carlton in Beijing, with Mr. Kushner's sister in attendance, Qiaowai representatives said that citizenship and getting money back were ""highly guaranteed.""
Ms. Ding's close relationship with Mr. Mastroianni ensured an advantage in the Chinese market. Mr. Mastroianni routinely brought celebrities, including the golfer Jack Nicklaus, and former American government officials to China, helping burnish the credibility of Qiaowai.
One such guest, Mr. Giuliani, promoted another developer's Times Square project to potential investors at an event in Beijing last year. In a news release at the time, Qiaowai referred to itself and its Florida partner as the ""two most powerful giants in the Sino-U.S. immigration industry.""
Mr. Giuliani factored prominently in Qiaowai's advertising; the company described him to Chinese audiences as America's likely next secretary of state. His law firm, Greenberg Traurig, is the main lobbyist for a trade group fighting changes to the rules of the EB-5 program.
Mr. Giuliani and his firm did not respond to requests for comment.
Prominent former politicians are a staple for U.S. Immigration Fund and other EB-5 promoters. Former Gov. George E. Pataki of New York spoke alongside Mr. Mastroianni at an industry panel in Shanghai, and the former New York State economic development official Charles A. Gargano is the firm's executive director.
Mr. Mastroianni's firm was at the forefront of efforts to stop an overhaul of the EB-5 program in 2015 and 2016, lobbying records show. The firm hired former Representative Ron Klein of Florida, now a lobbyist at Holland & Knight, to make its case on Capitol Hill and court investors in China. Mr. Mastroianni's company also used another lobbyist, former Senator Alfonse M. D'Amato of New York.
""We generally support the reforms relating to oversight, integrity and governance,"" said Mark Giresi, the chief operating officer for U.S. Immigration Fund. ""We oppose efforts to treat urban markets differently than rural markets.""
For Kushner partners, the election of Mr. Trump represented an opportunity.
Mr. Mastroianni's son, Nicholas Mastroianni III, president of U.S. Immigration Fund, donated $100,000 to Mr. Trump's inauguration.
Qiaowai unrolled a series of advertisements featuring Mr. Trump. ""For a company that has cooperated with the Trump family,"" said one ad, ""there is no need to defend itself against rumors about fraud and questions like, 'Is Qiaowai reliable?'""
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",183,2017-05-19,V,-0.008360980353214633
7,2017-05-25,Seven iQ 100 members hit all-time highs  ,"Seven CNBC iQ 100 members beating new all time highs today. Amazon, Stryker, Unitedhealth, Deere, Fiserv, Mastercard and Visa,  the index is beating the broader the market over the past year, up more than 20 percent. for more CNBC.com/iq1000 Now back to the Halftime report. Seven CNBC iQ 100 members beating new all time highs today. Amazon, Stryker, Unitedhealth, Deere, Fiserv, Mastercard and Visa,  the index is beating the broader the market over the past year, up more than 20 percent. for more CNBC.com/iq1000 Now back to the Halftime report. Seven CNBC iQ 100 members beating new all time highs today. Amazon, Stryker, Unitedhealth, Deere, Fiserv, Mastercard and Visa,  the index is beating the broader the market over the past year, up more than 20 percent. for more CNBC.com/iq1000 Now back to the Halftime report. Seven CNBC iQ 100 members beating new all time highs today. Amazon, Stryker, Unitedhealth, Deere, Fiserv, Mastercard and Visa,  the index is beating the broader the market over the past year, up more than 20 percent. for more CNBC.com/iq1000 Now back to the Halftime report. ",179,2017-05-25,V,-0.0024229666844671088
8,2017-05-30,"The must-buy credit card stock  “Fast Money” final trades: V, BABA & more  ","The “Fast Money” trader Pete Najarian breaks down why he thinks Visa is the must-buy credit card stock. The “Fast Money” trader Pete Najarian breaks down why he thinks Visa is the must-buy credit card stock. The “Fast Money” trader Pete Najarian breaks down why he thinks Visa is the must-buy credit card stock. The “Fast Money” trader Pete Najarian breaks down why he thinks Visa is the must-buy credit card stock. The ""Fast Money"" traders share their final trades of the day including Visa, Alibaba and more. The ""Fast Money"" traders share their final trades of the day including Visa, Alibaba and more. The ""Fast Money"" traders share their final trades of the day including Visa, Alibaba and more. The ""Fast Money"" traders share their final trades of the day including Visa, Alibaba and more. ",177,2017-05-30,V,-0.0005280109948956796
9,2017-05-31,It will now cost you $7 to send an email to the British government  ,"Daniel Berehulak | Getty Images
People arriving at Heathrow Airport
 From June 1, anyone who emails the UK's visa and immigration service from outside the country will now have to pay £5.48 ($7).
A private company called Sitel UK is taking charge of the government visa service from Thursday and the government website now states that people ""will need to pay using a credit or debit card for contacting us by email.""
 The fee is applicable to general enquiries and will relate to both those seeking to work in the U.K. as well as holidaymakers who need a visa to visit Britain.
The U.K. government said the changes will help cut costs and ""ensure those who benefit directly from the U.K. immigration system make an appropriate contribution"".
Additionally, the number of languages offered by the service is being reduced to 8 from 20.
Services will be now only be offered in English, Mandarin, Cantonese, Arabic, French, Hindi, Russian and Spanish.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",176,2017-05-31,V,-0.0053698470702591115
