,postDate,headline,articleHTML,Unnamed: 0,date,ticker,daily_change
0,2017-07-06,Wells Fargo: buy these retailers that have gotten “too cheap”  ,"Retail's had a rough run this year, with the XRT down eight percent year-to-date.
 With the sector under pressure, Wells Fargo's senior research analyst, Ike Boruchow, says now's the time to buy some of the names that ""have simply gotten too cheap.""
 show chapters
 Wells Fargo: possible upside in ""too cheap"" retail names   
 1:46  PM ET Wed,  5 July 2017 |  05:44 
 He notes that they're not ""fundamental bulls on the group,"" but that names such as PVH, HanesBrands, Signet Jewelers, L Brands, Sally Beauty Holdings, and Ralph Lauren have been selling off, and now show potential upside for the second quarter.
 Boruchow argues that as retail stocks begin to stabilize, investors will ""flock back"" to the increasingly cheap names.
 Hero Images/Getty Images
 ""There were a lot of headwinds in Q1 around late Easter weather and tax refunds that caused a lot of volatility for those businesses but when we look at our group, the setup in the Q2 is much more favorable,"" he said.
Of the six names, Boruchow names PVH as the best stock to own. Up nine percent year-to-date, it's ""growing the bottom line 15%, and taking market share both domestically and internationally."" Boruchow went on to say that owning the brand ""is kind of becoming sexy again.""
 Majority of Wall Street strategists see big stock market gains in the second half: CNBC survey
 ""Halftime Report"" trader Stephanie Link is hunting for under-valued plays, and on Wednesday she picked up shares of TJX. Countering Boruchow's pick of PVH, Links says that while she likes PVH, she believes that ""the risk reward at TJX is better than at PVH.""
While Boruchow suggests the tide might be turning for select retailers, he's quick to point out that this call isn't on the sector more broadly. There are ""too many high-level concerns around e-commerce penetration and Amazon,"" he said.
Trader disclosure: Stephanie Link owns TJX and Amazon.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });",151,2017-07-06,WFC,0.003951864313199809
1,2017-07-11,Trump Jr. emails are not a concern to the market in current state: Kristi Mitchem  ,"Kristi Mitchem, president of Wells Fargo Asset Management, discuss how the markets are reacting to the recent news of the connection between Donald Trump Jr. and Russia.Kristi Mitchem, president of Wells Fargo Asset Management, discuss how the markets are reacting to the recent news of the connection between Donald Trump Jr. and Russia.Kristi Mitchem, president of Wells Fargo Asset Management, discuss how the markets are reacting to the recent news of the connection between Donald Trump Jr. and Russia.Kristi Mitchem, president of Wells Fargo Asset Management, discuss how the markets are reacting to the recent news of the connection between Donald Trump Jr. and Russia.",148,2017-07-11,WFC,0.009943135340290052
2,2017-07-12,One top strategist doubles down on his call to fade the 2017 rally  ,"Scott Wren, senior global equity strategist for Wells Fargo, discusses why he thinks the market rally is fading. The “Fast Money” traders weigh in.Scott Wren, senior global equity strategist for Wells Fargo, discusses why he thinks the market rally is fading. The “Fast Money” traders weigh in.Scott Wren, senior global equity strategist for Wells Fargo, discusses why he thinks the market rally is fading. The “Fast Money” traders weigh in.Scott Wren, senior global equity strategist for Wells Fargo, discusses why he thinks the market rally is fading. The “Fast Money” traders weigh in.",147,2017-07-12,WFC,-0.00235913365925128
3,2017-07-13,"Fed is prepared to act against Wells Fargo if warranted, Yellen says  Yellen: Prepared to take action on Wells Fargo's board if appropriate  Wall Street learned it's not smarter than Janet Yellen, says Wells Fargo strategist  Closing Bell Exchange: Watch ECB & for signals on Fed's balance sheet reduction  Wells Fargo among highest dividend yields: Morningstar's Sinegal  ","show chapters
 Yellen: Prepared to take action on Wells Fargo's board if appropriate   
 9:46  AM ET Fri, 21 July 2017 |  05:52 
 Sen. Elizabeth Warren intensified her attacks on Wells Fargo, pressing Fed Chair Janet Yellen on Thursday to remove all of the bank's directors who were on board during its fake accounts scandal.
 Yellen said the central bank is investigating the matter and will act should the facts warrant. The bank defended the steps it has taken to address its problems.
Warren previously had sent Yellen a letter asking for the board members' dismissal. The Massachusetts Democrat revealed that Yellen has since replied to that request, acknowledging that the Fed has the authority to act.
 ""How could removal of these board members not be warranted given the facts that we already know?"" Warren said during Yellen's semiannual testimony before the Senate Banking Committee.
Wells Fargo already has paid millions in fines and is nearing a settlement in a class-action lawsuit over the scandal, in which employees created some 2 million fake accounts for customers without their knowledge. They did so to meet aggressive sales goals that called for employees to use cross-selling techniques to enroll customers in as many programs as possible.
More than 5,000 employees have been fired in connection with the scandal, but Warren said that's not enough. She said the bank clearly has run afoul of Fed regulations calling for proper risk management, and people at the top should pay.
""Can you explain to me how the Wells board can possibly have satisfied its obligations under the Fed's risk management regulations?"" Warren said.
Yellen would not comment specifically on what actions the Fed will take, but she also was critical of the bank's actions.
""I will say that the behavior that we saw was egregious and unacceptable,"" she said. ""We do have the power if it proves appropriate to remove directors. A number of actions already have been taken. We need to conduct a thorough investigation to look at the full record to understand the root causes of the problems. We are certainly prepared to take enforcement actions if those prove to be appropriate.""
Warren, though, wasn't satisfied. She pointed out that the Fed already fined Wells Fargo in 2011 for illegally pushing mortgage borrowers into more expensive loans.
""Fines are not working with these giant financial institutions,"" the senator said. ""If bank directors who preside over the firing of thousands of employees for creation of millions of fake accounts can keep their jobs, then I think every bank director in this country knows that they are bulletproof and that poses a danger to the rest of us every single day.""
Wells Fargo representatives defended the actions the bank has taken to address the problems.
""Wells Fargo's board and management team have taken many actions in response to its retail sales practices issues, including changes in senior leadership, executive accountability actions and numerous steps to ensure we make things right with any customer affected by unacceptable sales practices. That work continues and remains a core part of our efforts to build a better Wells Fargo for the future,"" the bank said in a statement.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });In her testimony to the Senate Banking Committee, Federal Reserve Chair Janet Yellen answers questions on the removal of Wells Fargo board members.In her testimony to the Senate Banking Committee, Federal Reserve Chair Janet Yellen answers questions on the removal of Wells Fargo board members.In her testimony to the Senate Banking Committee, Federal Reserve Chair Janet Yellen answers questions on the removal of Wells Fargo board members.In her testimony to the Senate Banking Committee, Federal Reserve Chair Janet Yellen answers questions on the removal of Wells Fargo board members.show chapters
 Closing Bell Exchange: Watch ECB & for signals on Fed's balance sheet reduction   
 4:40  PM ET Thu, 13 July 2017 |  03:27 
 Wall Street learned on Thursday it doesn't know more than Federal Reserve Chair Janet Yellen, said Wells Fargo chief equity strategist John Manley.
""She's aware of the inflation risks, she's aware of the deflation risk, she's aware of the asset bubble risk,"" Manley told CNBC's ""Closing Bell."" ""She's aware of all these things, and she's going to proceed cautiously.""
 The stock market was ready for another day of Yellen's testimony on Capitol Hill. On Wednesday, Yellen said the Fed would start to unravel its balance sheet later this year. She said the process would be gradual, and so would rate hikes.
""We started out with a bounce in the morning hoping that Yellen would bring another box of candy to the game,"" Art Cashin, managing director at UBS Financial Services, said on ""Closing Bell."" ""When she failed to do that, the market pulled back.""
Oil led a midday rally that was later bolstered by the Senate's debut of a new health-care bill, Cashin said. Wall Street was less concerned about the outcome of that particular bill and more concerned about what that meant for tax reform, he said.
""Finding a health-care bill that was not dead on arrival gave them the feeling not so much about health care but that maybe tax reform might have some life if these guys can get close to agreeing on health care,"" Cashin said.
Wall Street's optimism may be short-lived, however, as two key senators voiced their opposition to the bill Thursday.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });Discussing the current state of the markets with CNBC Contributor Art Cashin from UBS Financial Services, John Manley, chief equity strategist for Wells Fargo Funds and CNBC’s Rick Santelli.Discussing the current state of the markets with CNBC Contributor Art Cashin from UBS Financial Services, John Manley, chief equity strategist for Wells Fargo Funds and CNBC’s Rick Santelli.Discussing the current state of the markets with CNBC Contributor Art Cashin from UBS Financial Services, John Manley, chief equity strategist for Wells Fargo Funds and CNBC’s Rick Santelli.Discussing the current state of the markets with CNBC Contributor Art Cashin from UBS Financial Services, John Manley, chief equity strategist for Wells Fargo Funds and CNBC’s Rick Santelli.Kenneth Leon, equity analyst at Standard & Poor's Capital IQ, and Jim Sinegal, Morningstar, discusses how the Fed increasing deposit rates could impact the banks.Kenneth Leon, equity analyst at Standard & Poor's Capital IQ, and Jim Sinegal, Morningstar, discusses how the Fed increasing deposit rates could impact the banks.Kenneth Leon, equity analyst at Standard & Poor's Capital IQ, and Jim Sinegal, Morningstar, discusses how the Fed increasing deposit rates could impact the banks.Kenneth Leon, equity analyst at Standard & Poor's Capital IQ, and Jim Sinegal, Morningstar, discusses how the Fed increasing deposit rates could impact the banks.",146,2017-07-13,WFC,-0.007763873972197252
4,2017-07-14,"Wells Fargo earnings: $1.07 a share, vs $1.01 EPS expected  Investors poured money into banks before earnings, then got burned  Wells Fargo official: Executives have been held accountable for scandal  Markets open slightly higher on choppy economic data  Wells Fargo CFO: There’s a lot to like about this past quarter  Wells Fargo beats but quality wasn't as good as expected: Vining Sparks's Marty Mosby  Three major US banks to report, here's one analyst's take  ","show chapters
 Wells Fargo beats but quality wasn't as good as expected: Vining Sparks's Marty Mosby   
 9:14  AM ET Fri, 14 July 2017 |  03:02 
 Wells Fargo, the third-largest U.S. bank by assets, easily beat Wall Street expectations with second-quarter earnings of $1.07 per share but revenue was light and shares fell.
 The decline in the stock price wiped out Wells' gains for the year. The bank had been expected to show profit of $1.01 per share on revenue of $22.47 billion. Revenue came in at $22.17 billion. Shares dropped more than 1 percent in premarket trading following the release.
Total profit was $5.81 billion, or 4.5 percent from a year ago. 
 Big banks shares overall were taking a hit before the bell as traders were disappointed as well in earnings from JPMorgan Chase and Citigroup. Trading was lower across the board; net gains from trading for Wells declined 28 percent for the quarter.
Bottom-line earnings got a boost from a 4-cent tax benefit on the sale of Wells Fargo Insurance Services. 
Total average deposits were $1.3 trillion, up $64.5 billion, or 5 percent and total average loans stood at $956.9 billion, up $6.1 billion, or 1 percent. Mortgage banking income tumbled 18 percent to $1.15 billion.
The closely watched return on equity metric stood at 11.95 percent, ahead of the 10 percent cost of capital benchmark.
The report comes at a critical time for the bank, which has been battling reputation damage done following revelations last year that employees had been creating millions of accounts for customers without their knowledge.
""Second quarter 2017 results demonstrated the benefit of our diversified business model as we continued to generate strong financial results, invest for the future, and adhere to our prudent risk discipline,"" CEO Tim Sloan said in a statement. Just this week, Fed Chair Janet Yellen called the bank's behavior ""egregious"" and said regulators were continuing to look at the situation and would take action if necessary. Sen. Elizabeth Warren [D-Massachusetts] has been Congress' harshest critic of the bank, calling for removal of all 12 directors in place when the scandal unfolded.
""We continue to make process on rebuilding trust, which is our top priority,"" Sloan said on the earnings call with analysts. Wells Fargo recently joined its peers in having its capital plans approved following Fed stress tests. The bank upped its dividend a penny to 39 cents a share and intends to buy back $11.5 billion of shares. The stock is up less than 1 percent in 2017, vastly underperforming its peers. The KBW Nasdaq Bank Index is up 5.6 percent year to date.
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });show chapters
 Banks turn lower despite earnings beats   
 7:38  PM ET Fri, 14 July 2017 |  03:01 
 As earnings seasons approached, investors flocked to financial stocks on anticipation that the high hopes for the sector would come true. So far, it's been an expensive losing bet.
 Bank shares slumped Friday in an early but important round of profit reports. JPMorgan Chase, Wells Fargo and Citigroup — Nos. 1, 3 and 4 in terms of assets — each disappointed the market for various reasons. 
Financials broadly fell more than 1 percent by midday, and the KBW Nasdaq Bank Index specifically was off 1.2 percent. Wells Fargo dropped about 2 percent.
 That comes as investors have been pumping cash into an exchange-traded fund that tracks the industry, the Financial Select Sector SDPR. The ETF has hauled in just shy of $900 million in July — about a 3.6 percent gain in assets just for the period — as investors bet big on the banks.
Despite the decline Friday, no one is panicking yet. Indeed, ratings firm CFRA kept its buy recommendation on both JPMorgan and Wells Fargo and raised its price target $2 on each of the stocks.
""A lot of the environment around them is still pretty good just fundamentally,"" said Jim Paulsen, chief investment strategist at The Leuthold Group. ""There's borrowing and lending going on again. With the stock market going to new highs, I think it's going to stoke a little new activity.""
Bank stocks immediately fell in premarket trading after the three big institutions released their earnings reports. They stayed negative through the trading day as investors digested the positions of the Wall Street leaders, and after weak inflation data sent government bond yields lower.
 Joseba Etxaburu | Reuters
 Indeed, Paulsen said the direction of yields will be a critical metric by which to gauge bank performance. 
Should the benchmark 10-year Treasury note break above 2.6 percent, the sector stands to benefit, he said. The road will be different under lower bond yields, in which case earnings will take more prominence.
""I think we break out [on yields]. If we do, they'll be OK,"" Paulsen said. ""Some of the sales have been weak, but that would be helped if you can raise the yield structure and steepen the curve again.""
That yield dynamic has created some uncertainty in the market lately. While Federal Reserve officials have indicated their desire to bring interest rates back to levels closer to historical norms, the inflation numbers have not been cooperating.
Consumer price index data Friday showed surprisingly weak pricing pressures, with June prices unchanged. The Fed is determined to bring inflation back up to 2 percent annualized, but the CPI now points to just a 1.6 percent reading.
However, Kevin Quigg, chief strategist at ACSI Funds, said the sector has other factors in its favor.
""The industry as a whole is in very good shape. Everyone passed the stress test for the first time in seven years,"" Quigg said, referencing the exams banks must pass to show that they can withstand another financial crisis. Each bank involved in the tests received approval for their plans to distribute capital to shareholders.
""There's also deregulation. There certainly will be a look into regulations. That's a real tail wind for the industry,"" added Quigg, whose fund has positions in Citi, JPMorgan and Wells Fargo.
To be sure, not everyone is a fan.
Kevin O'Leary, who runs the O'Shares ETF family and is a judge on ABC""s ""Shark Tank,"" a program that also is syndicated on CNBC, believes the big bank stock run is at least taking a break for a while.
""This is the pause that refreshes going forward,"" O'Leary said on ""Fast Money Halftime Report."" He pointed to comments from JPMorgan CEO Jamie Dimon earlier in the day expressing frustration with the slow pace of fiscal reforms in Congress.
""In his words are caution,"" O'Leary said. ""I think if you're looking for what's going to make things work in financials, you don't have to own banks.""
WATCH: O'Leary explains why he doesn't like banks.
 show chapters
 Kevin O'Leary: Financials will not lead the market   
 12:33  PM ET Fri, 14 July 2017 |  01:58 
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });show chapters
 Wells Fargo CFO: There’s a lot to like about this past quarter   
 7:21  PM ET Fri, 14 July 2017 |  08:04 
 As the bank continues to rebuild its image, Wells Fargo CFO John Shrewsberry insisted Friday that the institution has taken aggressive steps and has held its leaders accountable for the fake accounts scandal.
 Shrewsberry's remarks came the same day the bank reported earnings that disappointed Wall Street — and a day after Sen. Elizabeth Warren ripped into Wells Fargo during a committee hearing, repeating her demand to Fed Chair Janet Yellen that the board members involved in the episode should be tossed from office.
In an interview on CNBC's ""Closing Bell,"" Shrewsberry did not address that demand specifically, but said Warren's comments neglected a lot of the work Wells Fargo has done.
 ""There's work on culture with employees, there's a lot of executive accountability that has been taken into account,"" he said. ""The board conducted a thorough investigation to get to the bottom of the root causes why things happened the way they did and what should be done about it, and there's still work under way.""
The bank in September 2016 agreed to pay a $185 million fine related to charges that employees created some two million accounts for customers without their knowledge. The workers did so to meet aggressive sales quotas the bank had to enroll customers in multiple programs.
Since then, former CEO John Stumpf has left the bank and a handful of other executives have departed as well. The bank recently announced another settlement, this time of $142 million to take care of a class-action lawsuit.
However, the bank's shares have underperformed and Warren and others continue to call for more accountability.
""There's a lot of work going on,"" Shrewsberry said. ""She didn't refer to any of that, which is fine. But we're talking about it with our customers, with our stakeholders including our investors and etc., and things are working.""
The bank earned $1.07 a share in the second quarter, ahead of analyst estimates of $1.01. However, the bottom line got a four-cent boost from a sale of Wells Fargo's insurance unit, and revenue missed expectations, sending shares down as much as 2 percent at one point Friday before ending the day off 1.1 percent.
Shrewsberry nevertheless saw the quarter as positive.
""Overall, actually it was really quite solid,"" he said. ""We're improving things. We're building a better bank.""
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });CNBC's Bob Pisani takes a look at what's moving in early morning trading, as banks move lower despite Wells Fargo, Citigroup and JPMorgan reporting earnings above estimates.CNBC's Bob Pisani takes a look at what's moving in early morning trading, as banks move lower despite Wells Fargo, Citigroup and JPMorgan reporting earnings above estimates.CNBC's Bob Pisani takes a look at what's moving in early morning trading, as banks move lower despite Wells Fargo, Citigroup and JPMorgan reporting earnings above estimates.CNBC's Bob Pisani takes a look at what's moving in early morning trading, as banks move lower despite Wells Fargo, Citigroup and JPMorgan reporting earnings above estimates.John Shrewsberry, Wells Fargo CFO, discusses his company's earnings, which beat on the bottom line while revenue fell short.John Shrewsberry, Wells Fargo CFO, discusses his company's earnings, which beat on the bottom line while revenue fell short.John Shrewsberry, Wells Fargo CFO, discusses his company's earnings, which beat on the bottom line while revenue fell short.John Shrewsberry, Wells Fargo CFO, discusses his company's earnings, which beat on the bottom line while revenue fell short.Marty Mosby, Vining Sparks, breaks down Wells Fargo's quarterly numbers, and why the big bank stocks fell despite earnings beats while regional banks are set up to profit from margin growth.Marty Mosby, Vining Sparks, breaks down Wells Fargo's quarterly numbers, and why the big bank stocks fell despite earnings beats while regional banks are set up to profit from margin growth.Marty Mosby, Vining Sparks, breaks down Wells Fargo's quarterly numbers, and why the big bank stocks fell despite earnings beats while regional banks are set up to profit from margin growth.Marty Mosby, Vining Sparks, breaks down Wells Fargo's quarterly numbers, and why the big bank stocks fell despite earnings beats while regional banks are set up to profit from margin growth.Chris Wheeler, U.S. bank analyst at Atlantic Equities, discusses his expectations ahead of Citigroup, JPMorgan and Wells Fargo second quarter earnings.Chris Wheeler, U.S. bank analyst at Atlantic Equities, discusses his expectations ahead of Citigroup, JPMorgan and Wells Fargo second quarter earnings.Chris Wheeler, U.S. bank analyst at Atlantic Equities, discusses his expectations ahead of Citigroup, JPMorgan and Wells Fargo second quarter earnings.Chris Wheeler, U.S. bank analyst at Atlantic Equities, discusses his expectations ahead of Citigroup, JPMorgan and Wells Fargo second quarter earnings.",145,2017-07-14,WFC,0.011031850736813445
5,2017-07-17,Yellen will raise as much as she can without affecting economy: WFC's Manley  ,"David Nelson, chief strategist at Belpointe Asset Management, and John Manley, chief equity strategist at Wells Fargo Funds, discuss big names reporting earnings this week and whether these companies will drive the market.David Nelson, chief strategist at Belpointe Asset Management, and John Manley, chief equity strategist at Wells Fargo Funds, discuss big names reporting earnings this week and whether these companies will drive the market.David Nelson, chief strategist at Belpointe Asset Management, and John Manley, chief equity strategist at Wells Fargo Funds, discuss big names reporting earnings this week and whether these companies will drive the market.David Nelson, chief strategist at Belpointe Asset Management, and John Manley, chief equity strategist at Wells Fargo Funds, discuss big names reporting earnings this week and whether these companies will drive the market.",144,2017-07-17,WFC,0.005104842443988786
6,2017-07-19,"S&P year-end target at 2,280: Wells Fargo's Darrell Cronk  S&P tech sector closes at all-time high  ","Arthur Steinmetz, OppenheimerFunds CEO, and Darrell Cronk, Wells Fargo, talk about the disconnect between fixed income and equities, and provide their outlook on the markets for the second half of the year.Arthur Steinmetz, OppenheimerFunds CEO, and Darrell Cronk, Wells Fargo, talk about the disconnect between fixed income and equities, and provide their outlook on the markets for the second half of the year.Arthur Steinmetz, OppenheimerFunds CEO, and Darrell Cronk, Wells Fargo, talk about the disconnect between fixed income and equities, and provide their outlook on the markets for the second half of the year.Arthur Steinmetz, OppenheimerFunds CEO, and Darrell Cronk, Wells Fargo, talk about the disconnect between fixed income and equities, and provide their outlook on the markets for the second half of the year.Discussing the winners and losers of the markets at the closing bell with Ann Miletti, Wells Fargo, and Brian Peery, Hennessy Funds.Discussing the winners and losers of the markets at the closing bell with Ann Miletti, Wells Fargo, and Brian Peery, Hennessy Funds.Discussing the winners and losers of the markets at the closing bell with Ann Miletti, Wells Fargo, and Brian Peery, Hennessy Funds.Discussing the winners and losers of the markets at the closing bell with Ann Miletti, Wells Fargo, and Brian Peery, Hennessy Funds.",142,2017-07-19,WFC,-0.002551486713157941
7,2017-07-21,"Here's why Scott Wren says investors should tread lightly when it comes to tech  Analyst downgrades Wells Fargo, predicts more than 30% drop  Berenberg downgrades Wells Fargo shares  ","Scott Wren, senior global equity strategist at Wells Fargo Investment Institute, discusses market valuations for the tech sector. The “Fast Money” traders weigh in.Scott Wren, senior global equity strategist at Wells Fargo Investment Institute, discusses market valuations for the tech sector. The “Fast Money” traders weigh in.Scott Wren, senior global equity strategist at Wells Fargo Investment Institute, discusses market valuations for the tech sector. The “Fast Money” traders weigh in.Scott Wren, senior global equity strategist at Wells Fargo Investment Institute, discusses market valuations for the tech sector. The “Fast Money” traders weigh in.show chapters
 Berenberg downgrades Wells Fargo shares   
 11:10  AM ET Fri, 21 July 2017 |  00:45 
 A difficult year for Wells Fargo shareholders will likely get much worse, according to Berenberg. The firm lowered its rating for the bank's shares to sell from hold, saying the bank will report earnings below consensus expectations next year. In a note to investors on Thursday, the firm said Wells Fargo has lost the magic it once had generating higher returns than peers, and so will revert to long-term industry averages.""We believe that Wells Fargo (WFC) has become too big to differentiate itself from wider market trends and deliver the growth which management promises and the market expects,"" analyst James Chappell wrote in the note. ""We have cut our EPS forecasts to reflect a weaker outlook for revenues driven by a number of factors including weak demand for credit, rates lower for longer and a weaker non-interest income outlook.""
 Wells Fargo stock price was down less than 1 percent in Friday's premarket.
Chappell reduced his 12-month price target to $35 from $45 for Wells Fargo shares, which would be a 36 percent decline from Thursday's close. His new price forecast is the lowest on Wall Street, according to FactSet. Wells Fargo has underperformed the market this year. Its shares are down 0.5 percent year to date compared with the S&P 500's 10.5 percent gain through Thursday. Wells Fargo has the biggest share of the U.S. commercial real estate lending and auto loans businesses. ""Once banks became so large, few economies of scale or scope exist and organizational control becomes much more difficult,"" Chappell wrote.
 He predicts Wells Fargo will generate 2018 earnings per share of $3.81 versus the Wall Street consensus of $4.46.  Only 19 percent of Wall Street analysts have sell or underweight ratings on Wells Fargo, according to FactSet.  Wells Fargo did not immediately respond to a request for comment. 
— CNBC's Michael Bloom contributed to this story.
 WATCH: Yellen: Prepared to take action on Wells Fargo's board if appropriate
 show chapters
 Yellen: Prepared to take action on Wells Fargo's board if appropriate   
 9:46  AM ET Fri, 21 July 2017 |  05:52 
 Disclaimer
 var mps=mps||{}; mps._queue=mps._queue||{}; mps._queue.mpsinit=mps._queue.mpsinit||[]; 
 mps._queue.mpsinit.push(function() { 
 mps.insertComponent('#taboola_article_you_may_like', 'taboola-article-you-may-like') 
 });Berenberg lowers its rating for Wells Fargo to sell from hold.Berenberg lowers its rating for Wells Fargo to sell from hold.Berenberg lowers its rating for Wells Fargo to sell from hold.Berenberg lowers its rating for Wells Fargo to sell from hold.",140,2017-07-21,WFC,0.013021733747822244
8,2017-07-24,All the bad news from Washington is out: Commonwealth Financial Network's Brad McMillan  ,"Brian Jacobsen, chief portfolio strategist at Wells Fargo Funds, and Brad McMillan, Commonwealth Financial Network CIO, discuss how Washington headlines are impacting the markets intraday after Jared Kushner met with the Senate Intelligence Committee.Brian Jacobsen, chief portfolio strategist at Wells Fargo Funds, and Brad McMillan, Commonwealth Financial Network CIO, discuss how Washington headlines are impacting the markets intraday after Jared Kushner met with the Senate Intelligence Committee.Brian Jacobsen, chief portfolio strategist at Wells Fargo Funds, and Brad McMillan, Commonwealth Financial Network CIO, discuss how Washington headlines are impacting the markets intraday after Jared Kushner met with the Senate Intelligence Committee.Brian Jacobsen, chief portfolio strategist at Wells Fargo Funds, and Brad McMillan, Commonwealth Financial Network CIO, discuss how Washington headlines are impacting the markets intraday after Jared Kushner met with the Senate Intelligence Committee.",139,2017-07-24,WFC,-0.0018443384055059488
9,2017-07-25,This strategist thinks health care stocks are attractive  ,"Trends such as an aging population and developments in medtech are making health-care stocks attractive, says Brian Jacobsen, Wells Fargo AM.Trends such as an aging population and developments in medtech are making health-care stocks attractive, says Brian Jacobsen, Wells Fargo AM.Trends such as an aging population and developments in medtech are making health-care stocks attractive, says Brian Jacobsen, Wells Fargo AM.Trends such as an aging population and developments in medtech are making health-care stocks attractive, says Brian Jacobsen, Wells Fargo AM.",138,2017-07-25,WFC,-0.014451911639147809
